stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
1,4418,3734,1014,0.196666667,104,9999,9999,F,R,0,54,0.5,9999,3,9,3,D,9999,SD,53,1
1,4418,3734,1014,0.196666667,104,0.197,1,R,R,1,54,0.5,281,3,9,3,H,1,SD,53,2
1,4418,3734,1014,0.196666667,104,9999,9999,F,L,0,55,0.5,9999,3,9,3,P,9999,SD,53,1
1,4418,3734,1014,0.196666667,104,0.033,1,R,L,1,55,0.5,48,3,9,3,K,1,SD,53,2
1,4418,3734,1015,0.036666667,104,9999,9999,9999,9999,9999,9999,0.5,9999,4,9,3,9999,9999,SD,53,0
1,4418,3734,1016,0.285555556,105,9999,9999,F,R,0,62,0.5,9999,2,9,2,D,9999,SD,53,1
1,4418,3734,1016,0.285555556,105,0.312,1,R,R,1,62,0.5,425,2,9,2,K,1,SD,53,2
1,4418,3734,1016,0.285555556,105,1.049,2,F,L,1,65,0.5,1934,2,9,2,P,2,SD,53,1
1,4418,3734,1016,0.285555556,105,9999,9999,R,L,0,65,0.5,9999,2,9,2,H,9999,SD,53,2
1,4418,3734,1017,0.109722222,105,9999,9999,9999,9999,9999,9999,0.5,9999,3,9,3,9999,9999,SD,53,0
1,4418,3734,1018,0.202777778,105,9999,9999,F,R,0,58,0.5,9999,4,9,3,D,9999,SD,53,1
1,4418,3734,1018,0.202777778,105,0.072,1,R,R,1,58,0.5,135,4,9,3,K,1,SD,53,2
1,4418,3734,1019,0.1775,105,9999,9999,F,L,0,59,0.5,9999,4,8,2,P,9999,SD,53,1
1,4418,3734,1019,0.1775,105,0.265,1,R,L,1,59,0.5,52,4,8,2,H,1,SD,53,2
1,4418,3734,1019,0.1775,105,9999,9999,F,L,0,61,0.5,9999,4,8,2,P,9999,SD,53,1
1,4418,3734,1019,0.1775,105,0.722,1,R,L,1,61,0.5,360,4,8,2,H,1,SD,53,2
1,4418,3734,1020,0.284444444,106,9999,9999,F,L,0,180,0.5,9999,2,0,1,X,9999,SD,53,1
1,4418,3734,1020,0.284444444,106,0.249,1,R,L,1,180,0.5,238,2,0,1,K,1,SD,53,2
1,4418,3734,1020,0.284444444,106,9999,9999,F,R,0,181,0.5,9999,2,0,1,D,9999,SD,53,1
1,4418,3734,1020,0.284444444,106,0.454,1,R,R,1,181,0.5,559,2,0,1,H,1,SD,53,2
1,4418,3734,1020,0.284444444,106,9999,9999,F,R,0,182,0.5,9999,2,0,1,D,9999,SD,53,1
1,4418,3734,1020,0.284444444,106,0.033,1,R,R,1,182,0.5,3,2,0,1,H,0,SD,53,2
