"D" "g0" "sigma" "logLik" "AIC" "maxgrad"
5291.05474457 0.999999989404 5.38588054533 -1101.27 2208.54 -1.63706e-05
4500.94434028 0.999999988717 5.60469432915 -1009.3 2024.6 -0.000333293
5280.48187878 0.999999989923 5.42447100419 -1101.51 2209.02 -9.73076e-05
4644.53708718 0.999999989155 5.57669900867 -1043.35 2092.7 -0.000156785
4459.57705857 0.999999988369 5.54470150296 -960.786 1927.572 -0.00189881
5661.73790835 0.999999987916 5.18562743036 -1076.78 2159.56 -0.000151798
5648.25496112 0.99999998683 5.15451320514 -1068.97 2143.94 -0.00121913
4865.06474628 0.999999985049 5.36585918383 -1012.41 2030.82 -5.20056e-06
4908.69875994 0.999999990111 5.57611654874 -1086.9 2179.8 -9.19755e-05
5141.78686296 0.999999989479 5.30272283984 -1043.02 2092.04 -6.83354e-05
4331.93493123 0.999999989047 5.73032532383 -1008.4 2022.8 -0.00124255
4995.1647567 0.999999988498 5.33412868543 -1001.62 2009.24 -0.000114265
5023.8603292 0.999999989883 5.50861819148 -1078.22 2162.44 -0.00519348
5167.40396434 0.999999987137 5.36977110558 -1067.59 2141.18 -7.24357e-05
5618.94175144 0.999999985491 5.26304691311 -1105.25 2216.5 -1.90031e-05
5407.22409054 0.999999988862 5.2738905896 -1068.95 2143.9 -0.00185999
4636.1084499 0.999999987929 5.59525079826 -1009.46 2024.92 -0.000282265
4992.86778196 0.999999989117 5.53233968592 -1098.73 2203.46 -1.17451e-06
4778.04242784 0.999999987114 5.36515185202 -965.428 1936.856 -0.00252019
4928.8102707 0.999999988882 5.70064023749 -1159.28 2324.56 -6.80939e-05
5086.13527586 0.999999985528 5.29982662962 -1014.19 2034.38 -0.000131542
4953.4660098 0.999999988132 5.24253138599 -965.316 1936.632 -0.000609217
4655.1339712 0.999999983302 5.51011047591 -998.121 2002.242 -0.000233556
5344.79417851 0.999999988457 5.33766013438 -1099.32 2204.64 -0.00150901
4701.6622598 0.999999985196 5.33248525171 -938.232 1882.464 -0.000517293
4681.30063488 0.99999999171 5.82833928162 -1127.8 2261.6 -2.74678e-05
4415.79232827 0.99999998691 5.3740585925 -901.399 1808.798 -7.05645e-06
5061.82188542 0.999999987192 5.37207825657 -1028.04 2062.08 -1.07758e-05
5229.83178334 0.99999998756 5.31428340363 -1039.55 2085.1 -0.000134016
5006.17601312 0.999999988453 5.45724501982 -1055.47 2116.94 -1.71421e-05
5351.35660661 0.999999985055 5.0818866555 -1000.98 2007.96 -0.00114801
4767.87580903 0.99999998825 5.55537307044 -1053.28 2112.56 -4.85164e-05
4438.94403921 0.999999986106 5.48971592457 -946.217 1898.434 -0.00555571
5257.00828562 0.999999988091 5.35804690512 -1075.99 2157.98 -9.29113e-06
5124.39678277 0.99999998051 5.37982021001 -1049.63 2105.26 -2.3942e-07
5462.36224921 0.999999990656 5.48809526963 -1160.63 2327.26 -8.99886e-05
4955.33427311 0.999999989131 5.67959777935 -1130.47 2266.94 -0.00561612
5007.50636134 0.999999990629 5.4236039266 -1044.78 2095.56 -5.58501e-06
4848.65391061 0.999999991575 5.77605887757 -1139.05 2284.1 -9.1783e-05
5460.17321495 0.999999984841 5.27872161889 -1072.76 2151.52 -0.00276103
5429.20063792 0.999999987927 5.37094404581 -1105.85 2217.7 -0.000187891
