"D" "sigma" "z" "logLik" "AIC" "maxgrad"
6056.51831367 6.57692741164 8.86426273156 -1054.55 2115.1 -10036
4899.95793943 7.29627026851 7.57417547043 -1015.41 2036.82 -0.000389044
5047.75474634 6.70906293762 6.52569027426 -990.826 1987.652 -2.28395e-05
5205.74475697 6.64254593769 6.04427273974 -1021.55 2049.1 -0.0121094
NA NA NA NA NA NA
5236.55215192 6.48177670201 5.88483441518 -1008.05 2022.1 -1.24431e-05
4684.11251721 7.12108274544 6.33020107906 -1004.86 2015.72 -0.000189503
5181.41426628 7.29128582854 7.79647342102 -1031.14 2068.28 -0.00362097
5584.7620469 6.50648344881 6.51900822251 -1036.33 2078.66 -2.19009e-06
4669.23410101 6.99723272743 6.75613839681 -954.654 1915.308 -3.21652e-06
5543.45131944 6.7940214637 8.04655798794 -1031.98 2069.96 -11398.5
5415.82006206 6.3513797296 5.34884572706 -1043.7 2093.4 -0.000694519
4910.38140159 7.08490144678 6.03808808385 -1071.62 2149.24 -0.000292693
4879.3059881 6.47657407231 5.29985204481 -990.449 1986.898 -0.000277705
NA NA NA NA NA NA
5094.81291798 6.72116416228 6.93597892107 -969.628 1945.256 -0.000118499
5491.91568945 6.46738510189 5.96025905741 -1048.92 2103.84 -1.33832e-05
4947.36762709 6.70175267069 5.78976292237 -1016.98 2039.96 -0.015198
5079.19421996 6.75961630206 5.8231899986 -1029.36 2064.72 -0.000651591
5263.9865651 6.66105341318 5.74806987765 -1070.54 2147.08 -0.000117436
5435.59423012 7.18964161572 7.384530526 -1090.33 2186.66 -7.22445e-06
4697.78865013 7.11787904994 7.03944163862 -971.89 1949.78 -6.43778e-06
4892.30397826 6.70022500668 5.67198929456 -1010.15 2026.3 -5.11239e-05
4926.46460187 6.95739214091 6.04161317431 -1066.99 2139.98 -0.00013784
5900.36450841 6.62083965162 6.46314374687 -1103.68 2213.36 -0.00777118
5461.68992761 6.68932762763 5.62181401107 -1112.5 2231 -0.0140392
5165.67411963 6.8223612139 7.23394532004 -968.923 1943.846 -8.81938e-06
5236.02142465 6.50093044165 5.98819554678 -979.376 1964.752 -5.42225e-05
5249.33157754 6.54970226226 6.30160033773 -982.337 1970.674 -0.00287921
5064.40945105 6.77700315623 6.00210203611 -1018.36 2042.72 -0.000455377
4673.43249177 7.11672055713 6.98034226844 -977.069 1960.138 -0.000164586
4729.55320133 6.9702256252 6.46543259287 -987.872 1981.744 -9.71872e-06
5233.75121382 6.52002505312 5.68771140144 -1038.65 2083.3 -6.43778e-05
4913.50769253 6.59940518028 7.66916595739 -869.305 1744.61 -0.000212139
5220.76912219 6.79227048416 6.17645234411 -1063.71 2133.42 -0.000471443
4634.29301662 6.81631167225 5.99396100803 -948.622 1903.244 -0.000144374
NA NA NA NA NA NA
4794.81804008 6.7542558696 5.69793696652 -992.536 1991.072 -1.48359e-05
NA NA NA NA NA NA
5147.60828304 7.12841559633 8.50924107742 -999.507 2005.014 -7345.41
5090.7636017 6.64015165358 5.58693503424 -1051.61 2109.22 -4.94477e-05
5084.94967332 6.52876815358 5.88871221215 -1007.47 2020.94 -9.91393e-06
5644.13264254 6.79843618069 6.43276508092 -1125.11 2256.22 -0.0197359
5312.48048832 6.58627001475 5.92479760992 -1023.67 2053.34 -0.00115209
5628.66647003 6.44425558445 6.62584672722 -1027.73 2061.46 -0.000883474
5414.71405004 6.8322845484 6.65454933576 -1061.99 2129.98 -0.00248733
4932.52397056 6.92584831806 5.97099381532 -1061.99 2129.98 -3.55892e-05
5568.49244785 6.90255669194 7.26886381396 -1082.53 2171.06 -0.00186434
5310.22288502 6.77366591704 6.43167097003 -1053.89 2113.78 -2.20481e-05
4835.40624047 6.7915740957 6.21718079759 -978.884 1963.768 -5.99812e-06
5220.69517041 6.75899786033 6.55655942522 -1004.23 2014.46 -0.00013265
4902.92962494 6.48721312622 5.60019325505 -966.378 1938.756 -2.57039e-07
5658.45900076 6.26069608902 6.41992243871 -984.549 1975.098 -1.50297e-06
5058.22613565 6.67811221032 6.11438343453 -977.659 1961.318 -1.30442e-05
4982.62720445 6.65916987459 5.73535051448 -1004.19 2014.38 -0.000495033
5923.43425882 6.52595086922 7.27235657711 -1042.22 2090.44 -0.000540495
4786.11944998 6.73777130889 5.67237252509 -990.621 1987.242 -0.000293369
5157.71960198 6.83534180635 6.93284857666 -998.985 2003.97 -0.000279913
5550.40570059 6.60049187751 6.64248282251 -1023.67 2053.34 -2.70627e-05
5342.30519008 6.8937783024 7.78484985151 -1017.01 2040.02 -1.57837e-05
5539.92222332 6.70575163157 6.11837288567 -1106.44 2218.88 -8.58424e-07
5656.05801784 6.55340000609 6.49821521182 -1057.44 2120.88 -8.78268e-07
5064.37441057 7.07490991074 6.81132126344 -1031.75 2069.5 -5.38331e-05
5125.17090805 6.75567775839 5.59264570874 -1080.07 2166.14 -0.00805999
5104.32281221 6.9662799178 6.44649105368 -1046.45 2098.9 -1.06154e-06
5434.12119323 6.80641145276 6.57078366847 -1100.92 2207.84 -8.0935e-06
5223.79261585 6.87232438746 6.70221466453 -1032.32 2070.64 -1.04687e-05
4743.08981316 6.77420415541 6.50386603441 -929.346 1864.692 -2.65711e-05
5968.08437245 6.32284144173 6.26267373309 -1058.37 2122.74 -0.00126505
NA NA NA NA NA NA
4548.66914922 7.07765435659 6.69698106829 -952.81 1911.62 -9.2455e-05
4651.34973005 6.90861280053 6.47016145561 -941.3 1888.6 -1.87414e-05
4432.00396519 6.90830782559 5.95564887576 -949.584 1905.168 -0.00105949
4977.26920035 6.67283016813 5.63698630702 -1020.1 2046.2 -4.29009e-06
5206.7809272 6.73994527753 6.89006510403 -981.003 1968.006 -6.00698e-05
5005.96855085 6.85937638112 6.25834686803 -1013.81 2033.62 -0.000153349
5506.8842288 6.82815897057 6.58841582949 -1081.75 2169.5 -5.10985e-07
5182.16503868 6.89363838902 6.37783078 -1070.3 2146.6 -2.30496e-07
5082.62045118 6.91352232512 6.63936756732 -1035.42 2076.84 -0.000271851
4482.07713337 6.82866511127 5.68047653971 -959.207 1924.414 -0.00309348
5078.26278629 6.65639226481 5.63212690762 -1050.2 2106.4 -5.52242e-06
5463.46222066 6.3549133772 5.80627281715 -1035.72 2077.44 -0.00139041
NA NA NA NA NA NA
4935.11681412 6.72878753479 6.86417018249 -944.43 1894.86 -2.61705e-05
5240.16373148 7.04241795464 7.02576173439 -1042.65 2091.3 -0.00022796
5387.24912489 6.51386320769 6.17098645901 -1015.3 2036.6 -1.18687e-07
5434.30871671 6.40690210489 6.11899664573 -987.7 1981.4 -7.1233e-05
5404.79892693 6.70560375554 6.4244505455 -1056.48 2118.96 -0.00319174
5254.04654009 6.54750600096 6.25465708981 -1001.04 2008.08 -5.99857e-06
5573.90228853 6.88040635483 6.70612518045 -1090.17 2186.34 -2.70012e-07
4902.79279103 6.79474751415 7.1697588445 -925.957 1857.914 -0.00113452
5159.11586967 6.40551912093 5.43965735085 -1016.89 2039.78 -0.000337671
4883.21231965 6.69139535205 6.0179707967 -972.739 1951.478 -0.00133038
4349.27342016 7.34149912015 6.85626376977 -928.259 1862.518 -0.00436351
5414.38448112 6.80893137909 6.56165898063 -1066.05 2138.1 -0.000432768
NA NA NA NA NA NA
4481.53310079 6.80553624082 6.32445834552 -896.113 1798.226 -4.46559e-05
5002.47507772 7.01287831259 5.79216308755 -1080.7 2167.4 -4.17844e-05
5075.24389571 6.78366989427 6.48606070719 -982.416 1970.832 -2.70057e-06
4686.46564426 6.82013339829 6.24859278434 -940.364 1886.728 -0.000455006
5505.39566516 6.66505644018 6.36665671272 -1089.76 2185.52 -0.00227202
5035.59319199 6.8912419002 5.76699458965 -1071.29 2148.58 -6.72868e-05
4731.45487857 7.01252040186 5.57917627811 -1053.55 2113.1 -1.01795e-06
5728.61801841 6.85966703528 6.64691076978 -1142.55 2291.1 -0.00142777
5165.08095488 6.66895083213 6.14233391032 -1014.3 2034.6 -3.28692e-05
5589.21252662 6.69707504243 7.20151357802 -1003.04 2012.08 -8.8646e-06
4790.94655167 7.15324654507 7.51188665512 -962.158 1930.316 -7.87306e-06
5599.56730014 7.01494465639 9.78087028553 -1019.63 2045.26 -0.000577069
5344.60936474 6.91957472671 7.37563197706 -1035.32 2076.64 -0.000385412
5576.77200129 6.5603675602 6.29424083274 -1055.12 2116.24 -9.61275e-05
5429.31951241 6.76012050039 5.8321160395 -1121.82 2249.64 -1.08468e-05
4441.96367955 7.0246009154 6.28894461393 -954.087 1914.174 -8.04513e-05
4965.30837393 7.01615272585 6.78487958446 -1017.35 2040.7 -0.000768554
5816.33982649 6.63199062722 7.29983285946 -1040.88 2087.76 -0.00197342
4823.03857255 6.51290710594 5.38497038499 -961.342 1928.684 -0.000388396
5771.98580777 6.66856497638 7.35043901097 -1060.94 2127.88 -0.000510495
4952.50578832 6.71440858237 6.81029132374 -920.524 1847.048 -1.00089e-05
5288.13087657 6.80292760471 6.63428776641 -1050.69 2107.38 -9.55982e-05
5196.06580709 6.60927549974 6.77035698122 -977.043 1960.086 -5.30654e-05
4863.03088148 6.80674102165 6.7707891237 -936.108 1878.216 -2.22375e-05
5950.99349059 6.83423720177 10.201602671 -1024.7 2055.4 -0.000129657
5410.98241414 6.9461623073 8.44595415337 -1007.39 2020.78 -0.000794775
5222.84983423 6.81278366095 6.30245129823 -1058.64 2123.28 -0.00756296
5236.37645456 6.45872852701 6.38923242498 -964.794 1935.588 -9.58283e-06
4698.14814661 7.12523574071 6.51632422177 -995.025 1996.05 -0.00397703
5567.73803909 6.40371470795 6.03297738008 -1055.94 2117.88 -0.00103403
4989.79488105 6.91820098303 6.18405728653 -1031.1 2068.2 -4.44674e-06
4595.43960178 7.00493631201 8.93912844886 -891.124 1788.248 -7085.02
6161.53654198 6.4836890393 6.16006101003 -1159.81 2325.62 -3.46498e-06
4884.52380894 6.85269370079 6.32905432391 -983.389 1972.778 -8.61825e-05
4798.47496069 7.00879377206 6.86544291572 -966.497 1938.994 -0.000204695
5629.01167763 6.51070570064 6.71702286176 -1040.12 2086.24 -0.00151048
5136.94220033 6.61723752929 5.50313676246 -1075.98 2157.96 -0.000832985
4302.79178987 7.02697207443 5.88415195282 -944.556 1895.112 -0.000435075
5209.85872544 6.5866442076 6.46650414388 -990.54 1987.08 -2.84916e-06
5245.25882837 6.90751157607 7.4396860889 -1001.95 2009.9 -0.00186143
5816.8225274 6.83437756562 7.87883624325 -1082.26 2170.52 -7.54115e-05
4799.11276023 6.71073437096 5.72172670105 -981.814 1969.628 -2.14634e-06
4811.34226633 7.05158548536 7.2090142296 -980.272 1966.544 -0.00234067
4789.8223139 6.82971402363 6.96205633926 -942.122 1890.244 -0.00062673
4832.94789659 6.76651040358 5.49102648086 -1036.35 2078.7 -0.0053366
5242.64200915 7.06208967725 7.54597810134 -1038.52 2083.04 -1.72723e-06
4675.82648981 6.95150811841 6.82101202707 -948.274 1902.548 -3.88908e-06
5045.23047051 6.48718152996 5.70067089735 -988.092 1982.184 -2.70047e-05
5572.34830775 6.56505934034 5.91579935633 -1088.11 2182.22 -0.000302183
4966.77867835 6.33693791096 5.71687291282 -929.974 1865.948 -0.000994525
5512.49257045 6.55267519665 5.6472081386 -1110.84 2227.68 -0.00260158
4627.99473602 6.78194936715 5.65927782428 -967.263 1940.526 -0.00018626
5923.283769 6.97429505818 9.43415852194 -1078.66 2163.32 -0.000167352
5660.59281755 6.40158728358 6.02230250872 -1057.37 2120.74 -3.96212e-06
5161.29834523 6.90382599048 6.33591257414 -1056.79 2119.58 -7.38742e-06
5155.32331229 6.66078516511 5.94211970307 -1025.51 2057.02 -3.29403e-06
5180.36646743 6.65600032983 6.20404634813 -1001.55 2009.1 -1.48204e-05
4966.89356567 6.91301068278 6.34656963757 -1024 2054 -1.07725e-05
5684.00212682 6.66935695162 6.65374707917 -1073.5 2153 -5.0544e-06
5616.83700287 6.99301530705 7.61045425895 -1097.35 2200.7 -8.65863e-05
5186.43780884 6.52145634943 5.49871882481 -1039.03 2084.06 -0.000361108
5205.52435156 6.98638427474 6.35551405114 -1062.18 2130.36 -0.00869912
5448.3365811 6.59636084689 7.0160499437 -1001.29 2008.58 -0.00785503
5101.62757691 6.79363051993 6.33437864003 -1016.9 2039.8 -1.35787e-05
5162.73748207 6.57120005077 6.53169028167 -980.37 1966.74 -0.00155833
4849.93676654 6.80434679848 6.20385053984 -992.142 1990.284 -0.0122321
5174.52376849 6.60853022947 5.40367614831 -1057.61 2121.22 -1.50504e-05
5477.15277582 6.53758123281 6.46928620121 -1022.54 2051.08 -4.69424e-05
5306.17338566 6.54582199348 5.67168225239 -1062.22 2130.44 -0.00290509
5509.8210024 6.91875890938 6.43717939711 -1125.31 2256.62 -1.13682e-05
5412.9178665 6.66111413232 5.2707034546 -1168.05 2342.1 -3.93988e-05
4980.21023952 6.38547456913 5.13845494319 -1016.58 2039.16 -0.000388759
5445.84324442 6.96448819819 6.88964992289 -1089.43 2184.86 -7.06331e-05
5116.1090874 6.53076991068 5.49395657855 -1043.81 2093.62 -0.000355884
5434.39631756 6.54857335863 6.59318300849 -996.302 1998.604 -0.00605844
5162.42087308 6.8781101838 6.7846472125 -1015.92 2037.84 -0.000163209
4932.38649719 7.08750407062 6.02743314305 -1090.68 2187.36 -0.000215835
5377.32729384 6.77484616519 7.79614615136 -977.897 1961.794 -0.00533032
5114.21959176 6.56383123045 6.43129634213 -961.255 1928.51 -2.65748e-06
5430.4397635 7.05390122061 6.68989577781 -1104.72 2215.44 -1.40186e-05
5149.05058498 6.71414125015 6.08353635119 -1015.61 2037.22 -6.91173e-09
5229.93774581 6.76674325306 5.7039439392 -1094.64 2195.28 -8.20684e-06
4921.75508445 6.48299026165 5.76919432976 -957.691 1921.382 -0.00039285
5712.21655303 6.72527962263 6.16143699986 -1128.47 2262.94 -9.42234e-05
5070.20636531 7.18947719469 7.27774686779 -1024.21 2054.42 -3.80165e-06
5074.67380419 6.92372977433 6.29843112109 -1047.62 2101.24 -0.00372156
NA NA NA NA NA NA
4921.54239684 6.99208538042 6.17608218029 -1013.97 2033.94 -9.57113e-05
4971.9970993 6.96133883091 8.52192465578 -910.329 1826.658 -5.14787e-06
5142.17940741 6.97929056088 7.57821104342 -996.204 1998.408 -0.000223533
5528.40305435 6.60056540344 6.1690392822 -1066.62 2139.24 -3.30316e-05
5329.26658874 6.76497202684 7.08211735769 -1007.97 2021.94 -6.88902e-06
5149.94931059 6.86732290957 6.12855084603 -1070.29 2146.58 -0.000182089
5497.56486278 6.77363761197 7.36807212148 -1022.61 2051.22 -0.000202748
4898.41642106 6.58618023392 5.80793983798 -958.514 1923.028 -0.00314465
5578.39463087 6.87394124768 6.58113318713 -1111.29 2228.58 -2.30635e-05
5118.96062967 7.39172178799 11.3901680042 -970.711 1947.422 -1558.91
5288.02627308 6.25676161758 5.56541448687 -982.904 1971.808 -8.80379e-05
5113.66832476 6.99225635332 6.63859752175 -1055.19 2116.38 -0.000220841
5073.54134121 6.74223443751 6.3297009907 -991.236 1988.472 -0.00480866
5139.67305373 6.51664647165 5.51693227626 -1017.84 2041.68 -7.77508e-05
5335.74522765 6.79331627592 5.82499491152 -1116.92 2239.84 -0.0162034
4603.88013779 6.94168648043 5.95928581276 -985.678 1977.356 -7.25142e-05
4913.91309425 6.76836669871 6.21254282206 -982.029 1970.058 -0.000430246
5302.89743606 6.96824639171 7.484215177 -1027.63 2061.26 -0.00721896
5005.01567478 6.5913395096 5.96712244435 -978.954 1963.908 -3.18623e-05
5420.2358577 6.86022391177 6.43538491241 -1090.85 2187.7 -7.60241e-07
5202.82277041 6.56119398688 5.83944553022 -1025.19 2056.38 -6.58644e-05
4841.69779544 7.3851081068 7.76518337661 -1012.61 2031.22 -0.000411032
4525.37364505 7.22457801808 6.53863981058 -961.756 1929.512 -0.000136048
5862.69597125 6.95382782193 7.95846488848 -1122.33 2250.66 -0.0028128
5022.44923644 6.67883486559 6.62715849706 -953.93 1913.86 -2.64395e-05
