"D" "shape" "scale" "logLik" "AIC"
5504.34588774 -2.68662163931 -0.355865113659 -1097.23 2200.46
5812.9152474 -2.97656555785 -0.397077047511 -1116.77 2239.54
5329.65097607 -2.42422645724 -0.339515114157 -972.119 1950.238
5196.54794455 -3.20829902513 -0.411296346681 -1042.79 2091.58
5022.82429137 -2.55664284703 -0.336187534867 -1016.16 2038.32
5398.04237044 -2.76141159589 -0.366378866094 -1066.08 2138.16
4903.82305402 -2.60313642128 -0.347481677546 -967.95 1941.9
5528.74767941 -2.92779823209 -0.411274491932 -982.517 1971.034
5375.71334642 -2.21984928894 -0.296875148847 -1067.19 2140.38
4896.91212487 -2.60373410429 -0.356034969309 -939.384 1884.768
5604.59744023 -3.07382238148 -0.414008971416 -1046.02 2098.04
5730.50374477 -2.41961085657 -0.34780162623 -1014.82 2035.64
4798.97361422 -3.78953372077 -0.496960037004 -932.452 1870.904
5105.17530581 -2.77357279825 -0.354011320979 -1083.51 2173.02
5952.22802383 -3.07717133448 -0.418452113509 -1116.94 2239.88
5321.73214973 -2.19394616316 -0.299997029106 -1049.73 2105.46
5466.69879676 -2.94133470487 -0.406200319631 -1011.8 2029.6
5450.42437463 -2.77899664035 -0.363203397913 -1084.17 2174.34
5648.96005475 -2.42224950941 -0.331933719419 -1105.29 2216.58
5054.40241232 -2.45855272824 -0.334202192963 -967.968 1941.936
5194.84851405 -2.72039505585 -0.355201775373 -1059.6 2125.2
5040.4164963 -2.72551594451 -0.353728706525 -1046.07 2098.14
5026.02738459 -2.35054257397 -0.313701667847 -1022.47 2050.94
4826.63982987 -2.31546099641 -0.303389428925 -1023.49 2052.98
4779.19905767 -2.36989323082 -0.324309542801 -926.008 1858.016
5670.61027643 -2.83177641638 -0.397663795357 -1020.59 2047.18
5289.41867818 -3.23763883516 -0.431974139755 -1003.76 2013.52
5104.72874254 -3.01595399139 -0.409596020013 -970.019 1946.038
5069.30429331 -3.48379952525 -0.466988239381 -948.25 1902.5
5093.26817537 -2.92781164051 -0.383433733991 -1015.5 2037
5507.53956389 -3.11071963966 -0.406141278456 -1096.05 2198.1
5170.52207852 -2.41885845827 -0.321531823511 -1041.08 2088.16
5629.77153523 -3.21146918825 -0.408713081831 -1134.45 2274.9
5420.85454861 -2.50083915391 -0.331825490584 -1095.26 2196.52
5166.95426567 -2.77676812106 -0.360282021399 -1048.9 2103.8
5218.8149623 -2.72271948464 -0.358444574599 -1050.4 2106.8
5374.12010318 -2.74117039922 -0.377284123549 -999.127 2004.254
5281.35706166 -2.38847684677 -0.331812567266 -1005.99 2017.98
5336.32830814 -2.73077505307 -0.369399768925 -1019.97 2045.94
4964.50773373 -2.42701427269 -0.31510910455 -1033.43 2072.86
5318.78832288 -2.29277744249 -0.331353657194 -927.367 1860.734
4979.31302989 -2.35742002063 -0.31816933935 -982.969 1971.938
5754.3948426 -2.32576739666 -0.329333349729 -1064.35 2134.7
5957.57730018 -3.24547126222 -0.443923338889 -1084.37 2174.74
5324.4833513 -2.91511761195 -0.40391609596 -966.77 1939.54
5401.44543922 -2.79814555502 -0.367664916624 -1066.8 2139.6
5229.00052512 -2.39532163039 -0.323119937577 -1015.56 2037.12
4851.18633224 -2.8239527851 -0.360935793855 -993.499 1992.998
5312.67050423 -2.52201216663 -0.3442165289 -1008.35 2022.7
5718.05426279 -2.56622561594 -0.352962689523 -1075.95 2157.9
6409.54355912 -3.16588771949 -0.437870926906 -1129.33 2264.66
5065.57867913 -2.7217316472 -0.358919090988 -995.811 1997.622
5156.40417894 -2.96503491001 -0.389961997297 -1028.58 2063.16
4611.04853599 -2.38929228344 -0.31825448288 -932.847 1871.694
5410.02329319 -2.47259653543 -0.341583991668 -1025.63 2057.26
5309.12451482 -2.24774002295 -0.298464627505 -1111.48 2228.96
4522.43899373 -2.19389771489 -0.288776885019 -946.022 1898.044
5849.2073194 -2.49071313148 -0.366427416824 -976.678 1959.356
5357.2207211 -2.96176778152 -0.419306843362 -955.038 1916.076
5591.48157713 -2.23295576518 -0.303870789398 -1113.68 2233.36
5703.49297863 -2.75099497956 -0.375933848533 -1067.61 2141.22
5526.4046934 -2.10076731546 -0.293754076964 -1061.04 2128.08
5656.43020129 -2.75076374836 -0.381069776072 -1035.32 2076.64
5872.32772436 -2.80717812897 -0.393138745546 -1051 2108
5283.1691003 -3.10485268968 -0.406346619922 -1057.15 2120.3
5618.54363491 -2.26617163433 -0.304444971541 -1136.13 2278.26
5069.22746415 -2.24443172527 -0.302633471459 -1021.96 2049.92
5273.33105376 -3.30802053572 -0.445003134815 -1016.99 2039.98
5497.88777109 -2.7252729309 -0.361741482841 -1085.36 2176.72
5309.35546175 -2.42960485881 -0.323060865621 -1079.69 2165.38
5424.33464509 -2.45582065875 -0.342640515898 -1020.15 2046.3
5137.59865724 -2.53273700846 -0.334761192096 -1023.91 2053.82
4921.39166692 -2.78684372059 -0.357374498871 -1034.25 2074.5
5111.69923632 -3.98671326039 -0.523490178601 -960.146 1926.292
5901.14509623 -2.94985905591 -0.412218280225 -1042.9 2091.8
5038.96561043 -2.98816112723 -0.397778729425 -969.473 1944.946
5259.37713369 -2.69459122509 -0.366706217244 -1003 2012
5536.59179108 -2.73287382608 -0.377423217427 -1028.59 2063.18
5008.15028609 -2.90083378756 -0.389014730303 -956.689 1919.378
5711.23631216 -2.60956523236 -0.360381506199 -1064.24 2134.48
5369.80097692 -2.46423718121 -0.332350139348 -1035.46 2076.92
5211.36351108 -2.43043551718 -0.32642332233 -1046.09 2098.18
5698.13828324 -2.31051673124 -0.328512158899 -1034.54 2075.08
4925.27909662 -2.85768261708 -0.385278071908 -928.509 1863.018
5327.15671131 -2.91372588639 -0.395120358795 -1005.81 2017.62
5440.26539672 -2.96003641493 -0.403061812174 -1007.56 2021.12
5487.4196773 -2.39780893202 -0.333106263653 -1067.31 2140.62
4988.9200847 -3.07890113926 -0.403548033795 -978.042 1962.084
5154.48997733 -2.82286619069 -0.386584385026 -944.985 1895.97
4917.10158299 -2.64428338467 -0.365079823417 -902.288 1810.576
4870.74594488 -2.6630924576 -0.34591070669 -974.841 1955.682
4752.16487488 -2.35127541246 -0.31264853086 -959.079 1924.158
5642.02830875 -3.14059550563 -0.416117855129 -1075.24 2156.48
5201.09667861 -2.79378941003 -0.366749428495 -1049.27 2104.54
4701.84939799 -2.58071421107 -0.335821637999 -975.957 1957.914
5742.16685702 -2.6134629032 -0.368270153716 -1016.19 2038.38
5092.62706719 -3.25173397072 -0.431778251487 -984.244 1974.488
5247.85692689 -3.01568288466 -0.399929717427 -994.337 1994.674
5772.69521223 -2.91119093803 -0.391072194838 -1097.42 2200.84
5397.8889057 -2.5643929076 -0.34662469029 -1054.88 2115.76
5125.35598023 -2.80285161753 -0.368614273646 -1032.74 2071.48
5787.97480741 -2.65824962083 -0.356178573398 -1134.55 2275.1
5311.37192908 -2.21086285625 -0.294955696657 -1102.59 2211.18
5149.24344532 -2.37951298596 -0.316599032606 -1053.62 2113.24
5257.47728069 -2.68110083385 -0.343823931834 -1088.61 2183.22
4850.81878325 -2.3395095403 -0.307349329685 -1009.72 2025.44
5500.31894956 -2.83241320903 -0.370652778181 -1088.91 2183.82
4851.07123945 -2.79670247283 -0.37215632074 -938.702 1883.404
5464.12161381 -3.2095634983 -0.418159665747 -1094.66 2195.32
5125.78294811 -3.04807530508 -0.4119083778 -963.811 1933.622
5657.7018688 -2.44861223867 -0.322927411742 -1140.56 2287.12
4874.41929674 -2.57262711928 -0.331606917812 -1037.31 2080.62
5430.9811386 -3.04732033048 -0.401099999675 -1045.56 2097.12
5583.3372998 -3.43634186148 -0.454728457403 -1069.1 2144.2
4487.95828 -2.42435435727 -0.315512608774 -938.971 1883.942
5904.73958139 -3.35166628188 -0.448116111024 -1127.52 2261.04
5212.41475531 -2.14736616892 -0.286544546483 -1104.96 2215.92
5507.93947813 -2.89315726924 -0.395915560976 -1029.05 2064.1
4910.7568099 -3.67778248267 -0.46667770319 -1000.42 2006.84
5835.51423805 -2.66139628713 -0.370871632868 -1056.36 2118.72
5241.97329563 -2.02358018709 -0.282268753026 -1027.19 2060.38
5413.12481063 -3.14024877521 -0.404830815996 -1076.55 2159.1
5693.00700458 -2.97944629302 -0.400207383161 -1078.39 2162.78
5117.73778963 -2.90876221236 -0.398011519912 -951.553 1909.106
5154.95503421 -2.23079461443 -0.29419595548 -1083.23 2172.46
5255.07251632 -2.6950734108 -0.360487633284 -1025.52 2057.04
4797.88560933 -1.94873139666 -0.266821534772 -977.681 1961.362
5483.91235938 -3.01595551299 -0.395091848698 -1084.44 2174.88
5491.5964279 -2.22587681226 -0.319459939365 -1001.3 2008.6
5714.60761354 -2.98875612354 -0.396446763245 -1099.34 2204.68
5273.07153166 -3.19946205675 -0.430298603299 -997.635 2001.27
5315.66746808 -2.56687883087 -0.343435268682 -1031.57 2069.14
5021.25531086 -2.75906557171 -0.380059236505 -937.636 1881.272
5483.32520368 -2.46993469437 -0.334148934446 -1069.43 2144.86
5334.64759058 -2.88236406689 -0.387951810968 -1015.41 2036.82
5419.28024294 -3.55966288412 -0.484173740319 -1001.48 2008.96
5375.4657483 -2.36216949651 -0.312717694838 -1121.23 2248.46
4789.23258326 -3.23132805672 -0.417359901515 -946.894 1899.788
5330.21491689 -2.72024056678 -0.365190196106 -1030.04 2066.08
5494.02187566 -2.6787758509 -0.36829187618 -994.766 1995.532
5343.05735022 -2.91598361751 -0.414518254512 -914.849 1835.698
4780.10692309 -2.23194417992 -0.294406146041 -1002.71 2011.42
4713.52381636 -2.45697539659 -0.308588288087 -1041.91 2089.82
5100.55509357 -2.42732333729 -0.319774857392 -1066.31 2138.62
5062.87818763 -2.14917761048 -0.292556106291 -1023.14 2052.28
5187.2285325 -2.19764832064 -0.297096825969 -1015.86 2037.72
5061.89850825 -2.20116223329 -0.308785491125 -955.448 1916.896
5591.54633108 -2.28923891875 -0.314598822767 -1073.61 2153.22
5155.29134278 -2.34669920674 -0.313766502365 -1021.44 2048.88
4991.88959837 -3.83590271961 -0.489835617663 -994.219 1994.438
5142.13476837 -2.32718450567 -0.315922213424 -1001.72 2009.44
5259.4988584 -2.04099796352 -0.293165804587 -960.778 1927.556
5480.20598304 -2.06482214393 -0.289440835627 -1055.29 2116.58
4663.19637686 -2.48980829245 -0.326364208643 -933.829 1873.658
4905.61039259 -2.77900812265 -0.376284912803 -934.103 1874.206
5514.48874063 -2.48767920903 -0.336324451278 -1074.22 2154.44
5481.54925732 -2.22344849324 -0.324816190367 -956.634 1919.268
5674.07038435 -2.1259472109 -0.285597431083 -1157.79 2321.58
5249.6405155 -2.81134320939 -0.382397522327 -994.593 1995.186
4572.88495799 -3.18553679678 -0.414479812638 -927.891 1861.782
5390.73651641 -2.812928866 -0.379977303568 -1008.52 2023.04
5803.06098996 -2.39995322376 -0.343271568497 -1024.21 2054.42
5342.42682655 -2.64846987828 -0.355482671605 -1027.8 2061.6
4853.59445387 -2.53606699285 -0.330972408085 -991.099 1988.198
6038.02451976 -2.83371505696 -0.380177249718 -1158.73 2323.46
4898.61818443 -2.31937512055 -0.301032265806 -1063.07 2132.14
5384.42996961 -3.08390339193 -0.420062854522 -998.147 2002.294
5393.42924377 -2.9595149734 -0.392710417737 -1046 2098
5413.91786674 -2.99969132952 -0.414317883757 -995.008 1996.016
5400.83227253 -3.16469785732 -0.425178192803 -991.362 1988.724
5051.27131542 -2.81109268761 -0.363548421044 -1037.06 2080.12
5271.37060624 -2.51450041555 -0.344371987081 -992.233 1990.466
5503.78984693 -2.81239998663 -0.373380671674 -1076.6 2159.2
5432.9146404 -3.1964914752 -0.410935940639 -1085.85 2177.7
5236.91523258 -2.85273728881 -0.372416545432 -1041 2088
4731.98755053 -2.82388690016 -0.361566482016 -963.251 1932.502
5921.08070684 -2.58208672664 -0.346829177329 -1160.11 2326.22
4585.37002252 -2.36923740969 -0.309007784344 -974.02 1954.04
5029.74669658 -2.32122521073 -0.306872880329 -1027.32 2060.64
5224.09401726 -3.07021567227 -0.428880994474 -926.862 1859.724
5825.17847172 -3.59033390371 -0.489929971816 -1047.34 2100.68
5596.78140173 -2.89559824024 -0.400558220886 -1021.99 2049.98
5338.47022685 -3.25323041686 -0.44594162617 -976.429 1958.858
5459.95660858 -3.66871586993 -0.5076492749 -955.506 1917.012
5267.49013045 -2.3611358329 -0.327751829999 -1009.37 2024.74
5305.07303501 -3.01937136967 -0.400165916706 -1039.31 2084.62
5479.94930813 -2.76391740271 -0.37290598289 -1043.34 2092.68
5331.07459992 -2.77248173166 -0.374222496286 -1023.66 2053.32
5014.80552238 -2.91135567766 -0.38400779999 -990.019 1986.038
5312.18819839 -2.08000638249 -0.301055243245 -946.822 1899.644
5389.8243636 -2.69218218934 -0.36422170446 -1033.44 2072.88
4853.45049821 -2.37306310388 -0.325390319279 -919.051 1844.102
5489.74413286 -2.19454320465 -0.304125457548 -1052.24 2110.48
5097.22238704 -3.31414713311 -0.434420924119 -993.554 1993.108
4885.76493097 -2.77688336244 -0.365438536139 -983.405 1972.81
5483.53654116 -2.64705161069 -0.361254872703 -1050.78 2107.56
5364.47021818 -3.00863478832 -0.399709308676 -1041 2088
4651.8482931 -2.48304013306 -0.325759713368 -931.355 1868.71
5056.67203908 -2.60632707726 -0.344692187461 -997.24 2000.48
6211.80819464 -3.04992272726 -0.424466664185 -1121.9 2249.8
4891.19309914 -2.80539112768 -0.362036730869 -1005.18 2016.36
4827.11434998 -2.39847489231 -0.32295642297 -952.323 1910.646
4875.92767637 -2.89466712569 -0.375183361224 -980.308 1966.616
4569.2587083 -2.25980694345 -0.285939439754 -1020.14 2046.28
5365.01220156 -2.43261991224 -0.334395645132 -1027.4 2060.8
5255.33860013 -2.52643093777 -0.334738407243 -1056.25 2118.5
5057.13059535 -2.02348799418 -0.283534494409 -966.639 1939.278
5309.35279561 -2.45907364703 -0.334804710812 -1018.34 2042.68
5626.56890126 -2.44804728569 -0.335477274262 -1066.23 2138.46
4911.31239064 -2.74548717044 -0.367792010008 -956.02 1918.04
5357.70166329 -3.04291121283 -0.391698727211 -1066.55 2139.1
5057.10604808 -2.99298890338 -0.396595607307 -968.478 1942.956
5132.62814062 -2.31859022104 -0.311524197884 -1017.22 2040.44
5900.20416101 -2.62742262003 -0.374101243074 -1032.92 2071.84
5571.29620339 -3.36521203794 -0.446127109131 -1065.83 2137.66
5090.32641445 -2.88944525602 -0.39284033112 -945.088 1896.176
4736.41025129 -2.74424136877 -0.354330634735 -973.651 1953.302
4546.14789119 -3.11362698187 -0.388472191556 -960.645 1927.29
4911.4531334 -2.81473686755 -0.38304359649 -909.404 1824.808
5079.36373954 -2.33055465396 -0.307526805981 -1045.08 2096.16
5127.02755678 -2.71680776965 -0.362720917896 -998.811 2003.622
5119.96190178 -2.40263251958 -0.327676495363 -986.037 1978.074
5083.45233253 -2.64834098542 -0.34465441477 -1058.29 2122.58
5045.41856411 -2.93470422216 -0.38406284146 -1006.73 2019.46
5529.2047269 -3.69532154053 -0.503967877508 -1012.79 2031.58
4817.2381417 -2.38518084008 -0.317699424911 -986.326 1978.652
6014.82848403 -2.27405355937 -0.326581373282 -1080.57 2167.14
5685.77026825 -2.5194663844 -0.336025772124 -1117.26 2240.52
5075.39142023 -2.1993641181 -0.296268672188 -1022.56 2051.12
5073.5741182 -2.52612488876 -0.33295145549 -1039.44 2084.88
5183.2224244 -2.33163160958 -0.318467810563 -995.589 1997.178
5746.93451607 -3.08832116411 -0.409614262301 -1123.51 2253.02
5638.09881905 -2.56814592397 -0.35309569075 -1058.25 2122.5
5167.3017391 -3.24808844031 -0.436580873776 -966.81 1939.62
5491.32751906 -2.69371914542 -0.372617647512 -1025.91 2057.82
4795.67386015 -2.16973942628 -0.304915961125 -912.305 1830.61
5751.98792482 -2.1060011194 -0.307262335593 -1031.22 2068.44
5213.86571166 -2.22761807662 -0.288871273009 -1104.29 2214.58
4765.28226474 -2.64380060925 -0.352170060551 -934.434 1874.868
4998.45417425 -2.81228969739 -0.383324848286 -918.933 1843.866
5409.6781502 -2.82029369668 -0.368297290341 -1080.18 2166.36
5452.39589139 -2.71064112576 -0.348385687456 -1129.86 2265.72
5145.56078717 -3.09350417333 -0.417870788718 -970.799 1947.598
5220.82899196 -2.59786608841 -0.348534170308 -1003.13 2012.26
4927.13921177 -2.47288799613 -0.324439614634 -1004.42 2014.84
5474.5532015 -2.51101893986 -0.330599354648 -1115.55 2237.1
5575.599562 -2.82997582988 -0.391912021811 -999.754 2005.508
4793.75566451 -2.46790023548 -0.343240431845 -876.034 1758.068
5206.0784941 -2.26126734686 -0.314059123808 -992.735 1991.47
5427.3249796 -2.55488212674 -0.334860978627 -1108.42 2222.84
4770.50642592 -2.40250424394 -0.318040559058 -968.612 1943.224
5040.44730146 -2.61713436996 -0.344264929289 -1027.95 2061.9
5165.12807833 -2.33031400694 -0.314478718611 -1000.64 2007.28
5030.64986663 -2.12832423563 -0.287334764639 -1030.3 2066.6
5520.32441486 -2.4633212079 -0.342851326107 -1035.8 2077.6
5357.28909545 -2.82322875092 -0.378422469546 -1036.88 2079.76
5591.04620099 -2.81409546955 -0.384479784667 -1028.63 2063.26
5355.48074142 -2.79975123516 -0.374577677601 -1029.02 2064.04
4923.956506 -2.11189779214 -0.288002556481 -992.686 1991.372
5243.9246799 -2.60079191886 -0.34850146368 -1029.71 2065.42
5200.40924361 -2.57343155612 -0.351101932378 -968.877 1943.754
4804.20630079 -2.74288687515 -0.369341601845 -931.805 1869.61
5221.5343782 -2.63982771732 -0.356995062599 -999.301 2004.602
5210.29651678 -3.76711909156 -0.50667681804 -972.261 1950.522
4855.65836191 -2.86323189819 -0.382462776216 -935.14 1876.28
5273.21692112 -2.64746918527 -0.35082334092 -1038.47 2082.94
5025.81857365 -3.32104063198 -0.447901028932 -945.62 1897.24
5554.65643674 -2.57680254918 -0.358797249403 -1023.41 2052.82
5137.06810247 -2.35212775006 -0.31939724466 -990.753 1987.506
5923.96694868 -2.1193904217 -0.304669902843 -1056.63 2119.26
5940.70128775 -2.56450422747 -0.362303120152 -1075.73 2157.46
5260.53057469 -2.96194724139 -0.405802234611 -961.22 1928.44
5923.11016046 -2.22827613344 -0.318234535219 -1078.71 2163.42
5303.39646273 -2.69038853049 -0.3704750011 -1005.28 2016.56
4927.49687889 -2.80169187267 -0.352011489583 -1059.86 2125.72
5424.53344247 -2.44302429968 -0.337883567878 -1038.22 2082.44
5123.75099919 -3.19492329832 -0.424795478212 -988.194 1982.388
5737.05682688 -2.48455432101 -0.340796207796 -1095.29 2196.58
5468.95355236 -2.65896914584 -0.347683785014 -1122.5 2251
5580.82805329 -2.28921284845 -0.304239813564 -1135.78 2277.56
