"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC"
5849.45491214 173.627826878 -3.17792452152 5.82358946754 -3122.13 6252.26
5296.54283936 171.7824376 -3.06931573187 6.98050513082 -2637.02 5282.04
5103.63799335 171.901696487 -2.82343057723 6.0338709251 -2908.41 5824.82
5010.33924415 173.536724603 -3.07911443604 6.31745868458 -2871.29 5750.58
5314.31425693 172.474069832 -2.97597589345 6.38917899818 -2958.44 5924.88
4744.14910537 172.288100217 -2.88101561153 5.73128739151 -2670.24 5348.48
5435.61408702 174.418406373 -3.37993741438 5.85184590275 -2702.06 5412.12
5521.47745702 172.285183256 -2.99840461698 6.25229130874 -2894.63 5797.26
4955.30811134 172.473213013 -3.13037788249 6.64054106165 -2577.69 5163.38
5560.055434 173.070837255 -3.11216913342 5.85885409564 -2900.36 5808.72
5598.89506407 173.167716465 -3.26207526115 6.65728518556 -2785.56 5579.12
4701.15349765 174.175816545 -3.18630603444 6.15175963531 -2655.52 5319.04
5002.51782506 173.424749735 -2.94774893052 6.09900091537 -3031.46 6070.92
6004.41509709 175.252477277 -3.46008096623 5.827361567 -3131.2 6270.4
5420.08444365 172.390917413 -3.06380203713 6.43206919196 -2890.29 5788.58
5465.1784777 174.672355034 -3.41606012181 6.14069437901 -2809.83 5627.66
5462.18802064 171.993105019 -2.9041231703 6.0951939528 -2988.53 5985.06
5624.00578046 172.630066518 -3.07270213115 6.26971334613 -3046.43 6100.86
5174.42297392 173.4261914 -3.23238016451 6.48541568722 -2702.77 5413.54
5333.15126654 173.099100458 -3.07891537162 5.96223308906 -2965.56 5939.12
5110.99795047 172.575412092 -2.97297432875 6.0592413731 -2882.16 5772.32
5045.36001122 173.559339071 -3.10480005402 6.1339498275 -2811.72 5631.44
4915.51871621 172.394060154 -2.96536531105 6.62724812324 -2824.68 5657.36
4796.2740379 171.851484489 -2.98336131389 6.22566793901 -2527.74 5063.48
5458.82742053 173.045942967 -3.1608406107 6.26527351312 -2794.08 5596.16
5183.22387842 172.561094575 -2.99372172255 5.67875496941 -2795.62 5599.24
5050.62696426 172.864494793 -3.12156426953 6.27875701876 -2718.74 5445.48
4964.00841335 173.895921722 -3.18572822917 5.74579254011 -2654.2 5316.4
5127.82854614 172.881477359 -3.04280912239 6.14444016973 -2846.15 5700.3
5631.78115194 172.527925117 -3.0436345854 6.13858867671 -3061.89 6131.78
5144.52877085 173.916842213 -3.12959041749 6.26936569979 -2873.24 5754.48
5762.35941286 173.670087793 -3.09703150909 5.80588772579 -3193.17 6394.34
5393.85625646 172.848420329 -3.00594977313 6.19339615611 -3005.27 6018.54
5190.26487695 173.569984015 -3.08013355796 6.22437900102 -2950.91 5909.82
5357.69631955 172.68736623 -3.05078248335 5.88366684829 -2931.5 5871
5253.08684061 173.089320481 -3.12795154373 6.13637439882 -2757.81 5523.62
5172.78312348 173.112407363 -3.11950230605 6.09524943653 -2717.37 5442.74
5204.3291365 172.24017654 -2.96812152006 6.16864017148 -2788.88 5585.76
5250.48807555 172.621762477 -3.05330231554 6.2443674845 -2872.9 5753.8
5309.34127007 172.071505264 -3.16753318411 6.47368394245 -2483.48 4974.96
4874.28530659 172.448960535 -2.97757503071 6.70914033013 -2711.52 5431.04
5589.92739357 171.726245904 -3.00675743918 6.62563079715 -2880.78 5769.56
5851.0380091 172.463246404 -3.06132796563 5.67276314515 -3001.34 6010.68
5225.33338363 173.991093854 -3.31053882863 6.60495162241 -2736.81 5481.62
5506.06333073 174.317715929 -3.23461116774 5.91115851782 -2987.38 5982.76
5218.26812526 173.002147831 -3.07540917455 6.35987663757 -2749.19 5506.38
4980.76562589 173.77721875 -3.09804853923 5.81571940336 -2784.34 5576.68
5164.24965643 170.871287524 -2.80998631406 6.33784750635 -2752.26 5512.52
5847.86684675 173.82371197 -3.3409437757 6.63825898066 -2992.4 5992.8
6321.82103112 173.496301166 -3.24439435493 5.95802874073 -3109.92 6227.84
5199.29745506 172.628202718 -3.08504621288 6.61364307669 -2793.15 5594.3
5108.23362304 172.655583243 -2.99175785124 6.13160295106 -2867.7 5743.4
4734.38972645 171.935041208 -2.99338914387 6.66638357342 -2563.95 5135.9
5303.49859772 172.441645014 -3.03625135605 6.13103489259 -2805.49 5618.98
5644.29219144 172.864014256 -3.12359542599 5.97627505247 -3062.63 6133.26
4546.51954113 172.113167135 -2.89777775376 6.67725103359 -2583.83 5175.66
5632.28708013 173.141343365 -3.32895101378 7.1079054281 -2682.97 5373.94
5332.43890063 172.700077811 -3.24412165936 6.32494440769 -2638.56 5285.12
5833.33649513 172.636265905 -3.15468770901 6.58984648009 -3061.75 6131.5
5566.3721129 171.585122379 -2.92361396851 6.18792792674 -2933.72 5875.44
5691.65862619 172.643134146 -3.17548476108 6.42561352021 -2872.64 5753.28
5479.44955507 173.856413577 -3.21197585384 5.9665571285 -2859.66 5727.32
5727.93942512 172.7530743 -3.13168584538 5.94110617986 -2886.24 5780.48
5347.5594554 172.286615751 -2.99150885305 6.04483946624 -2958.98 5925.96
5752.20948497 172.473856044 -3.05799622456 6.68130659311 -3135.61 6279.22
5108.48583761 172.988980777 -3.07914864182 6.50621658396 -2816.89 5641.78
5252.83792956 173.996680137 -3.26020137748 6.08783367871 -2872.32 5752.64
5550.76678581 173.917782916 -3.1873684309 5.95018527804 -3013.06 6034.12
5354.51269854 172.500800225 -3.01087907476 6.52345406105 -2976.99 5961.98
5422.09389233 172.803579375 -3.17451068744 6.44893057014 -2785.46 5578.92
5235.09227125 173.681480731 -3.14219547206 5.88731386977 -2795.72 5599.44
4959.92012717 173.833129915 -3.06165193856 5.75141139451 -2898.12 5804.24
4913.4311116 173.8909931 -3.08496573551 5.48875529299 -2667.97 5343.94
5641.39126134 173.490663379 -3.15704405208 5.51089642297 -2824.33 5656.66
5067.0406023 173.465094141 -3.15206252002 5.85961044982 -2684.11 5376.22
5163.41909449 174.101434332 -3.21517705897 5.99128994339 -2786.78 5581.56
5412.2758223 173.075064385 -3.13452786269 6.10443249666 -2828.11 5664.22
5014.68660056 174.156312356 -3.24535020526 5.94046364106 -2639.37 5286.74
5763.31667317 173.391321556 -3.25903888988 6.43184797667 -2950.44 5908.88
5330.18817028 172.656877182 -3.01048669825 5.96546463804 -2825.96 5659.92
5340.26369099 171.892131252 -3.00242735471 6.44413710983 -2877.12 5762.24
5675.56447987 172.075890631 -3.11643687797 6.52507272249 -2800.87 5609.74
5000.20110019 172.121458608 -3.03765859353 5.85072268125 -2539.37 5086.74
5352.75376761 173.858681574 -3.25859968662 6.01400631648 -2782.37 5572.74
5471.56337574 172.84241339 -3.1355188454 5.68200935979 -2769.84 5547.68
5301.00221131 172.523876121 -3.05048690709 6.77443051187 -2961.75 5931.5
4862.83545745 173.260450891 -3.02448038987 6.17269586961 -2751.6 5511.2
5056.51878993 174.220003522 -3.2321102274 5.33250774209 -2571.03 5150.06
4876.68344953 173.095855547 -3.16078211444 6.0429596038 -2486.34 4980.68
4718.44139357 172.605289771 -2.85985676397 5.94885037794 -2636.69 5281.38
4701.37910329 171.551353401 -2.8540257894 6.71173154836 -2594.37 5196.74
5646.06332333 173.820465158 -3.21106469327 6.49637961206 -3046.06 6100.12
5180.70775798 173.701597504 -3.09770317892 5.91925166621 -2913.36 5834.72
4753.88736336 172.564643523 -2.95860685003 6.10947343292 -2711 5430
5638.61474544 174.076303318 -3.34158128959 6.49591100407 -2796.1 5600.2
5044.87569201 173.343468182 -3.09730133172 5.57319702097 -2731.84 5471.68
5344.28108275 173.625444389 -3.18400832432 5.61744157348 -2747.55 5503.1
5849.93414359 173.254270281 -3.16500364645 5.79503023584 -3025.22 6058.44
5465.74960927 173.306706057 -3.17513086077 6.28192949101 -2930.9 5869.8
5351.44816734 172.915654779 -3.15572637653 6.4681495919 -2879.25 5766.5
5740.75313958 172.41446888 -2.96974492375 5.68002511943 -3090.39 6188.78
5555.98259165 171.532423763 -2.96105066561 6.60594943356 -3015.48 6038.96
5194.45366306 172.845987535 -3.03955362109 6.38123962315 -2889.71 5787.42
5517.00008289 172.653982592 -3.01501309782 5.86815215723 -3026.95 6061.9
5069.14094684 174.168172394 -3.24354961179 6.44651563442 -2801.4 5610.8
5585.16540903 173.644789826 -3.12379229395 5.70488919101 -3016.83 6041.66
4839.12014493 172.825743062 -3.02438891539 5.62400340971 -2567.31 5142.62
5500.7345702 174.198236561 -3.19852852783 5.96747247198 -3123.96 6255.92
5055.29785637 173.718563472 -3.18190689404 5.79293596959 -2712.54 5433.08
5712.0455736 172.488026531 -2.96006971007 5.93600241923 -3123.48 6254.96
5075.33484407 172.610393924 -3.03341353917 6.65883113356 -2899.8 5807.6
5481.44121421 172.782768334 -3.0582747611 6.06717707043 -2906 5820
5658.43114151 174.328630413 -3.29454558772 5.91323561427 -3037.4 6082.8
4574.15599213 173.5543809 -3.07019830909 6.04237741638 -2605.44 5218.88
5865.58732587 173.903798418 -3.21843694453 5.9568940056 -3153.36 6314.72
5333.7885603 172.363462476 -2.9744799834 6.1854156227 -3010.75 6029.5
5425.28646896 173.969251398 -3.27071498216 6.50982920352 -2871.83 5751.66
4869.1522515 172.224413045 -2.89263234164 6.30370537155 -2866.32 5740.64
5742.60285747 173.232065739 -3.20290525416 6.32911051462 -2886.54 5781.08
5324.22464037 172.478167064 -3.09743883381 6.48860553208 -2777.51 5563.02
5654.11830497 172.701380098 -3.0523315706 5.53309539392 -2977.54 5963.08
5689.3600292 173.42375039 -3.1702308526 6.10548741951 -3007.68 6023.36
4980.67289142 172.190363187 -3.00062215188 6.0480035091 -2603.18 5214.36
5383.15832115 172.911477504 -3.06008368833 5.99658662774 -2984.5 5977
5316.10356544 172.070932566 -3.00850788629 6.35528725478 -2813.82 5635.64
4880.66843924 171.657703887 -2.94952041658 6.91915187207 -2632.8 5273.6
5551.10484194 173.47418834 -3.11666318494 5.7372870754 -3021.04 6050.08
5356.57712349 172.613059759 -3.13731562414 6.35585365963 -2704.58 5417.16
5754.40427547 171.782805805 -2.92276510817 5.51721773482 -2987.82 5983.64
5242.56938379 173.734077085 -3.20941624244 5.97514852146 -2769.69 5547.38
5373.2653548 172.049755253 -2.97449666346 6.04568300961 -2803.78 5615.56
5040.3613339 173.921167744 -3.30009928266 6.01753644821 -2602.86 5213.72
5525.1808954 172.672206179 -3.08592485429 6.48785991825 -2948.4 5904.8
5336.32151031 172.8429884 -3.09752257188 6.06889143844 -2803.37 5614.74
5476.58187287 174.369481349 -3.38237656403 5.7582807547 -2834.09 5676.18
5444.40170268 172.664866253 -2.98396908222 5.86589900881 -3086.39 6180.78
4778.66189224 173.651522089 -3.08569253488 5.98121487293 -2706.22 5420.44
5421.98197053 173.290088052 -3.19622975833 6.57033212937 -2874.25 5756.5
5381.64529287 173.229729256 -3.13368322562 5.99498365896 -2702.73 5413.46
5296.03576804 172.944034257 -3.27840935643 6.41970310846 -2513.82 5035.64
4859.43616454 171.758996479 -2.89289527719 6.62999472761 -2754.84 5517.68
4882.3048023 171.965356768 -2.857768538 6.71928648244 -2897.34 5802.68
5117.5396596 172.040833914 -2.90564980676 6.31247716494 -2954.77 5917.54
5182.23059123 171.142780019 -2.92290975199 6.80790047402 -2774.22 5556.44
5258.94454611 171.460307201 -2.89974723204 6.30256117642 -2742.78 5493.56
4920.79416694 172.745617814 -3.0887974298 6.73739822296 -2586.43 5180.86
5592.64891949 171.050431079 -2.91128215551 6.82408668892 -2935.06 5878.12
5093.12532159 171.88854774 -2.89271798055 6.48655089495 -2782.2 5572.4
4931.69249748 173.876566887 -3.04970778643 5.18978717233 -2799.71 5607.42
5095.05557088 172.152928502 -2.98929061695 6.80249154824 -2745.72 5499.44
5419.71109232 172.310160465 -3.19386849023 6.11171489195 -2567.53 5143.06
5414.37687044 171.809588893 -2.98739850958 6.75018624723 -2861.56 5731.12
4794.70086198 171.90770283 -2.9420855993 6.33283448268 -2593.38 5194.76
4867.95710734 173.964422854 -3.21325808364 5.85887358217 -2561.85 5131.7
5619.70584906 173.236390477 -3.15676767834 5.94057956466 -2962.4 5932.8
5496.09259712 172.186857739 -3.22239905481 6.57663036909 -2573.89 5155.78
5795.45201358 171.387018057 -2.90317555414 6.79901193705 -3151.13 6310.26
5129.73610432 173.142230887 -3.11978286912 6.45118792014 -2744.93 5497.86
4611.06340712 174.677856437 -3.24591517623 5.77269785696 -2629.6 5267.2
5370.38275665 173.591127171 -3.17880483906 5.97090726752 -2759.33 5526.66
5700.18546186 171.926627181 -3.05932889077 5.83348046775 -2754.32 5516.64
5429.01223601 173.348990372 -3.17483310511 6.22717666909 -2853.15 5714.3
4906.31151081 172.467833031 -2.94374833502 5.98908843215 -2698.8 5405.6
6063.64770047 173.062246224 -3.11673507387 6.00461834012 -3221.25 6450.5
4879.61335253 171.524445426 -2.77513846627 6.37761164131 -2945.66 5899.32
5357.53490225 173.978886462 -3.2771541936 6.03861086039 -2785.51 5579.02
5348.17285042 172.889302756 -3.03579520933 5.8837127745 -2911.99 5831.98
5324.20559636 172.115364933 -3.04329672558 5.87172451382 -2755.25 5518.5
5380.38721112 173.048765017 -3.11493836166 5.77385628272 -2753.52 5515.04
5189.6356819 172.452851931 -2.95911992024 5.45503532944 -2878.86 5765.72
5205.63890163 171.910366627 -2.97862112651 6.31928163777 -2728.12 5464.24
5544.13484205 174.058663691 -3.23273808224 6.45277014604 -3035.55 6079.1
5462.02613544 173.287319904 -3.03935361392 5.86727294738 -3042.56 6093.12
5432.7990425 173.652204884 -3.18009435125 5.82773016505 -2916.18 5840.36
4823.11522954 173.169519568 -3.01974762843 5.94900331213 -2674.06 5356.12
5831.70671313 174.089129596 -3.1779501311 6.22741341549 -3208.04 6424.08
4729.11887089 172.954140402 -3.03999400237 6.31565939154 -2735.15 5478.3
5035.06038917 171.6886009 -2.8413103254 6.07213672316 -2772.58 5553.16
5096.21974132 174.470067145 -3.36832004698 6.08055406609 -2573.98 5155.96
5735.49533062 173.180003811 -3.17890931917 5.88860078257 -2940.91 5889.82
5525.81944698 174.324642863 -3.35218775077 6.41868758894 -2879.39 5766.78
5150.86840346 172.719983742 -3.03740632289 5.27677191128 -2687.9 5383.8
5208.11455813 174.062009383 -3.2569873027 5.99734680944 -2683.17 5374.34
5084.92801079 173.188479174 -3.09653190443 6.31689712762 -2763.4 5534.8
5284.11673797 172.485062741 -2.99759697397 5.84999573516 -2868.02 5744.04
5490.12032423 172.45017501 -3.06006016855 6.2799440573 -2870.93 5749.86
5436.49464272 173.604165399 -3.25900015386 6.45962379142 -2870.48 5748.96
5050.30467682 174.382989319 -3.21596426793 5.50284770693 -2769.55 5547.1
5177.47206252 171.32528225 -3.01782689217 7.13439865397 -2524.21 5056.42
5472.27785599 173.184857284 -3.17471872865 6.06784330468 -2873.88 5755.76
4816.67508659 173.501508259 -3.17734026293 6.51247083766 -2545.59 5099.18
5400.87163103 171.328586525 -2.92123206532 6.93191448545 -2868.02 5744.04
5075.31540022 173.273274895 -3.09118797908 6.09941823984 -2790.55 5589.1
4901.02253304 173.872334442 -3.14818802531 6.04990323829 -2731.51 5471.02
5550.78603305 173.342604284 -3.20981251654 6.07704663007 -2914.35 5836.7
5400.60380862 172.999830572 -3.0727236866 5.40918738354 -2893.18 5794.36
4687.27636874 174.121665104 -3.15336202221 6.26420439505 -2590.41 5188.82
5061.28106093 173.587261124 -3.11091342721 6.1805153999 -2749.43 5506.86
6238.85400947 173.387515773 -3.30433095254 6.23705381155 -3077.94 6163.88
5065.4235031 173.015714287 -3.05083681893 5.69631486041 -2784.17 5576.34
4657.63525599 172.653608798 -2.94740591613 6.34733603558 -2604.24 5216.48
5001.20478725 174.454111589 -3.24229755166 6.11338691843 -2762.21 5532.42
4929.2444475 171.782476758 -2.87303974379 5.83426193019 -2764.68 5537.36
5479.3591598 172.652624761 -3.1491292195 6.22759084671 -2798.36 5604.72
5289.2519803 173.829376515 -3.15040112962 6.20525999418 -2961.56 5931.12
5031.56916793 172.735847863 -3.0944625589 6.54025193634 -2591.71 5191.42
5342.99280939 173.119356157 -3.15798619174 6.5361198196 -2783.98 5575.96
5626.07616839 173.098055337 -3.15368432747 6.45037753067 -2921.96 5851.92
4898.0288131 172.558958827 -3.00276328412 5.54306279376 -2602.36 5212.72
5510.05158515 173.382617666 -3.11057037443 6.09335338729 -2968.69 5945.38
5097.11253824 173.740535445 -3.16103761729 5.4915294635 -2648.5 5305
5246.6806938 172.894385624 -3.09100429863 6.22947372641 -2767.33 5542.66
5866.38799164 173.701808423 -3.37215522511 6.64722225716 -2830.06 5668.12
5578.04756763 174.197304829 -3.24046749926 5.765995974 -3028.94 6065.88
5193.98023302 173.918580607 -3.33020074938 6.35471833518 -2640.36 5288.72
4895.61518592 173.394362509 -3.10636352719 6.10739313248 -2747.89 5503.78
4811.59199401 172.421563508 -2.97432013174 6.03775221146 -2709.23 5426.46
4905.24541676 171.650106341 -2.95880648678 5.76375909894 -2504.49 5016.98
5285.23362687 171.953062939 -2.96378306667 6.17096733745 -2854 5716
5082.60853389 172.246260593 -2.94833317432 5.77251915099 -2751.48 5510.96
