"D" "sigma" "logLik" "AIC"
4937.26126019 5.47723467401 -1050.96 2105.92
5061.12855087 5.38343615552 -1038.78 2081.56
4834.56355106 5.57995299217 -1067.17 2138.34
5124.61009903 5.30437091839 -1032.61 2069.22
5231.54283391 5.57322391204 -1142.57 2289.14
4501.63840939 5.59223198612 -994.808 1993.616
4991.96006855 5.4135098946 -1033.63 2071.26
5042.10818589 5.51618685325 -1087.09 2178.18
4709.92569469 5.53433167284 -1016.34 2036.68
4456.52044677 5.4502713958 -947.548 1899.096
4575.63343621 5.51760941512 -991.204 1986.408
5119.47409984 5.4048314287 -1075.71 2155.42
4429.3609533 5.44898553236 -943.013 1890.026
5605.28371591 5.23228128514 -1093.19 2190.38
5014.33189731 5.46190229715 -1066.47 2136.94
4645.3055827 5.48329177059 -991.282 1986.564
4683.40915917 5.31165687719 -936.244 1876.488
5211.80012435 5.29530548025 -1031.48 2066.96
4684.48592995 5.41642419803 -979.413 1962.826
4570.39791418 5.63911352783 -1044.31 2092.62
5400.28854408 5.19595397325 -1041.12 2086.24
4927.79806671 5.32918300614 -990.704 1985.408
5239.7915658 5.41217595232 -1095.52 2195.04
5226.98879178 5.17764832798 -1006.35 2016.7
5142.67221283 5.53567601966 -1107.08 2218.16
5167.74261035 5.56905124419 -1151.64 2307.28
5259.37563749 5.35636033079 -1078.87 2161.74
4911.00104323 5.24029678803 -977.598 1959.196
5611.4251246 5.05727554489 -1023.71 2051.42
4673.91393645 5.62104524917 -1056.8 2117.6
5490.19025734 5.36926628681 -1135.23 2274.46
4747.25080375 5.46985673102 -1004.29 2012.58
5302.5012726 5.35702974648 -1073.85 2151.7
5056.01660997 5.33284559764 -1024.11 2052.22
4868.47950129 5.32927917765 -982.388 1968.776
5463.00987961 5.25643517109 -1074.61 2153.22
5352.79583986 5.25958913303 -1067.81 2139.62
5467.57725917 5.39479488037 -1123.18 2250.36
5218.91551237 5.64384759562 -1207.22 2418.44
5286.19800551 5.46158936574 -1113.96 2231.92
4191.6488514 5.71181627312 -974.058 1952.116
5342.83974932 5.55293860359 -1174.52 2353.04
5110.81930901 5.46451589563 -1082.83 2169.66
5269.29135952 5.32837925817 -1066.7 2137.4
5270.35836897 5.43173314198 -1110.21 2224.42
5201.08267308 5.30295080951 -1025.99 2055.98
4922.16688681 5.61983257733 -1109.47 2222.94
5753.84932868 5.34048641774 -1172.82 2349.64
5267.83710836 5.45421433849 -1123.02 2250.04
5543.77002255 5.24284776519 -1087.19 2178.38
4957.58832114 5.29556139153 -977.144 1958.288
4925.10054166 5.27500342957 -984.679 1973.358
4886.36917239 5.48363209449 -1047.43 2098.86
5162.61225352 5.34128168175 -1037.82 2079.64
5392.36763066 5.41682670612 -1127.03 2258.06
4727.10813343 5.76749176217 -1110.69 2225.38
4986.86197418 5.64416373717 -1125.37 2254.74
5228.45745488 5.26220992789 -1029.33 2062.66
4663.52058962 5.49162658764 -992.018 1988.036
4563.8433166 5.59802988431 -1022.42 2048.84
5222.22254493 5.62100885348 -1167.31 2338.62
5549.37321155 5.20890579319 -1074.1 2152.2
4315.23351193 5.78192895003 -1020.26 2044.52
4969.62412789 5.66833112781 -1131.45 2266.9
4751.94147979 5.64686186517 -1078.49 2160.98
5046.16663842 5.41625691086 -1056.91 2117.82
4875.32206527 5.55859803768 -1059.75 2123.5
5658.98162286 5.40289421557 -1184.24 2372.48
5361.84578795 5.27411013849 -1057.27 2118.54
4939.4293552 5.45357446989 -1050.02 2104.04
4804.12774234 5.52625645677 -1051.47 2106.94
4719.42917667 5.6512229676 -1063.9 2131.8
4789.612651 5.53787433671 -1044.92 2093.84
4932.98332771 5.51343094521 -1057.51 2119.02
5737.04428711 5.25489574236 -1128.52 2261.04
5185.0910893 5.5146041249 -1124 2252
5381.46712418 5.50519860056 -1150.04 2304.08
5150.81828174 5.20967358318 -988.343 1980.686
4900.49835477 5.59348979384 -1078.09 2160.18
4701.4942434 5.59821900316 -1044.01 2092.02
5091.4297266 5.48962848269 -1093.76 2191.52
4611.86063182 5.49918585955 -992.108 1988.216
5155.87006443 5.24943574926 -1002.9 2009.8
5120.42136549 5.53134275016 -1082.75 2169.5
4653.63207661 5.34727798127 -958.714 1921.428
5337.81865363 5.34254003212 -1075.04 2154.08
5582.7675703 5.06541571051 -1032.87 2069.74
4334.30266709 5.60600850396 -968.163 1940.326
4589.20024445 5.86311280836 -1112.32 2228.64
5564.59224514 5.36845737632 -1148.84 2301.68
5016.41252029 5.47114831389 -1066.67 2137.34
4962.10309912 5.42521244851 -1034.98 2073.96
5138.39790001 5.55978616879 -1112.5 2229
5236.31273961 5.46668824098 -1127.22 2258.44
4765.38944089 5.43250612305 -988.349 1980.698
4786.25807996 5.66325609324 -1088.31 2180.62
4776.67670639 5.58195587872 -1073.79 2151.58
4769.40373836 5.52028770973 -1042.13 2088.26
4439.12186672 5.74165813233 -1041.53 2087.06
4517.62540885 5.41087016359 -942.645 1889.29
5432.44583631 5.16392643483 -1042.99 2089.98
5001.19499765 5.39559050488 -1037.29 2078.58
4688.57780863 5.44801742309 -998.058 2000.116
4838.46435936 5.31818536109 -980.795 1965.59
4754.85470399 5.56591368315 -1046.66 2097.32
5072.05042808 5.610040948 -1129.15 2262.3
4887.70138111 5.53783033701 -1061.1 2126.2
5226.28439981 5.68902987744 -1172.85 2349.7
5079.19957025 5.56243951412 -1117.86 2239.72
4867.0495288 5.59813400149 -1079.72 2163.44
4769.96102389 5.65438795943 -1080.04 2164.08
5148.56666328 5.26547539638 -1023.95 2051.9
4947.62499598 5.36992288971 -1021.32 2046.64
5075.07081044 5.37309942826 -1043.41 2090.82
4499.09751216 5.81693472696 -1054.7 2113.4
5207.13776043 5.05027385849 -940.122 1884.244
4658.45866023 5.51896508547 -1001.23 2006.46
5553.84572887 5.18575625534 -1080.82 2165.64
5644.1979784 5.2760845315 -1117.8 2239.6
5101.04389415 5.21248973915 -995.829 1995.658
5022.45758355 5.58460160979 -1094.63 2193.26
4975.32933215 5.44802670863 -1032.33 2068.66
4532.87308594 5.69460718937 -1021.99 2047.98
5007.49372988 5.40178637639 -1029.52 2063.04
5472.38634311 5.30087733245 -1098.57 2201.14
6287.53015163 5.10779111847 -1160.37 2324.74
4816.15383534 5.49423436892 -1021.97 2047.94
4779.6832712 5.5683161338 -1058.7 2121.4
4352.68652786 5.54032793907 -949.863 1903.726
5115.01201291 5.34372843222 -1046.34 2096.68
4935.61163682 5.65235162636 -1132.41 2268.82
4263.72455535 5.65751773475 -960.108 1924.216
5697.22300068 4.95279496284 -993.72 1991.44
5149.84929645 5.10093237509 -980.4 1964.8
5321.44546215 5.44659906364 -1131.95 2267.9
5334.71520396 5.38592799438 -1093.47 2190.94
5298.64498096 5.32855464845 -1074.1 2152.2
5386.09090198 5.25743751148 -1059.68 2123.36
5652.7408637 5.1615983207 -1076.43 2156.86
4926.47542839 5.55126990189 -1091.99 2187.98
5302.54552863 5.53152158315 -1155.53 2315.06
4845.24827459 5.47126649732 -1039.71 2083.42
4801.63533782 5.49451543334 -1050.44 2104.88
5107.00611014 5.55194644257 -1110.85 2225.7
5004.69233235 5.54477796395 -1101.63 2207.26
5044.1007001 5.36348659226 -1037.52 2079.04
4914.89486492 5.49455693474 -1044.39 2092.78
4570.00605829 5.70890396266 -1063.46 2130.92
4887.01285846 5.3715055099 -995.169 1994.338
5743.55669399 5.11377308551 -1066.44 2136.88
4837.14853057 5.37613638465 -996.664 1997.328
4964.4210358 5.37935238573 -1027.16 2058.32
5257.6614243 5.2840057845 -1051.7 2107.4
4722.98528567 5.42032336271 -981.672 1967.344
5386.45448513 5.32924341534 -1086.86 2177.72
5125.62456173 5.42163260059 -1055.13 2114.26
4846.88466255 5.54797663133 -1066.44 2136.88
5484.72541069 5.18056166906 -1050.9 2105.8
4785.42406979 5.29010973646 -951.82 1907.64
4985.44313182 5.39650734691 -1031.28 2066.56
5161.42629027 5.32075397136 -1034.68 2073.36
5101.62317551 5.39658031117 -1088.6 2181.2
4694.13247907 5.51281800523 -1010.21 2024.42
5020.7935491 5.21532732431 -966.881 1937.762
4702.63588832 5.27282444584 -922.587 1849.174
4625.12254417 5.58133293341 -993.827 1991.654
4471.34130344 5.57061503457 -974.882 1953.764
5313.1410052 5.45252732888 -1110.1 2224.2
4883.60114746 5.55206299751 -1077.26 2158.52
4340.96438719 5.69785940157 -999.117 2002.234
5630.70763455 5.09556149457 -1036.4 2076.8
4745.3594587 5.47137378812 -1015.15 2034.3
5053.16735897 5.37850534421 -1021.68 2047.36
5401.34309034 5.44085085572 -1125.65 2255.3
5169.18234124 5.37910233445 -1079.31 2162.62
4772.63126593 5.57401512942 -1059.92 2123.84
5428.49812141 5.48197692187 -1160.69 2325.38
5021.25520629 5.57486634559 -1120.08 2244.16
4806.74331186 5.59117431979 -1072.69 2149.38
4917.50584029 5.69894300705 -1117.5 2239
4420.81497997 5.75798477991 -1028.45 2060.9
5189.41058584 5.54256639262 -1118.35 2240.7
4540.0034717 5.5001317634 -961.853 1927.706
5032.79909179 5.60851069706 -1135.17 2274.34
4793.26366642 5.39904301189 -995.361 1994.722
5269.06067642 5.62689749478 -1164.93 2333.86
4424.50018291 5.81364923853 -1060.64 2125.28
5164.60656592 5.45644032979 -1076.04 2156.08
5243.71689204 5.44056756604 -1108.09 2220.18
4193.07184815 5.68532443875 -958.864 1921.728
5414.6302099 5.49173700005 -1161.36 2326.72
4840.37034623 5.66335533943 -1121.6 2247.2
5260.80465793 5.28179135062 -1057.96 2119.92
4458.55495761 5.74798318607 -1041.5 2087
5639.87191031 5.189820842 -1077.77 2159.54
4934.56669785 5.43525757831 -1038.15 2080.3
5206.61280301 5.49875607078 -1109.18 2222.36
5398.20426585 5.38231330847 -1110.16 2224.32
4871.60613112 5.29280805527 -974.434 1952.868
4740.05012328 5.7345518313 -1103 2210
4970.09088526 5.45202524096 -1048.58 2101.16
4532.25783275 5.54234086532 -986.899 1977.798
5172.86974244 5.51322047321 -1116.52 2237.04
5248.61364418 5.18404507968 -1015.21 2034.42
5408.42775964 5.44595278271 -1126.73 2257.46
5013.93697388 5.34215522555 -1025.49 2054.98
5033.92234564 5.46868342607 -1052.78 2109.56
4645.06893677 5.38964187825 -959.527 1923.054
5170.68443308 5.45197299379 -1092.39 2188.78
5022.92184179 5.41198877825 -1041.92 2087.84
5124.60434788 5.28273673122 -1037.55 2079.1
4941.19854628 5.68009957598 -1143.72 2291.44
4522.02684316 5.5510349332 -984.343 1972.686
4987.76583455 5.47125869051 -1055.53 2115.06
5359.06374157 5.21359369394 -1015.94 2035.88
5234.23260888 5.02083988841 -936.517 1877.034
4492.8324322 5.64721529305 -1020.52 2045.04
4325.20525971 5.92827296651 -1063.86 2131.72
4724.08995274 5.65860177941 -1089.63 2183.26
4779.71217822 5.5007136431 -1037.36 2078.72
4985.94160626 5.45086196589 -1031.17 2066.34
4817.69976373 5.31128697526 -968.202 1940.404
5304.20745271 5.39721880422 -1091.54 2187.08
4880.24122164 5.52163453162 -1039.14 2082.28
4612.39115541 5.63821476719 -1034.77 2073.54
4918.21863137 5.41458030744 -1019.5 2043
5114.82630082 5.16967001951 -970.847 1945.694
5252.99883001 5.32943812281 -1068.03 2140.06
4413.68840336 5.58458904669 -955.942 1915.884
4637.22588896 5.38418741134 -955.77 1915.54
5135.74109867 5.49885255624 -1098.05 2200.1
5252.30764437 5.09546922949 -968.452 1940.904
5367.45062948 5.56529545502 -1174.4 2352.8
4989.35718375 5.33847312632 -1018.65 2041.3
4174.25224326 5.65229809029 -959.493 1922.986
5079.00009666 5.40257769812 -1031.12 2066.24
5579.4212183 5.13869877514 -1041.34 2086.68
