"D" "g01" "sigma1" "g02" "sigma2" "alpha"
2.83499783649 0.970689076945 175.536662935 0.234745013871 305.910489827 4.62644716467
1.32710526457 0.884345493638 218.218952208 0.570472756273 296.739492813 8.9748881586
1.16773646308 0.999999293741 230.911825885 0.527927376263 289.697337149 4.22787086966
1.88569983517 0.999999842851 193.791886479 0.374802986904 284.288633755 2.54384801907
1.40589688225 0.999999826756 251.279190301 0.184674397789 329.774873866 4.72224916538
1.54306055156 0.999992426401 218.863387554 0.319642568333 341.187251704 2.66291351203
2.10278877644 0.999999392368 183.942656317 0.289494500485 305.947021479 2.64682489593
1.88612588325 0.476808112162 279.177598538 0.253616085586 293.070256515 4.28275725459
1.8816652847 0.829832132329 227.780446286 0.27475720664 292.564650139 4.12490676019
1.22642410116 0.99999972335 248.191123926 0.279526362697 384.857891534 4.18412563452
1.5657352026 0.846241037555 220.30095284 0.357864238766 306.789886538 6.8379176664
1.80406524164 0.805142591819 219.695656106 0.349751259944 305.9718678 4.75451496961
1.88657724443 0.99999977535 211.837656405 0.120659860792 434.415601411 4.56996041504
1.2304587127 0.999999840994 227.500560848 0.418854436449 340.64558004 4.42326582367
2.18655358819 0.537561996642 244.281475372 0.216451088844 317.18209504 6.07584260267
1.51503145029 0.892362967002 234.431153747 0.370433656366 312.219724553 4.2680838938
1.74329710667 0.999999736683 231.160720645 0.385320275607 288.86780791 3.56846167589
1.438544317 0.999999353233 221.469369936 0.661126076419 253.04528884 2.53711405671
1.74530717101 0.859466120061 231.96685757 0.296640060601 372.449288025 4.97005103384
1.11509775302 0.999999763648 255.867105691 0.368154362568 340.61459738 3.90021287331
1.64005295455 0.629837299097 279.709469293 0.222692176739 343.106117995 8.48560686842
1.65922215412 0.999999436524 233.298891037 0.244015761409 366.150997109 6.11529253343
1.97766775734 0.606517709556 228.669608992 0.343714122385 298.805639206 3.96807202223
2.76127916088 0.999999512588 166.975869987 0.332953555316 252.513525959 5.03749364371
1.60071371713 0.854730055149 202.871075415 0.242310714722 357.241416112 3.23310093975
1.27855128706 0.999999249588 238.074653697 0.295823268328 366.617373095 3.90404734369
1.43570740851 0.999999744292 218.772675678 0.3291862904 337.54288209 2.99394531148
1.40285272288 0.999999839257 205.990038226 0.306590503129 313.811980197 4.90017325707
1.27799679173 0.999999433766 228.640773259 0.312204645848 333.863771675 6.90683765313
1.76765570514 0.970724703943 230.332918858 0.385056504479 305.191920236 6.1464402372
2.83566324866 0.591206918624 198.176527658 0.133634404776 388.949506139 5.15447425644
1.22498421962 0.999996881358 234.845295759 0.41498176034 321.626955063 4.21414311707
2.46120063774 0.882161276278 198.095866857 0.297236735724 284.409723075 10.1900872971
1.7861819801 0.954432344318 199.619858638 0.323413497138 296.020667418 5.95603068813
1.55708884675 0.999999454849 210.456505605 0.264724101494 340.1302748 5.25447408621
1.48444464498 0.999999747456 237.662850209 0.391739794231 271.928642701 3.88856663613
2.56954151845 0.903296391742 180.829039191 0.260859578593 234.235083102 4.30941687216
1.82072867339 0.808446978491 235.514896369 0.259518573838 357.704591417 4.0212734227
2.83531114142 0.701258459023 199.894565588 0.131780948525 345.410832278 4.61928367243
