"D" "g01" "sigma1" "g02" "sigma2"
1.85835930533 0.999999650406 202.953411218 0.209633593499 340.272196422
2.75883784151 0.636311594927 204.685043959 0.116506591665 385.34017545
1.82726606068 0.950674400796 208.297578677 0.35530498804 310.146843478
2.41520295985 0.783996708126 201.753961487 0.346771475102 269.947031484
1.48262816468 0.86328395128 235.658867222 0.268351096382 349.760811959
1.58795949723 0.841546615189 203.513746946 0.375243352617 325.228010668
1.90720202409 0.999999730182 207.844960334 0.16024986233 413.638416889
1.87927466366 0.784611788285 218.302858952 0.227364328866 321.310621042
2.23230498531 0.621045333146 229.821740289 0.264427482622 310.942868524
1.71015062667 0.999999893933 197.13107704 0.511876004304 298.897222462
2.15476265719 0.647208646299 221.482489795 0.219261389725 366.721373383
1.83384429309 0.873279537612 205.3479112 0.188000466507 363.460624799
1.72726155601 0.564282699569 237.887335794 0.207896540132 408.916131082
1.57407776258 0.902203227223 241.542738395 0.345501439448 306.144454465
1.80496783075 0.999999824378 198.812307772 0.309164035966 321.295809881
3.33626550275 0.484435892972 241.917276336 0.181265935527 289.830036527
2.03464178283 0.847622484594 205.159657785 0.214940754842 391.333198334
2.02543853356 0.782639645216 205.350041199 0.188882358421 346.569063435
3.2766879654 0.409158505068 251.466940207 0.0903152551689 366.704524208
1.73507886947 0.999999757673 210.919519956 0.378981059742 279.181028534
2.16582088375 0.732377509531 222.139395861 0.235295862891 339.58309119
2.56721369718 0.641444866589 223.159592715 0.195843270288 319.544900325
1.49264572369 0.791436425768 235.131990274 0.233290487922 348.278302691
1.41062267978 0.999999395367 232.246700006 0.237358075349 336.956816357
1.63977521006 0.999999643912 215.905366524 0.284130232498 365.406732845
1.79946954004 0.883990925808 210.603089575 0.225760671812 342.432060906
1.6931234248 0.732342731046 238.023980002 0.215899434732 395.0947947
1.7752808279 0.600753813782 246.676636722 0.307093429139 304.626681624
1.30268626997 0.999997330791 215.281393555 0.302878522184 374.112547314
1.66722384232 0.999999745754 202.039083731 0.307163228247 328.736893183
1.84946248871 0.617019942832 282.70303032 0.315720206421 330.819109727
1.77289953274 0.965960483352 215.765055441 0.315361640478 351.398999569
1.63990888091 0.999999400668 207.440264625 0.394569608524 290.204056253
1.12893863702 0.868732827767 248.090840293 0.200337402391 407.667852106
1.56278073815 0.894774645927 228.424561363 0.343678075925 304.216454603
1.35177185001 0.999999670673 217.860820324 0.343118052528 355.043444662
1.41495137829 0.999999852948 219.398622085 0.141217822087 418.071258615
1.62127334336 0.873667441595 238.803477326 0.300508921458 335.02838855
2.28682975334 0.972633610431 201.162453693 0.156449050864 340.098831565
1.52805222919 0.685257639533 261.789492485 0.308707356642 352.779116925
2.09357051695 0.861486993622 222.066965498 0.240570539647 359.259263788
2.00796472227 0.999999616981 198.868959339 0.251078239885 307.41115355
1.88437734305 0.766238263016 233.812794848 0.397477205627 276.140411989
2.45072978577 0.99999937055 182.549621417 0.184486029448 306.41849618
1.8804342139 0.809540538101 230.155967849 0.309055356481 334.963798641
1.56107323179 0.905733305466 226.623599456 0.23536551782 340.848982808
1.83024006506 0.999999790578 214.095509067 0.265773719621 294.162498506
1.60696982943 0.73310347504 241.887758155 0.28346087737 338.63050934
2.13369360513 0.999999829318 200.262934058 0.328056965207 286.420655051
2.02072438782 0.881294307202 208.433826395 0.264240206124 320.263175572
1.98683476893 0.73231412438 214.152987474 0.332229259718 286.345753996
1.63961608179 0.931095347754 217.720148458 0.310234428062 357.375475432
1.49193948862 0.74342770455 232.783988962 0.201826811753 390.56553758
1.83950458199 0.780188662253 247.950956426 0.370798388855 318.029925745
1.21905627259 0.991416628422 251.608785177 0.248002299207 370.576086093
1.64010791615 0.984691759319 208.703627644 0.359642016648 310.591436357
1.47065348233 0.923957185336 223.887846295 0.17309797356 402.079471079
1.72744308857 0.419667611095 258.351920701 0.196431448542 359.369494867
2.22861519794 0.529131304524 241.364605523 0.244183711272 322.641521313
2.03630766138 0.684082223798 245.86855768 0.405476974725 261.50607312
1.35677915569 0.700372437595 286.468802011 0.333721467349 381.766586688
1.96839632371 0.813996216296 210.016806621 0.350357090392 248.028887231
1.62101481682 0.722571719953 257.438593556 0.189710752882 362.386768593
1.83575790125 0.999999464999 188.159856266 0.332777282519 287.255994457
2.03404940669 0.844291819663 229.795800664 0.281344215497 309.055055852
2.43335231409 0.614551983069 204.379046504 0.255769081734 292.689545031
1.73442704088 0.650183001375 216.652565088 0.293740050961 307.510215151
1.57593219585 0.711289280438 258.141443495 0.293575547607 335.505376194
2.28793650692 0.707251312971 224.238136806 0.190883737077 356.469318225
1.32448718659 0.947802493434 231.510220495 0.182495386792 434.990598448
