"D" "g01" "sigma1" "g02" "sigma2" "alpha"
2.06013018311 0.99999983131 192.250481034 0.213937475832 321.944716556 6.47738381141
2.46281286476 0.803522162958 195.744856782 0.158115065493 350.75642702 9.9753386183
1.78201390311 0.999999712513 206.599511957 0.377658196806 306.05062963 10.6248827297
2.28454019591 0.920491930184 194.00421136 0.385069606465 264.697436105 11.1926425973
1.49265906857 0.972411555007 228.164132137 0.375058945655 295.295613357 7.46035863621
1.59877284189 0.943300058586 197.19909402 0.451006154054 295.863364596 10.3622950352
2.08278685965 0.99999985394 201.170111042 0.194118237322 359.716212769 6.15189543652
1.71980946706 0.841205218688 221.525896619 0.24537978081 324.103563403 9.16109787585
2.18795260243 0.676378982237 223.990827203 0.288153759027 301.503536557 20.3059808643
1.74250726626 0.999999917434 198.688572168 0.577756634242 279.345783274 7.78638134941
2.02623026135 0.732611733386 217.249753469 0.250829777155 353.915239702 16.6543658087
1.97767461296 0.99999970639 185.428859205 0.203589652836 338.36272799 5.66138166156
1.60853090292 0.68138766432 225.96368422 0.226381301251 407.123248182 12.8479724493
1.61846499536 0.999999709996 227.365433439 0.369080169626 294.686264618 7.44013058221
1.99042232696 0.999999886489 191.191383284 0.350247644129 288.291796877 7.39112069958
3.04512697835 0.700922569735 212.429956102 0.214756629951 282.461289974 6.9689046611
1.92779663899 0.999999267968 196.275678355 0.239449273574 381.306342286 12.4691350661
1.93537801896 0.999989966126 188.839617918 0.23046330521 322.087873124 9.32812365005
3.14447880512 0.43397812484 249.457569352 0.0925918260156 369.966407747 22.5534240834
1.69443854503 0.999999840032 212.372403614 0.381077230807 283.974916834 6.78966164259
1.99157115244 0.854962877719 216.657945211 0.264238937658 335.143317464 12.5457692125
2.46272765514 0.830913561955 201.811195903 0.223720040546 307.954977946 10.5868354709
1.41643791141 0.999999508785 217.174639395 0.267742261063 336.343178548 3.91506100624
1.4179576846 0.999999745821 232.698257074 0.261141971342 321.322472168 7.29805179395
1.61016592837 0.999999777952 219.764211858 0.310749233878 352.541068477 15.5217760985
1.73692185079 0.999999061689 202.2640449 0.236448983698 341.94892735 12.6645600747
1.57589431504 0.935556302665 223.341077517 0.280600373843 360.789130422 6.30344688702
1.60275064331 0.779485874825 230.798008024 0.341338555912 306.513934755 10.9156833506
1.41279882238 0.999999744494 205.511301333 0.29531301959 364.949410578 9.23000138024
1.79325433947 0.99999984167 197.282037353 0.346752198476 298.114391422 19.4784650102
1.88613158425 0.750179252554 254.402494453 0.336088347117 322.309464121 11.6776251949
1.83693940059 0.999999686047 208.659142618 0.325630841794 340.794895069 13.3895499804
1.56911819649 0.999999770828 214.065062127 0.446302966487 280.236105441 6.61695064951
1.14734676759 0.99999886766 229.200939662 0.199564175538 407.324114035 12.7601646301
1.53974392125 0.997564950758 220.110911217 0.373039221476 295.21470209 14.3226628312
1.33786245415 0.999999840205 221.784848725 0.38301736922 337.695761814 13.5779985862
1.38940391969 0.999999850221 222.565533148 0.157129855814 399.972116957 11.1290857106
1.58892434765 0.999999754967 231.199252557 0.400476177018 295.398735085 5.42509263621
2.325699483 0.999999506372 197.7401902 0.175201167013 319.27457147 15.3829731759
1.56652261718 0.999998855437 219.145033129 0.383697529748 317.241318481 6.34057729101
2.04212994848 0.969368052149 214.577477626 0.274615759505 341.108133954 16.2225301564
1.99847470794 0.999999714976 198.582282807 0.240141354572 315.408760121 14.4927155603
1.81121446174 0.989581913082 212.010716786 0.421737189852 277.073141584 13.4292226014
2.47493374683 0.999999763871 181.949024654 0.194884869117 297.493114032 8.93390407335
1.80992361654 0.9754568629 221.341675186 0.426604964968 292.050542672 7.16760638608
1.53959079374 0.999999161483 218.265383602 0.250121684312 334.008188423 9.57327862252
1.92557657597 0.999999841655 208.108710206 0.26370105507 289.328100707 13.6102438164
1.49597478294 0.937256540338 225.680053188 0.325183871826 328.825397084 15.8486839031
2.11807744122 0.999999856683 201.475279519 0.34198544882 282.073154411 14.1176327381
1.82697882378 0.999996735411 208.349780935 0.301546764867 316.387541401 7.92984785983
1.89373546289 0.916362701601 198.714956053 0.374162819737 278.898094159 11.8115834023
1.70305019531 0.999999702917 209.598322947 0.359368961543 326.329367003 10.8866853726
1.41119996244 0.846803468051 228.290625097 0.254485662097 358.186776806 7.30683030513
1.74519857454 0.986834694929 231.273255229 0.441992250568 302.170594563 10.0382520134
1.25925552763 0.99999967144 248.6483036 0.284647023435 340.887364872 12.5728763134
1.70271801103 0.999999708651 204.251672985 0.384189185043 295.867846569 12.3696206412
1.49002272742 0.999999612351 215.666550211 0.19961859895 372.758486394 6.12469833057
1.47198083722 0.651470192314 227.37819607 0.224534662245 366.536146325 9.21132789555
2.16682450871 0.646462027072 225.716667293 0.313314548183 290.152155702 7.73459805266
1.95710906925 0.846193690835 227.349742767 0.453929004215 257.183246822 8.39655128672
1.33817699699 0.824774552896 270.691101851 0.408740755187 350.390449147 7.90561996334
2.0814691637 0.999999619233 185.596013029 0.397239072336 231.510616616 7.83041385301
1.55001219637 0.999998756242 229.595654862 0.281521065731 307.611417611 4.05878970456
1.9101884019 0.999999701498 182.585826829 0.309975942245 292.914162933 11.5233829759
1.95175640649 0.999999362776 217.564497028 0.312346304089 301.776163362 9.8793059203
2.13532812543 0.920542622565 181.847988923 0.303582117187 289.099464775 7.55821202845
1.53139733117 0.885202848654 201.70126462 0.348060701158 302.775083249 6.15711369132
1.46838609605 0.905839182762 242.118762305 0.368268161557 313.047159177 8.968332394
