"D" "g0" "sigma" "alpha"
10.4541355017 0.172842124533 247.425145855 7.99227132744
7.85817244608 0.218146675764 247.738014189 5.16310002819
6.14091327789 0.300018817523 252.926806111 5.726568322
6.04482508493 0.386114064387 239.50245026 3.86427940666
5.28408933276 0.374672191671 250.063423389 5.51701427263
7.22128123964 0.228543849671 264.690842908 5.76708888869
9.4225006686 0.228468736316 230.908108444 7.26709174882
6.76086431284 0.227313667077 269.198598722 5.42534569828
6.52352283304 0.355996377772 243.008579312 7.52759471049
6.31281965591 0.282677731414 270.068704487 7.57830517687
6.50228876298 0.364907819685 236.845115617 7.25924365634
5.47593265177 0.397148906726 233.3181762 6.0444241248
10.3340891955 0.196970479888 241.639379357 5.42074876764
8.53779730248 0.314186286682 245.365019858 5.38579372572
7.45547157344 0.199750292626 277.586289515 4.87621447388
10.1184497447 0.168211321658 261.3988697 5.27705892404
8.2363643128 0.261741559061 253.734830902 7.45609026225
6.45379161224 0.308658728787 233.545490303 4.90985321857
6.36463376447 0.264725055491 266.099192995 6.46496485571
9.02838342975 0.232048151432 229.833847246 4.91450835362
8.33529151256 0.244059323201 247.466417918 5.96843458805
8.44118719368 0.22228732119 255.173453962 6.06144844544
9.67089275328 0.217536403971 251.400983592 4.78372119813
15.2499164408 0.147184887321 217.057912521 12.7799929971
4.89475815435 0.373306038835 261.165407895 6.50194529395
7.1584124739 0.295377993409 246.064418169 7.81406404375
9.51020212581 0.223467677703 258.1254765 5.14751419904
7.24940124597 0.266902737785 250.153739695 4.53553575106
7.03776870115 0.305500205386 245.171294897 4.38176986921
10.0038883843 0.143039684843 281.093026827 7.24216358741
10.2399558277 0.230482538466 230.891136922 5.36316793553
5.40393380044 0.379775866411 244.031585862 4.56385760259
7.04600688906 0.286224838173 253.326453128 8.25390506162
10.9131392256 0.214041303901 224.479922895 5.44086729067
6.53917336946 0.318384107326 245.387654427 5.9500903475
5.25564985976 0.320545248393 270.034726537 8.23967679314
5.20125986725 0.363024130665 246.41575845 4.7379667432
6.0963634696 0.339879974783 236.268050826 4.38114714386
6.51297338283 0.255272866507 245.620155513 13.4879913626
10.1561618004 0.237463171484 235.423759239 4.04593075421
7.78096770349 0.260239334919 247.728692141 5.47041984446
6.483531656 0.388842013257 222.033735318 5.67288698829
6.48152970184 0.307654600591 239.789001812 3.94882802794
6.40360803272 0.318680418108 249.569732615 4.74172618703
10.6728909044 0.141716747301 271.358400679 5.90426317025
7.75780512052 0.294550316828 239.828692827 5.18857103887
8.44311526249 0.262145357166 242.625884079 4.535083766
9.87721554546 0.22808187292 247.101331374 4.31784942877
6.45355413553 0.395683910421 222.386270798 5.39131057456
5.0227261239 0.312048553121 278.65137347 4.37264856364
8.53539083856 0.202820449908 267.705798532 5.34256623295
8.02634275709 0.37129907636 212.906563484 6.34152868911
6.06834538175 0.293812142012 253.114575335 5.25690765104
4.15413486943 0.525321250362 261.582542104 5.63387171236
5.59217239182 0.3905363116 244.463259218 7.40980239003
9.11053221753 0.243513830666 235.333892199 5.0669565068
8.31016244707 0.269713642652 252.902082097 6.38438202708
9.2957914144 0.211666060563 246.250040078 5.62740576951
5.25541543617 0.430758192869 237.347574773 6.39876160727
7.31194310655 0.31995677667 237.060032103 4.46098639333
9.53004963833 0.219743368564 235.558344702 9.10461388445
5.27928684102 0.372119039592 248.261579782 5.68836853499
