"D" "g0" "sigma"
3952.02900194 0.999999989907 5.92076817162
4233.66212327 0.999999987562 5.90667302816
3807.75230127 0.999999988739 6.38291618593
4192.76503264 0.999999984361 6.04278630591
4266.72007233 0.999999987919 5.85118985963
4379.70110147 0.999999990169 6.31286664844
4320.91136905 0.999999985925 5.92042715203
3903.12777182 0.999999988659 6.40281591495
4193.71541374 0.999999988405 5.99355379166
3914.72970092 0.999999985566 6.27836510215
4253.74224869 0.999999987778 5.97191567479
3859.60223728 0.999999987783 6.28764424913
4128.94918148 0.999999989392 6.13002155456
3727.46068994 0.999999987091 6.2793275156
4857.96501312 0.99999998748 5.77921158382
4495.61872853 0.999999989383 5.83156145087
3777.68388928 0.999999986157 6.23627412861
3430.88118014 0.999999990852 6.71607426216
4307.22392373 0.999999984893 5.89750087754
4661.57041707 0.999999990274 6.03177149663
4247.65085592 0.999999984419 5.89339590397
4020.10709337 0.999999986146 5.85213861701
3906.57804099 0.999999983886 6.19896505754
4124.83749771 0.999999987634 6.02450973956
3634.11266942 0.999999989312 6.19823240396
4777.68193158 0.999999987105 5.73646007673
4486.36925345 0.999999983367 5.8397860249
3979.34121384 0.99999998338 5.97022906937
3790.05294137 0.999999989066 6.26155805595
4318.27531871 0.999999985139 6.09895615381
3579.74188217 0.999999986902 6.20622075921
4325.67492311 0.999999990708 6.11506473147
3814.74842616 0.999999986886 6.06464573328
3704.50518603 0.999999986363 6.26570741493
4439.86329624 0.999999987547 5.95085822372
3992.12439713 0.999999982706 5.96999513636
3941.93926768 0.999999990749 6.33611512675
4002.35740796 0.999999986878 6.14852933159
3884.68652921 0.999999988255 6.4477379956
4044.12235884 0.999999986523 6.22847658499
4340.12281298 0.999999988764 6.00840323185
4410.0509594 0.999999979375 5.64818220398
4453.38260512 0.999990000015 5.71265648506
4300.37238489 0.999999987149 5.64889736256
4856.81574356 0.999999989791 5.93973711167
4816.4646745 0.999999988033 5.89917353933
4027.81945802 0.999999991918 6.36656522928
4031.89592205 0.999999982441 6.01827260938
3900.94565317 0.999999986109 6.31823279645
4539.12387399 0.999999987287 5.73559854765
4318.41980087 0.999999987753 5.99365612921
4005.82686985 0.999999985776 5.81466465212
3933.65662406 0.999999987008 5.93959132226
4327.8070036 0.999999987672 6.00829011235
4068.9795516 0.999999983738 5.91820619211
4456.48200513 0.999990000033 5.79119678282
4273.94717032 0.999999985173 5.79581458487
3839.92751766 0.999999986219 6.41017379348
3972.02881693 0.999999987593 5.87449716535
3840.72545252 0.999999987266 6.23169790105
3901.67636165 0.999999982378 6.11497247507
4461.58166161 0.999999987627 5.93112056412
4002.01693875 0.999999988846 6.36972755203
3914.84421432 0.999999986171 6.08826575628
3818.50562625 0.999999987717 6.38359891535
4721.21367886 0.99999998574 5.4678610553
4161.08930126 0.999999985298 5.85330027361
4054.6016627 0.999999980349 5.99538006377
4108.79046788 0.999999986656 6.00349024975
4290.60643097 0.999999985349 5.92502225506
4207.95952596 0.999999989383 6.00391437297
4253.4874475 0.999999985563 6.10279813641
3928.7553947 0.999999988645 6.09923611312
3648.20248867 0.999999984537 6.46249257252
4364.6307324 0.999999986492 6.02035111023
3840.47264919 0.999999981242 6.06337174364
4483.79107051 0.999999989851 5.95674931293
4436.80713096 0.999999982502 5.88429138893
4156.52396955 0.999999986424 6.21027046903
4163.6222646 0.999999986365 6.05929762776
3918.01338209 0.999999985104 6.02059565645
3763.40246068 0.999999989074 6.50906712021
4530.75278181 0.999999988696 5.73129739331
4375.27889657 0.999999988981 6.02198529397
4135.6819579 0.999999985659 5.90274113061
3812.78030977 0.999999986728 6.26229326864
4504.75972645 0.999999985861 5.80037577911
4547.25993552 0.999999991051 5.88866802579
4183.27387567 0.999999986039 5.84443454367
4674.17501881 0.999999985289 5.72272127584
3762.32831869 0.999999987026 6.31836996948
3266.94091141 0.999999986521 6.37669585022
4279.02934586 0.99999998874 5.76669169291
4130.56276959 0.999999988665 6.21257055612
3839.51700925 0.999999988118 6.10362962019
4550.76487791 0.999999979875 5.81736907766
4283.61667019 0.999999985609 6.21335648796
4998.03523359 0.999999983901 5.7725298723
4550.87048526 0.999999985603 5.56204634411
3954.54042137 0.999999987723 6.08502986364
3389.99562523 0.999999989014 6.32213635457
4096.5387233 0.999999988327 6.13835930329
4362.08696586 0.999999980295 5.73920602249
3523.53559587 0.999999987285 6.13209404835
4538.19222318 0.999999988287 5.75950667491
4305.32096002 0.999999982841 6.05301137757
4000.04542945 0.99999998624 6.11349349804
4212.79175403 0.999999988091 5.95089000076
4379.00275489 0.999999982339 5.94881819838
4240.14880347 0.999999983407 5.91262281356
3907.3884932 0.999999984913 6.16001154474
