"D" "g0" "sigma" "sigmatoa"
4042.74278319 0.999999991632 5.82970189655 0.00209537038831
4594.5859675 0.999999990326 5.58372276183 0.00190372062003
4289.31289942 0.999999991513 5.89032025672 0.00232312533655
4686.59592851 0.999999989216 5.59913725093 0.00207697719579
4482.14350574 0.999999990816 5.65650805058 0.00196722930168
4809.34064861 0.99999999277 5.9264692416 0.00196408903586
4539.4119621 0.999999988872 5.72377519477 0.00189355550129
4388.67701912 0.999999991653 5.91654380513 0.00213248398384
4481.66806538 0.999999990674 5.72758668381 0.00234077610073
4415.88321484 0.999999987639 5.78606000098 0.00170249803144
4503.73861123 0.999999990572 5.743267917 0.00221822208935
4313.26258435 0.99999999034 5.83198008284 0.00187164002075
4549.86969172 0.999999992715 5.73782181066 0.00219551594682
4259.76636544 0.999999990291 5.73543375905 0.00195765543221
4947.29604054 0.999999989919 5.70728305004 0.00226580119111
4836.15523286 0.999999991152 5.54539989606 0.00176052044054
4148.42844727 0.999999989851 5.8530477094 0.002369850155
3885.45290201 0.999999992833 6.18340062054 0.0022780191844
4696.690147 0.999999990329 5.55658658036 0.00220647102811
4989.55468204 0.999999992179 5.75830749659 0.00208076100239
4571.14114545 0.999999987962 5.60352799311 0.00196771873795
4167.30973506 0.999999988737 5.70951043194 0.00197379660394
4245.58908632 0.999999988985 5.85891515569 0.00219362946696
4411.16321113 0.99999999135 5.75477068592 0.00201449772419
3956.11753348 0.999999991185 5.851489187 0.00183281221311
5023.01420188 0.999999990045 5.54145242344 0.00235568742291
4744.93776984 0.999999987998 5.61900487999 0.00194046193003
4178.08663432 0.999999987317 5.77473727719 0.0018151986636
4144.41432695 0.999999990465 5.89425317523 0.0019553503261
4518.67649725 0.999999989805 5.91405202291 0.00221144319523
3937.44610167 0.999999990007 5.81783961767 0.00203731172488
4774.88527347 0.99999999263 5.71676011854 0.00205981446899
4115.85443693 0.999999989326 5.75849709222 0.00196141443642
3994.33848564 0.999999989755 5.95497452153 0.00192742495297
4696.78728517 0.999999991481 5.7261551527 0.00212570341884
4424.427283 0.999999986562 5.56308290326 0.00208689206471
4407.48955308 0.999999992898 5.87594540207 0.00213672247673
4368.56828283 0.999999989889 5.79322246349 0.00186648961287
4264.85259536 0.999999991439 6.05643719766 0.0021059814781
4468.95724478 0.999999990276 5.82055224119 0.00188325123829
4583.40521653 0.999999991162 5.78894351311 0.00189002462569
4569.17068431 0.999999984018 5.51122001792 0.00201910858033
4705.94990527 0.999999991674 5.76307300137 0.00194912022633
4351.56482437 0.99999998938 5.60288687822 0.00181295908841
5371.71777798 0.999999992275 5.54223141726 0.0021710077347
5098.23345718 0.999999990168 5.67354629198 0.00193689203565
4455.24956195 0.999990000035 5.81104582749 0.00197844573502
4411.97595767 0.999999988009 5.65850414403 0.00173039317319
4294.77927145 0.999999989171 5.92109881465 0.00194178558788
4565.63866452 0.999999988215 5.71266269868 0.00190863953531
4538.55599275 0.999999989878 5.79370996522 0.0018898616061
4187.43206202 0.999999988431 5.64000871787 0.00191049271958
4300.90788318 0.999999989538 5.58647008772 0.00183300474244
4451.33100377 0.999999990166 5.8943227302 0.00188437709325
