"D" "g0" "sigma" "kappa" "logLik"
0.0453800613753 0.999999666725 1224.07368042 306.022087295 -360.886
0.0371133512811 0.999999807206 1281.84232555 699.999999278 -320.323
0.0352083956434 0.99999984097 1471.76731354 116.01158145 -401.299
0.0423392365612 0.936457020678 1283.02294641 159.118098391 -349.645
0.0346071155066 0.70371537464 1529.61944131 219.082447613 -311.102
0.0530179206093 0.729455997537 1299.18966107 699.99999864 -352.987
0.0393906618434 0.96072026984 1370.30799581 681.942129681 -376.539
0.0468713312607 0.999977427557 1262.18895042 65.4560476252 -402.102
0.0330110255797 0.950070090414 1357.92935686 699.999998365 -309.745
0.0357339419166 0.999999814511 1279.63248314 699.999997707 -315.463
0.0312120362889 0.999999819494 1316.36889654 191.096642214 -289.007
0.050339585278 0.999999713547 1175.91198596 250.361302511 -373.848
0.039138811081 0.999999669804 1320.92068027 316.743880857 -366.002
0.0399291150144 0.925115379124 1328.20850363 51.758695271 -359.271
0.0430637803195 0.828061129262 1371.9107309 294.021685736 -353.453
0.04010875021 0.874475878677 1376.68255033 78.953359381 -361.938
0.0338179695358 0.960984558022 1459.47232178 346.484510918 -359.853
0.0332489241694 0.999998937245 1414.9756632 505.995544116 -347.205
0.0496500857095 0.843567674249 1328.99072981 131.647975699 -399.31
0.0436843966556 0.999999514154 1192.4512102 131.538984531 -332.683
0.0457612048255 0.73091416445 1416.51699782 130.671864255 -363.25
0.0514170273025 0.999999805365 1195.79765226 111.911032187 -391.152
0.0474408184958 0.999999861671 1205.04934923 39.1514025497 -372.643
0.036997163666 0.99999985929 1321.46599501 136.91333167 -339.513
0.0496484631185 0.918438792878 1273.87740055 326.850439368 -405.987
0.0487189893983 0.805147189749 1355.55315858 90.9676894024 -391.92
0.0401961175456 0.999997672031 1265.79275301 109.069386592 -341.231
0.0423526647086 0.99999973155 1333.05181582 163.079960098 -395.933
0.0380455411619 0.999999891906 1299.98367436 595.231226164 -332.287
0.0420743007101 0.696373709148 1353.85657431 142.251236633 -296.677
0.0374021469352 0.938270117147 1428.68297316 153.947620133 -385.784
