"D" "g0" "sigma" "no3s"
0.0527808940998 0.999997627472 1121.25550971 0
0.0364018476473 0.999999403268 1296.4636769 0
0.0348558110153 0.999999779912 1480.52726926 0
0.0442115027921 0.999998956895 1210.46699496 0
0.0336113747945 0.586161056842 1697.265411 0
0.0510894482275 0.631265110816 1424.59626253 1
0.0356853419037 0.873911751308 1519.10418084 0
0.0480268175229 0.845212319448 1353.15088547 1
0.0274442280013 0.84241423948 1600.96499297 0
0.0301901681432 0.999999652271 1412.82344896 0
0.0286511270264 0.999999544075 1384.27453437 0
0.0530033189561 0.99999827961 1141.26237592 0
0.0327912458298 0.999999466342 1465.84608982 1
0.0413968814783 0.999999000676 1251.0386832 0
0.0545050082845 0.999996954426 1089.39653413 0
0.0361986507436 0.768070283179 1554.28533783 0
0.0317887954848 0.613186057961 1869.89791147 1
0.0383727927211 0.826173611864 1428.76290746 1
0.0444360004348 0.565634969275 1716.73142399 2
0.0429623636666 0.999998889464 1204.07961342 0
0.0475976957848 0.699454274555 1415.89575394 1
0.0510603370696 0.999999052852 1200.65489581 0
0.0469778860257 0.999998857161 1211.95594585 0
0.0388388338157 0.999999305762 1284.35755676 0
0.0448367398764 0.999999460534 1295.40458885 0
0.047232822098 0.999999263717 1238.51291023 0
0.0478700079576 0.999997909874 1143.33335082 0
0.0427734131447 0.999990499709 1325.34422849 1
0.0410066508527 0.99999906367 1244.18651535 0
0.0415668083287 0.999997670123 1135.81795854 0
0.040232414622 0.999999520099 1327.01568682 0
0.0715879711066 0.999986204201 956.55646509 0
0.0490167101352 0.999998771694 1176.36021258 0
0.0375830461197 0.631411108649 1696.67029822 2
0.0505068464829 0.999999055205 1202.56951495 0
0.0392993132481 0.775077621676 1632.36769341 1
0.0476961004026 0.999997757705 1139.47435105 0
0.0438232672373 0.999998718905 1190.25137035 0
0.0600364841175 0.999996699507 1072.58459018 0
0.0315811293783 0.709346656539 1743.36692716 1
0.0582949921668 0.999996921558 1080.30296463 0
0.0449646037071 0.999999359552 1280.88318541 0
0.0448102910333 0.999999355592 1258.45805521 0
0.0437617470039 0.999998463597 1164.37915929 0
0.0445305631258 0.99999907746 1224.81671754 0
