"D" "sigma"
0.0260316046496 1606.74375605
0.0213042750108 1805.26001495
0.0290237334166 1558.45277121
0.0875582106818 849.403808609
0.0348102380254 1454.31455277
0.043187919907 1180.30864581
0.041083741964 1245.6011231
0.0576083791781 1217.69380277
0.029213348407 1581.83071772
0.0477640704766 1250.0000106
0.0857688586819 791.806488
0.0753295259504 881.790830433
0.0602305427755 992.295791969
0.0375205588821 1331.61552356
0.0177450165673 2171.06713514
0.01390393356 2147.31829462
0.00882164341576 2799.01314715
0.0918480957957 787.360511233
0.0136342104273 2069.80214159
0.00998741644942 2819.62329539
0.0293866597723 1499.93642794
0.0844185166216 934.266449093
0.0587113413442 1027.43735115
0.166943620039 635.51284392
0.0336303096482 1453.86100892
0.0534025046406 1041.39510358
0.0438665437308 1306.41962365
0.0711144865218 1022.42550654
0.0103961061981 2921.42203306
0.0569250202531 1114.64483248
0.0971004943118 792.635312626
0.0166683056246 1959.03383563
0.0209951778185 1877.12923433
0.0271878353164 1718.39330348
0.0675809797013 1006.47103409
0.101100811056 828.743840729
0.0674650391108 1092.90598532
0.0779516007299 878.606182495
0.00887209195 2913.3222373
0.0406633282601 1145.57676152
0.130383820407 727.320579316
0.0284359202851 1309.99716035
0.094334617895 875.724009331
0.110409131837 785.635441762
0.00985720949309 2387.59759822
0.0332430638572 1208.45868117
0.0106053166249 2646.36339041
0.0670025979144 978.570650189
0.015191137237 2075.11795665
0.00753379025831 3316.29681294
0.040356168407 1299.17930132
0.0398966804038 1264.61069419
0.0313575165833 1488.50697185
0.0667435551271 927.82539325
0.0102464980944 2712.77984401
0.0530023192002 1061.00708242
0.0298971125634 1600.07853071
0.0088592466696 2759.39043073
0.0117313436743 2452.27302268
0.0212409478895 1796.3955578
0.00835445601588 2485.6020297
0.0597323468465 1039.32565357
0.0161260338416 2152.07080369
0.174612269088 570.94969043
0.0243524977961 1607.8128712
0.034884617417 1178.6523159
0.0379513198645 1158.14637303
0.0602170480146 1055.56832446
0.0477640704766 1250.00001082
0.050593096379 1262.06161654
0.0105840780584 3048.63850546
0.0125981780563 2593.31795094
0.017513984707 1753.99770811
0.0613742168198 982.538716157
0.0348704620734 1337.02055336
0.0462643312549 1155.21833389
0.0440891212428 1192.71284086
0.012087958412 2690.85074831
0.011512946152 2587.97796649
0.139533257171 683.290876802
0.114182757693 790.872206592
0.0639456598783 1049.03639124
0.0161959168299 2018.35204068
0.151874657295 652.331664924
0.0650528297896 966.74647579
0.13259039422 650.050499469
0.072210948332 927.933864659
0.0603671612698 1005.4715218
0.0528887378337 1172.14219327
0.0511035380679 1000.0320805
0.0110465803171 2506.4243318
0.0443943937167 1275.62224683
0.0488201368221 1199.77700615
0.0772116093284 895.640502587
0.0986215387133 890.374914653
0.0718664350252 936.721850538
0.00973366387491 2631.02469848
0.0238372543926 1568.18947987
0.104154668223 810.581679889
0.071954808778 929.676850947
0.0370541097805 1374.72184889
0.00911033470885 2151.55624519
0.0163901392458 1875.11189203
0.0214139928012 1846.36526627
0.106231962116 776.380182872
0.0669054422975 910.965422798
0.0733505867156 894.327826227
0.012449985487 2232.87792064
0.0719391546333 896.911158595
0.078487027988 930.272122425
0.0114903697668 2747.95108336
0.0220720997035 1905.31659961
0.0357683160868 1346.91272477
0.0185863491264 1990.46934496
0.01763197921 1901.35483486
0.033032721003 1431.00114195
0.0326148275054 1314.82365642
0.0107486075596 2922.78507937
0.0241708653093 1826.6932605
0.0087616802702 3085.73239313
0.0101538333297 3138.06025969
0.0174980807621 2096.37654761
0.0532106581019 1019.70548933
0.0193318638875 1936.69607727
0.00942678157756 2719.45388307
0.0373492181627 1244.74756231
0.0699242719282 1001.05998795
0.0176962722254 1978.14433472
0.134831079635 686.985938893
0.0134800948182 2461.49955791
0.0883497108806 938.491986046
0.0344320016943 1307.78356476
0.0758955454039 916.340607372
0.0316934312128 1452.3310282
0.0137346300999 2346.96573506
0.0147768297598 2091.46437089
0.0927658339034 878.271123343
0.0341605577159 1406.5299278
0.0929822885354 788.084915376
0.0122739429731 2460.78835721
0.0249642029271 1565.26634742
0.0185892745641 1913.99274633
0.0916747955326 794.095647424
0.100167280026 745.732653759
0.037336506109 1244.96654289
0.0810659539496 896.86570573
0.0437713532087 1137.8475631
0.0241223485631 1745.90036062
0.0112450881939 2793.43242007
0.0261222876663 1404.45707285
0.120869991793 714.256797389
0.0326002669304 1598.92724332
0.0671089961379 923.549948374
0.011109257958 2699.44665773
0.00734940441838 3204.21083632
0.067081323829 1016.75874594
0.0578028958031 1028.60599853
0.0115117804178 2399.69580422
0.0116712361997 2319.48237851
0.0144077361153 2008.49075229
0.0725235482779 919.361737007
0.0310359071776 1359.18223857
0.00872261152196 2855.78491583
0.121428372912 644.952028689
0.0314054837691 1361.11457171
0.0489943197124 1204.92850193
0.0891302809336 907.829643304
0.0557020984893 1099.3775849
0.0616237672002 1001.69157362
0.0446365056028 1100.18192712
0.0133743460751 2403.01769456
0.0188269677626 1951.71366935
0.00819241896544 2733.21016395
0.00989093806858 2406.31649535
0.0470388117346 1250.00000937
0.0621304063753 983.338192798
0.0144862455365 2034.78839985
0.00841051117639 2681.14630724
0.0719085124778 1010.55803474
0.00852515835703 2685.42572622
0.104786129773 837.952890154
0.11226410912 727.796675803
0.0184312787255 1883.69918534
0.0728896276669 916.917776809
0.0141955003308 2284.60131016
0.0998547800002 839.407821127
0.0795451038371 862.949863745
0.168497860109 624.224837191
0.0917857734262 822.622074539
0.0520199883169 1175.1869408
0.066528732523 920.769974174
0.0217308615547 1798.16501497
0.00676393385746 2982.91911433
0.0127894805857 2090.6037241
0.0361973062635 1391.35889469
0.00926634879939 2842.88645471
0.0773787312003 888.355501389
0.0189139703899 1921.81136215
0.0682340572933 949.428689904
0.0255812038219 1534.71070176
0.148261541932 678.234892481
0.0778405839785 910.270489555
0.0441263969808 1271.91341437
0.0525772536619 1175.73879353
0.00916015041597 2581.41131477
0.00848973114032 3026.50047031
0.0866251237408 865.845941273
0.0822546808443 930.360843361
0.116326004385 671.364537579
0.0546526324197 932.011739944
0.0283213286156 1663.98481936
0.124529503376 662.481371218
0.0719857728981 916.459669315
0.0966304813943 794.700819052
0.0298395419485 1458.54480134
0.0254388066168 1399.54034571
0.0800683519486 914.640282686
0.0153804746716 2045.97546361
0.0466374994179 1220.93108176
0.0154236345917 2357.09155347
0.0177559078551 1880.77886554
0.0111839149053 2214.74983701
0.0137355460339 2346.87072196
0.0437064495706 1230.77036228
0.0769799779476 992.169033239
0.0152309442836 1918.25505685
0.00916197118173 3137.57955063
0.0187826199038 1786.57274358
0.00979978320714 2921.133023
0.0105020325769 2297.70497597
0.0224767537915 1843.99360797
0.0628244234413 1012.21418696
0.0220176321619 1608.98530765
0.0773494102102 894.794654531
0.00814566192275 2777.80262366
0.0328342575351 1369.44703374
0.0337873284906 1301.00056354
0.0499989716296 1069.78242811
0.0150492396322 2223.48837553
0.0654732490446 1029.76393376
0.0127505062064 2882.80117767
0.00837972469192 3062.6638007
0.101022179511 854.445279126
0.0319487380995 1398.58451247
0.0160885971212 1982.05464078
0.0101883335102 2598.59280792
0.0618278761522 927.390647972
0.0805603361798 863.373730763
0.0196117233564 1873.02662056
0.0292558810511 1513.23589604
0.0141347211713 2192.66138024
0.0961015100831 840.850493629
0.016687656812 1957.81861772
0.0639776287503 1129.54085024
0.131547206461 682.100927929
0.0278372436213 1426.44359548
0.0303377489796 1569.87113429
0.0699710511753 895.811239052
0.125619242786 713.946917984
0.0124515509015 2269.71225715
0.011099182684 2477.00068535
0.0769095731545 872.125707469
0.0768470620471 897.889063129
0.0425232737911 1063.25998435
0.054002174954 1058.29725562
0.0582853987297 1052.73863466
0.0311744574599 1416.32882097
0.0216631101946 1683.727112
0.00660291266108 3497.14681067
0.0134564359655 2238.71320672
0.0586875048558 1156.04284139
0.0540280320482 1102.5397131
0.0725730864293 1017.48058527
