"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1302.86251153 9.49229376005 165.3 0.60392 -782.371 1568.742 -7.65872e-05
1422.47586423 9.40030300957 177.13 0.59203 -861.289 1726.578 -8.28289e-07
1586.65589301 9.03111904604 192.4 0.5575 -850.087 1704.174 -3.34919e-06
1341.22730271 9.68436981991 168.46 0.61293 -844.892 1693.784 -3.94696e-06
1567.57660482 9.1866296355 188.03 0.55825 -866.042 1736.084 -0.00905696
1442.22324476 9.32341340688 176 0.57183 -834.488 1672.976 -0.0019417
1325.8346029 9.54837577189 171.88 0.6285 -776.467 1556.934 -2.90944e-05
1539.70691932 9.44211263604 182.62 0.56477 -910.473 1824.946 -0.00176014
1560.20716417 9.34599788617 177.22 0.52641 -917.881 1839.762 -0.00076628
1599.06412347 8.87669338006 186.47 0.51828 -845.161 1694.322 -0.00264372
1167.53696343 10.0448667133 157.69 0.68865 -764.727 1533.454 -0.000458236
1269.33826201 10.0557928526 168.6 0.6838 -852.703 1709.406 -0.00249158
1388.00939563 9.77978193732 167.11 0.58849 -888.232 1780.464 -6.64464e-06
1339.90893244 8.86077639066 177.7 0.59842 -699.471 1402.942 -0.000488052
1354.5057027 9.82477048574 169.1 0.61921 -887.818 1779.636 -2.47537e-06
1066.97678883 9.87178133953 154.36 0.72875 -666.289 1336.578 -2.07355e-06
1232.46901634 9.42780707843 172.26 0.67734 -713.399 1430.798 -0.00129582
1381.65457998 9.34198609367 169.3 0.57134 -787.012 1578.024 -0.000259824
1418.01372353 9.39371443114 175.88 0.588 -809.216 1622.432 -3.10343e-08
1437.6805991 9.12273943078 175.57 0.55806 -793.248 1590.496 -4.83087e-06
1082.11211162 11.0996840483 159.32 0.86043 -862.777 1729.554 -3.21639e-05
1581.15129201 8.77695859801 183.14 0.50533 -801.036 1606.072 -8.48395e-08
1402.96087672 9.59857745475 182.41 0.64101 -843.003 1690.006 -0.000500161
1113.44150505 10.5551559055 158.78 0.7789 -793.68 1591.36 -0.000430536
1124.77034834 10.9860352871 167.31 0.86405 -871.706 1747.412 -1.62711e-05
1382.87668993 8.98165941197 176.22 0.57788 -739.243 1482.486 -2.33135e-05
1195.55136097 9.73964071111 161.87 0.66938 -747.475 1498.95 -0.000140783
1342.46112773 10.2625161991 174.19 0.68511 -927.396 1858.792 -0.00248835
1294.36206044 9.73685720561 162.59 0.61265 -830.212 1664.424 -4.78391e-05
1180.49625279 10.2258573916 160.09 0.70851 -819.083 1642.166 -5.95049e-08
1505.52528383 9.13388487087 179.17 0.54397 -825.067 1654.134 -0.000128875
1693.68137684 8.7257974791 193.94 0.50163 -861.296 1726.592 -3.4937e-07
1398.64030633 8.92061597345 169.33 0.53373 -759.815 1523.63 -0.00016482
1692.65149744 8.83670465733 191.59 0.5002 -884.11 1772.22 -7.41984e-05
1256.12551475 9.43114989596 165.47 0.62719 -744.051 1492.102 -5.44363e-05
1426.65187461 8.91593347113 183.96 0.58652 -761.553 1527.106 -0.00045449
1071.43330384 10.2410666099 149.37 0.72458 -749.189 1502.378 -2.41138e-06
1303.31523543 9.6972236867 167.03 0.62771 -812.126 1628.252 -0.00246177
1520.54768695 8.93911608483 187.37 0.55909 -808.663 1621.326 -0.000332303
1480.55891451 9.10723959067 184.89 0.57827 -792.335 1588.67 -0.00398899
1407.2770701 8.65414593707 170.06 0.51459 -717.472 1438.944 -0.00687275
1358.31190956 9.53745594642 168.37 0.59266 -818.445 1640.89 -0.000870268
1480.99950805 9.36445426339 181.45 0.58091 -846.286 1696.572 -8.27956e-05
1445.68529034 9.33399927572 179.38 0.5863 -828.13 1660.26 -2.84718e-08
1220.87265763 9.61952675779 156.46 0.61387 -759.777 1523.554 -7.5887e-06
1588.06468465 8.73077638305 188.6 0.5216 -795.024 1594.048 -0.000352271
1431.44524896 8.84746657522 181.66 0.56912 -754.632 1513.264 -0.000959832
1283.12369535 9.83872759482 162.28 0.62501 -829.417 1662.834 -0.0013761
1180.84523323 10.1969735769 159.24 0.70089 -802.798 1609.596 -2.80538e-07
1480.00977823 9.50678621927 178.02 0.5759 -895.658 1795.316 -2.89559e-05
1562.21429806 8.97927955869 185.35 0.53548 -830.998 1665.996 -2.86179e-06
1482.04275073 9.88236197926 184.92 0.63268 -942.923 1889.846 -0.00655788
1387.08060404 9.99678367378 180.32 0.66955 -896.645 1797.29 -4.80165e-05
1258.58359133 10.2084492935 169.72 0.70895 -861.065 1726.13 -1.59736e-05
1179.33526366 10.8154110287 167.63 0.80543 -875.136 1754.272 -1.16458e-06
1157.90221968 10.6404895447 158.34 0.74942 -841.349 1686.698 -6.31806e-06
1469.78165133 8.85606418538 179.38 0.54181 -758.02 1520.04 -3.66868e-07
1225.79875121 10.368031338 168.65 0.73815 -850.639 1705.278 -0.000701622
1348.05953735 9.53025070118 175.12 0.63083 -799.234 1602.468 -6.43243e-05
1534.11442517 9.03143725862 177.72 0.51858 -848.258 1700.516 -1.38237e-05
1279.58337505 9.72534433539 166.38 0.64026 -794.81 1593.62 -6.01362e-05
1221.48139334 9.72629712077 169.69 0.69432 -754.983 1513.966 -0.000214934
1309.21096211 9.89917978388 172.6 0.66831 -822.303 1648.606 -3.77302e-07
1484.15839596 8.99832425929 179.58 0.54601 -809.863 1623.726 -0.000339247
1371.01971799 8.73874107915 177.64 0.57305 -683.191 1370.382 -7.97417e-05
1276.67602856 9.52797697849 165.51 0.62254 -781.829 1567.658 -2.07248e-05
1617.75663079 8.79217328531 187.22 0.50841 -843.852 1691.704 -0.000345794
1437.74593693 8.92452581977 173.93 0.53689 -795.139 1594.278 -0.00253909
1347.78359048 10.0235927691 181.49 0.70002 -878.484 1760.968 -7.03516e-05
1448.27776102 9.4897516779 175.2 0.57685 -877.74 1759.48 -0.000233986
1596.11259168 9.08792581745 185.69 0.53022 -884.534 1773.068 -2.66447e-05
1382.80175035 9.51065348915 167.34 0.57314 -816.41 1636.82 -0.000865793
1363.33995744 9.590990926 166.79 0.58608 -838.782 1681.564 -0.00096777
1332.187955 9.54675446787 171.47 0.62279 -803.192 1610.384 -3.80799e-06
1166.8225352 10.214109228 157.13 0.69959 -804.082 1612.164 -3.22344e-06
1269.65339545 10.0287731106 166.39 0.66961 -831.706 1667.412 -4.65693e-05
1505.70466988 9.40999854178 171.77 0.52976 -890.586 1785.172 -3.21272e-07
1593.75564423 9.14021079766 188.62 0.54658 -874.831 1753.662 -0.00113941
1271.40932887 9.44442014398 164.83 0.61584 -746.201 1496.402 -5.1881e-07
1424.76456328 9.74696184624 170.66 0.58503 -902.433 1808.866 -3.11246e-05
1428.80437587 9.39953092502 175.97 0.58349 -829.741 1663.482 -2.13863e-08
1293.32547796 10.0210653279 167.22 0.65909 -848.313 1700.626 -0.000424425
1628.94771513 8.86717702205 189 0.51601 -840.338 1684.676 -0.000115292
