"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1585.82614216 8.9664948123 193.98 0.55987 -835.69 1675.38 -6.18287e-05
1507.03209019 9.10502328476 182.1 0.554 -839.836 1683.672 -6.49194e-05
1518.73029366 9.24789581849 176.97 0.53631 -856.24 1716.48 -4.09435e-05
1377.34420408 9.70393030226 176.35 0.63365 -846.21 1696.42 -2.52629e-05
1439.88284302 9.2360911666 180.92 0.58916 -830.496 1664.992 -1.00283e-05
1642.14610717 8.32488215708 194.51 0.49665 -776.792 1557.584 -2.42087e-06
1381.53890078 9.19156883564 172.71 0.57703 -773.017 1550.034 -0.00101731
1377.34859422 9.35937756633 180 0.62575 -778.004 1560.008 -6.6706e-05
1321.78214274 9.54014231569 171.61 0.62885 -776.094 1556.188 -0.000506853
1318.46499043 9.90796579279 180.01 0.70116 -811.918 1627.836 -9.08825e-05
1423.67125283 9.44371210877 183.57 0.62417 -826.932 1657.864 -1.26149e-07
1628.99279904 8.41268092328 188.82 0.48555 -773.75 1551.5 -4.47578e-07
1330.34877872 9.50361732194 170.94 0.618 -788.117 1580.234 -8.50274e-05
1245.21588903 9.90943392724 161.83 0.65064 -807.756 1619.512 -4.46034e-05
1317.6840761 9.78635393779 166.53 0.62363 -846.63 1697.26 -7.97196e-05
1843.25190882 8.32862202396 205.13 0.46582 -858.976 1721.952 -3.69934e-05
1602.66992483 8.72834977101 186.81 0.50847 -823.845 1651.69 -0.000665847
1118.74125145 10.3287171497 162.75 0.77927 -767.629 1539.258 -1.74139e-05
1307.0537029 9.39570563141 166.5 0.60063 -774.187 1552.374 -1.0796e-05
1333.73136745 10.4677479187 173 0.70049 -952.04 1908.08 -7.59222e-07
1309.63246997 10.1944520672 177.14 0.7148 -912.936 1829.872 -0.00253831
1307.1880054 9.57739169287 170.63 0.63495 -799.936 1603.872 -0.000755992
1350.07732279 10.2520974331 175.87 0.68838 -914.618 1833.236 -0.00125508
1359.36233127 9.33177965621 169.25 0.58171 -790.299 1584.598 -2.24129e-06
1525.89651719 9.4928167915 179.95 0.5627 -913.521 1831.042 -0.000231136
1691.14869735 8.22164130458 196.76 0.48034 -762.577 1529.154 -2.20447e-08
1511.58150708 9.50121803354 178.97 0.56534 -917.574 1839.148 -2.16921e-07
1265.87688871 9.761270936 168.86 0.66435 -786.159 1576.318 -0.000435084
1121.55806545 10.313468189 159.34 0.75469 -789.36 1582.72 -1.62364e-06
1472.07044852 9.51416003818 178.97 0.58444 -892.291 1788.582 -1.35906e-07
1482.00745789 9.22031981084 178.1 0.55565 -839.51 1683.02 -1.68761e-08
1391.2772788 9.12774327989 172.03 0.56441 -763.167 1530.334 -4.71559e-05
1849.24819039 8.57766586958 206.08 0.48264 -919.509 1843.018 -3.2168e-08
1139.2789575 10.1060678816 155.48 0.7004 -781.937 1567.874 -0.00148454
1144.88052054 10.1333100434 158.7 0.71797 -754.427 1512.854 -0.00277859
1525.17609906 8.87553471356 174.92 0.49992 -808.991 1621.982 -2.38276e-06
1189.15481383 10.2358469998 159.69 0.70099 -815.54 1635.08 -0.000517526
1326.44663816 9.82303363154 166.74 0.62255 -859.488 1722.976 -5.86452e-08
1186.29594941 10.3040311661 157.94 0.6983 -819.327 1642.654 -4.3091e-06
1488.902968 8.81165772996 176.72 0.51874 -795.527 1595.054 -2.55274e-05
1285.79585936 9.72345345591 165.65 0.63262 -795.177 1594.354 -7.39898e-06
1382.12799717 9.46416721548 172.08 0.59315 -844.381 1692.762 -0.00444192
1491.98644959 9.1598994387 185.45 0.57905 -829.207 1662.414 -8.80957e-08
1378.65821815 10.1499038372 173.45 0.65203 -928.859 1861.718 -2.55567e-08
1238.69042155 9.56452652511 159.87 0.61769 -748.722 1501.444 -5.89325e-06
1308.99928301 9.41359726006 172.95 0.63334 -758.604 1521.208 -0.000631727
1194.15239299 10.5546388991 166.16 0.76222 -832.29 1668.58 -0.00475711
1318.6694255 9.50207610781 167.84 0.60878 -806.577 1617.154 -0.000259635
1630.4630903 9.12484217672 184.02 0.51231 -888.696 1781.392 -3.94866e-06
1620.34970769 9.00609700312 183.5 0.50641 -889.526 1783.052 -8.6492e-05
1549.69977197 9.18223310377 179.98 0.53175 -865.605 1735.21 -0.00114472
1580.6677843 9.33934805833 181.47 0.53559 -917.673 1839.346 -2.74487e-07
1826.75952615 8.31187145693 205.05 0.46972 -856.721 1717.442 -7.6586e-05
1630.76714225 8.24276417173 187.91 0.47023 -765.254 1534.508 -6.00747e-06
1337.3821248 9.67585151077 169.06 0.61738 -827.501 1659.002 -0.000364603
1346.85268742 9.63549352096 175.53 0.64135 -833.236 1670.472 -0.00282623
1285.78421939 10.25565924 164.95 0.66975 -884.839 1773.678 -3.45484e-08
1249.13306978 9.89108509001 163.92 0.65824 -802.15 1608.3 -0.00171553
1456.10297001 9.75990502554 177.18 0.60122 -934.322 1872.644 -0.00268125
1275.66743932 10.303381542 170.61 0.71048 -880.331 1764.662 -0.000998534
1705.10964413 8.55990164693 194.8 0.49006 -833.219 1670.438 -0.00485099
1398.47691792 9.78392980672 177.19 0.6323 -892.383 1788.766 -0.00144608
1254.29624256 10.203443629 168.82 0.70644 -844.34 1692.68 -0.00318941
1531.15784526 9.01868219927 183.06 0.54172 -838.435 1680.87 -0.00106074
1386.06298929 9.17361203658 173.26 0.57606 -778.992 1561.984 -0.000256655
1433.56450162 10.0101414493 178.7 0.63781 -917.887 1839.774 -2.28704e-06
1583.48473599 9.24183693521 186.72 0.54982 -894.444 1792.888 -0.000208904
1359.40123122 8.94342425377 172.74 0.57071 -745.399 1494.798 -1.48492e-07
1432.69898301 8.66412379367 175.42 0.52792 -741.835 1487.67 -6.59131e-05
1296.85991773 10.2040721919 168.39 0.67741 -898.758 1801.516 -0.000765466
1421.70185287 9.4274457898 179.07 0.60335 -837.729 1679.458 -1.08758e-07
1559.36995432 8.0263683533 190.91 0.49461 -687.067 1378.134 -2.00155e-05
1353.00717037 9.30683909292 167.3 0.57368 -772.945 1549.89 -4.14028e-06
1295.22798751 9.93684165173 165.4 0.64189 -824.329 1652.658 -1.6103e-05
1476.83843966 9.02508919773 177.47 0.54184 -798.998 1601.996 -0.000988917
1464.56319099 9.33299662515 182.16 0.58961 -841.379 1686.758 -0.000250613
1068.20149492 10.2293814504 150.91 0.73622 -729.537 1463.074 -2.32159e-05
1131.20119885 10.5682547975 159.71 0.77191 -833.024 1670.048 -0.000473255
1572.51719193 9.36815981478 185.13 0.55628 -909.055 1822.11 -2.74873e-06
1234.26842313 10.0402893275 162.21 0.66984 -838.384 1680.768 -0.000227747
1598.0908323 8.72054635143 186.38 0.50804 -829.711 1663.422 -4.40576e-06
1142.96886686 10.5042580898 164.91 0.78896 -818.606 1641.212 -7.03572e-05
1448.75184131 9.92556566889 174.62 0.60471 -964.963 1933.926 -2.52106e-06
1191.85464429 10.1144286652 157.26 0.6752 -797.838 1599.676 -7.6439e-05
1561.58835625 8.60835744356 182.74 0.50032 -786.327 1576.654 -1.25833e-05
1352.1785953 10.1241177634 172.52 0.66023 -867.992 1739.984 -0.00184382
1317.50422776 9.78714346755 174.86 0.66631 -823.707 1651.414 -0.00194625
1414.5346126 9.55191416055 182.65 0.63256 -828.027 1660.054 -0.000261723
1671.95830201 8.55157810514 196.61 0.50833 -797.852 1599.704 -0.000299512
1207.10413517 9.84936855351 165.38 0.69001 -762.994 1529.988 -1.81344e-07
1163.44851339 10.9542072584 167.2 0.8283 -900.941 1805.882 -6.08595e-05
1309.561196 10.6044858871 168.99 0.70501 -974.441 1952.882 -1.90161e-05
1119.29967355 10.068029913 154.33 0.70481 -767.821 1539.642 -1.50484e-05
1365.61035483 9.63083828358 170.97 0.6084 -828.861 1661.722 -5.10184e-06
1526.3586553 9.15143680362 188.84 0.57728 -830.449 1664.898 -2.35814e-06
1338.87432441 10.0386159846 171.54 0.65629 -878.244 1760.488 -9.34404e-07
1418.44944671 9.63139016988 174.65 0.59886 -873.012 1750.024 -1.5947e-05
1627.31653134 9.02671293247 182.03 0.49914 -897.848 1799.696 -2.42592e-05
1563.47755578 8.97491677229 180.86 0.51603 -850.765 1705.53 -8.41689e-09
1078.56182954 11.2047405408 156.39 0.85427 -881.824 1767.648 -0.000260516
1252.96880338 9.82057949414 164.88 0.65564 -796.236 1596.472 -0.00207588
1059.34449307 10.4883406849 153.92 0.78613 -767.119 1538.238 -1.28559e-05
1304.28182948 10.2435266418 172.2 0.6962 -892.959 1789.918 -1.04822e-05
1292.87742321 9.87139622199 170.5 0.66502 -832.722 1669.444 -9.75641e-06
1357.54394048 9.46556079075 172.79 0.60953 -801.39 1606.78 -1.09048e-05
1284.64628154 9.98501993368 163.5 0.6417 -826.676 1657.352 -0.000840221
1549.47994184 8.67297472804 182.32 0.50779 -799.294 1602.588 -4.04793e-07
1316.81984979 10.088272553 173.45 0.68285 -876.3 1756.6 -7.76232e-06
1610.61487459 8.92785489908 181.56 0.49723 -871.881 1747.762 -0.000667953
1244.53985916 9.9126093691 164.25 0.66455 -806.678 1617.356 -1.63478e-06
1196.01084391 10.4138388334 162.83 0.72932 -852.829 1709.658 -3.55681e-07
1421.97364856 9.30535223288 170.29 0.5538 -826.592 1657.184 -8.72485e-05
1411.1713707 9.12553196167 178.07 0.58247 -778.773 1561.546 -1.68054e-05
1277.70613552 9.57638259624 163.19 0.61342 -791.329 1586.658 -6.08733e-07
1333.48116426 9.3102554406 173.95 0.6169 -753.878 1511.756 -2.35104e-06
1572.39606319 9.03507357086 180.73 0.51583 -867.894 1739.788 -0.0013475
1370.59055027 9.68350749764 178.38 0.64564 -852.971 1709.942 -6.21656e-07
1407.04458207 9.53398453901 171.2 0.58129 -839.131 1682.262 -8.12143e-05
1392.21620788 9.95158161053 174.36 0.63434 -901.281 1806.562 -0.00344087
1126.81035026 10.2001821709 155.86 0.71968 -751.531 1507.062 -0.000637706
1155.00117716 9.17891306268 163.15 0.65954 -627.185 1258.37 -0.000216537
1587.88100648 8.80038788281 187.15 0.52043 -816.713 1637.426 -0.00247961
1467.33906478 8.98737575676 174.2 0.52901 -824.349 1652.698 -0.000156588
1788.2102293 8.73362268946 201.55 0.49673 -903.747 1811.494 -1.76377e-05
1342.77794029 10.4262851327 173.39 0.69378 -939.771 1883.542 -2.28044e-06
1577.57993743 9.17397614767 178.53 0.51362 -894.271 1792.542 -4.25082e-05
1167.36196651 10.1011886758 158.98 0.70093 -788.384 1580.768 -1.34971e-06
1342.38071905 9.57932886194 173.21 0.62821 -808.141 1620.282 -0.00289273
1607.65124563 9.15852161548 191.95 0.55552 -891.709 1787.418 -1.76602e-07
1217.87539307 10.146085004 158.75 0.66924 -814.388 1632.776 -1.30707e-07
1361.80539177 9.29638609324 179.73 0.6282 -762.339 1528.678 -0.000168965
1678.47164984 8.59802644054 190.67 0.48656 -827.966 1659.932 -1.08656e-05
1401.21308694 9.50914252641 179.94 0.62379 -839.395 1682.79 -7.38327e-06
1675.38775095 8.91300462521 191.31 0.51036 -909.196 1822.392 -5.61651e-05
1332.17393163 9.9952113572 173.61 0.66733 -870.214 1744.428 -1.94135e-05
1583.25538448 8.97524698417 187.37 0.53481 -838.255 1680.51 -0.000222034
1330.84943958 9.90285407401 171.42 0.64994 -859.976 1723.952 -1.55024e-06
1544.56576878 8.78455736631 184.86 0.52779 -808.37 1620.74 -5.52909e-06
1652.96002826 8.70061616218 197.76 0.52969 -848.866 1701.732 -4.62901e-06
1416.96877866 9.324937801 170.14 0.55682 -845.062 1694.124 -4.23223e-07
1494.4512894 9.36030980934 176.14 0.55087 -867.112 1738.224 -4.42535e-05
1265.56269623 10.0478554004 171.48 0.701 -837.775 1679.55 -3.83338e-05
1202.4887835 10.4071107039 163.49 0.72807 -854.772 1713.544 -5.26254e-06
1459.49254432 9.25743413261 176.38 0.56084 -831.958 1667.916 -2.43437e-07
1395.98580395 8.77525578941 177.7 0.56342 -720.607 1445.214 -3.76096e-07
1202.35382942 9.89965316868 164.86 0.6943 -758.482 1520.964 -1.54291e-06
1557.21656849 9.01947252198 184.88 0.53833 -836.526 1677.052 -8.38859e-07
1107.34241698 10.812503371 164.08 0.84148 -849.462 1702.924 -4.06491e-06
1225.09196299 9.65473218764 167.23 0.67299 -742.76 1489.52 -2.17953e-05
1454.35803148 9.44268308166 176.43 0.5763 -870.409 1744.818 -0.000412332
1580.79428819 9.0736246133 184.77 0.53173 -867.893 1739.786 -0.00800702
1187.09261726 10.9542246929 167.54 0.81183 -912.135 1828.27 -0.00168145
1287.74365266 9.7664204745 171.6 0.66575 -792.034 1588.068 -0.000598473
1246.27872673 10.1648944561 164.16 0.68285 -846.094 1696.188 -1.34145e-05
1376.2151475 9.7328578775 177.33 0.64119 -850.783 1705.566 -2.56621e-05
1220.34126901 10.3693461191 164.26 0.7171 -858.865 1721.73 -0.00475528
1504.06694147 9.4160944325 188.5 0.60452 -858.334 1720.668 -0.000288017
1740.69476123 8.58202307366 192.86 0.47194 -876.581 1757.162 -0.000399181
1426.87094517 9.31056099751 175.68 0.57686 -831.206 1666.412 -0.000104381
1372.576171 9.96411635968 170.01 0.6243 -894.072 1792.144 -0.000554057
1584.06864824 9.32739093456 185.34 0.54955 -896.628 1797.256 -0.000250866
1431.55256273 9.04741352097 173.77 0.54753 -780.107 1564.214 -2.38521e-05
1345.76983841 9.53987286727 175.55 0.63492 -803.686 1611.372 -2.11038e-05
1271.54737248 10.0199697233 167.56 0.67404 -831.639 1667.278 -2.56166e-05
1405.26608401 9.73228896452 171.25 0.5965 -877.548 1759.096 -1.47784e-06
1102.56504755 10.2737731072 158.52 0.76107 -763.26 1530.52 -0.000520303
