"D" "sigma" "z" "se.D" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1854.95518431 10.299015303 5.87719990726 194.25 0.54785 0.51196 -764.691 1535.382 -1.01718e-05
1482.69854694 12.2834879459 5.37963382711 169.04 0.76889 0.41401 -869.104 1744.208 -3.09509e-05
2143.81494539 10.1875696702 5.67781425561 205.89 0.51492 0.43288 -913.955 1833.91 -2.38908e-06
1897.29045778 10.5024870473 5.39538464118 199.91 0.57307 0.42477 -862.42 1730.84 -2.35621e-06
1640.2128414 10.4654159755 5.35574030795 184.13 0.62298 0.42591 -760.57 1527.14 -6.8449e-06
1685.60241795 11.5950833134 5.66388652637 180.74 0.68511 0.44368 -881.147 1768.294 -6.28156e-06
1765.56839807 10.4696887446 5.49347760394 189.1 0.61187 0.41058 -833.936 1673.872 -5.67654e-05
1331.23286432 12.1141331494 5.20103759328 166.97 0.81502 0.44074 -771.946 1549.892 -3.7396e-05
1558.6731916 11.2276018543 5.63155839413 176.55 0.68411 0.47497 -762.397 1530.794 -1.69072e-05
1381.30385925 11.432975494 5.84163232048 161.78 0.7376 0.5221 -688.307 1382.614 -8.80903e-06
1493.89326477 12.2001328097 5.67731240061 171.36 0.7574 0.47169 -834.677 1675.354 -1.50359e-05
1476.68299737 12.462670769 6.66491713111 163.37 0.7761 0.57136 -783.135 1572.27 -3.1501e-07
1293.08408043 12.1200253955 4.82278656507 161.73 0.83118 0.38102 -818.049 1642.098 -5.54338e-05
1820.6685237 10.6981208381 5.60067717824 191.21 0.58316 0.45748 -827.286 1660.572 -3.23001e-06
1742.71931337 11.7201282103 6.09613372 181.54 0.66617 0.50541 -869.116 1744.232 -3.28102e-05
1607.72638573 11.1298025601 5.16004669772 179.78 0.66602 0.40341 -827.899 1661.798 -1.66833e-05
1689.81854657 11.0070215624 6.18408421861 183.94 0.63915 0.56288 -753.105 1512.21 -6.50708e-05
1576.26125617 10.9646852577 4.76005472782 184.67 0.70922 0.35648 -863.228 1732.456 -3.77967e-05
1567.72603089 11.1117144297 5.7595986013 176.03 0.67987 0.49092 -755.024 1516.048 -1.20093e-07
1746.41854746 10.4997545385 5.32364172404 191.07 0.61896 0.39457 -841.703 1689.406 -5.20036e-08
1809.07779786 10.4823027485 5.24723068115 195.36 0.58645 0.41192 -829.154 1664.308 -8.24526e-05
1594.68640149 11.6786779622 6.06497106027 172.22 0.69643 0.51371 -811.001 1628.002 -7.07533e-07
1838.59809966 10.5550672303 5.3291141411 195.29 0.5902 0.42042 -843.464 1692.928 -4.52929e-05
1526.18079347 11.4284000641 5.2640193048 173.34 0.72803 0.41469 -814.85 1635.7 -4.78883e-06
1573.16304891 11.3237670622 5.80290279742 175.93 0.67655 0.50403 -744.981 1495.962 -2.64851e-06
1722.72251703 10.9228512347 5.01258648948 189 0.64899 0.36782 -893.9 1793.8 -4.88829e-06
1773.90700184 11.7334489355 6.33220297077 180.9 0.67514 0.50897 -876.928 1759.856 -2.40499e-06
1771.05885612 10.4617418203 5.22125422121 187.53 0.58469 0.40362 -824.791 1655.582 -9.48939e-05
1318.26430649 11.6143520804 4.99717099516 163.74 0.78719 0.41061 -747.209 1500.418 -1.22293e-05
1490.72925922 11.681912151 5.34223513722 171.22 0.73467 0.41651 -832.229 1670.458 -6.58677e-07
1763.06544157 11.3865319618 6.20428215385 183.12 0.63837 0.51655 -849.833 1705.666 -1.56703e-05
1450.72910001 10.319937098 4.92915245549 173.85 0.64398 0.41702 -687.936 1381.872 -1.29941e-05
1513.74456701 11.5252018929 5.1067557525 172.67 0.73759 0.3807 -871.956 1749.912 -2.56625e-05
1291.22608287 11.5613809048 5.74872146913 159.89 0.76501 0.54492 -641.48 1288.96 -4.62892e-05
1365.34872832 10.7845947175 4.83479831282 168.31 0.69066 0.41925 -700.211 1406.422 -1.7833e-06
1703.99843745 10.923949567 6.04278489572 184.32 0.61967 0.55258 -751.523 1509.046 -5.52628e-05
1688.83248285 11.3258777858 6.15078173121 180.24 0.64914 0.54488 -773.167 1552.334 -9.15795e-07
1689.35763001 10.8704294869 5.86596688346 181.01 0.62827 0.49194 -762.893 1531.786 -6.79132e-05
1266.13083543 12.8714049713 5.16360665565 155.74 0.8833 0.40389 -840.508 1687.016 -5.29569e-06
1900.21625364 10.4370966876 6.18416932003 195.01 0.55968 0.59289 -768.17 1542.34 -1.15037e-05
1578.86238107 11.4902421794 5.43343618903 177.34 0.69627 0.43645 -820.76 1647.52 -3.31009e-06
1367.4946562 12.2209845607 5.60819478699 161.43 0.78865 0.47547 -765.026 1536.052 -3.87067e-05
1399.75626201 12.2320412641 5.16933915851 167.56 0.79495 0.41202 -853.412 1712.824 -4.04882e-05
1640.40359506 10.2579025539 5.38476549373 185.26 0.58773 0.46645 -717.532 1441.064 -4.59551e-05
1400.73512072 11.2026673709 5.24864774368 165.95 0.71452 0.4398 -728.799 1463.598 -4.71403e-06
1531.9457741 11.3174714742 4.59081020109 180.2 0.71799 0.33257 -913.209 1832.418 -3.05284e-05
1585.89657008 11.6035159212 6.19722467741 171.37 0.70566 0.51118 -798.494 1602.988 -3.89219e-05
1435.14859017 11.4453155094 5.14841026052 172.74 0.74566 0.39556 -799.947 1605.894 -4.7495e-06
1832.54274225 10.4807005263 5.65502796535 194.95 0.59329 0.46358 -797.198 1600.396 -1.13917e-07
1999.5369747 9.99025260285 5.42218364235 201.68 0.50913 0.42496 -838.618 1683.236 -0.000190095
1654.96197188 10.9347339017 6.52442310293 173.89 0.62564 0.59652 -725.878 1457.756 -5.42164e-06
1817.57790658 10.3312155076 4.91492546336 197.56 0.6134 0.36418 -865.713 1737.426 -5.2613e-05
1511.97627699 10.3724983681 4.99342842001 194.3 0.75148 0.39939 -733.479 1472.958 -4.77267e-06
1520.33509895 10.6676241066 5.09466338483 177.44 0.67673 0.40613 -749.465 1504.93 -2.19212e-05
1201.39175622 11.9851651007 5.05454261563 151.99 0.85384 0.41236 -732.914 1471.828 -1.00604e-05
1516.37867517 11.3087964665 5.36619106009 173.87 0.71262 0.43805 -792.026 1590.052 -4.17845e-05
1796.2461232 10.323326304 5.50097269452 194.73 0.57323 0.45121 -786.315 1578.63 -1.05744e-05
1702.56664599 10.6401896274 5.38531153394 188.09 0.59695 0.46031 -768.289 1542.578 -6.98532e-05
1570.22747189 10.6234093742 5.88653239543 173.1 0.63977 0.5095 -689.28 1384.56 -4.9603e-06
1628.78065375 11.0633335318 5.58623633773 178.89 0.6552 0.44913 -791.036 1588.072 -5.17001e-05
1673.16366151 10.6448198957 4.90802334955 187.52 0.61961 0.38227 -826.842 1659.684 -1.30077e-05
1732.66848791 10.7280621611 5.49380452872 186.06 0.59993 0.46247 -804.159 1614.318 -5.45601e-06
1504.28277887 11.7816405531 6.8790332883 162.81 0.71441 0.66435 -720.517 1447.034 -1.3442e-06
1749.27760131 10.3135879153 5.2271001031 191.94 0.60146 0.43214 -774.517 1555.034 -3.09059e-05
1565.43766851 10.5841309791 5.30228649588 176.34 0.64014 0.42657 -735.496 1476.992 -8.40841e-05
1464.72245915 11.3789793581 5.1023180654 171.42 0.7449 0.39095 -810.581 1627.162 -2.41885e-05
1411.23082124 11.733567952 5.34616739407 167.47 0.7616 0.42898 -777.276 1560.552 -2.01887e-06
1823.72718118 11.0173872837 5.84735270014 188.88 0.6156 0.45801 -864.938 1735.876 -3.83104e-05
1799.06041262 10.6955835262 5.68433610391 189.16 0.59119 0.46615 -804.104 1614.208 -1.70533e-07
1798.06193304 11.0342005568 5.15232045268 194.94 0.63475 0.38338 -920.036 1846.072 -4.65249e-05
1606.56354277 10.8894274842 4.59544446438 187.83 0.65718 0.34895 -883.205 1772.41 -4.44601e-06
1418.9842058 11.7871348097 4.95405122781 170.55 0.7758 0.37974 -846.086 1698.172 -5.11154e-07
1300.78693314 12.2809391294 4.59832130371 163.81 0.84088 0.35953 -861.059 1728.118 -5.39112e-07
1369.47578125 11.9497116125 4.94232723182 166.45 0.7894 0.38953 -822.395 1650.79 -2.92383e-06
1709.77275399 10.5642619031 5.83654862153 184.53 0.59421 0.52476 -730.241 1466.482 -5.13813e-05
1413.55536594 11.8153394896 4.95286325827 170.89 0.78109 0.39191 -835.341 1676.682 -1.00702e-05
1508.00397108 10.8556413705 4.84427323379 178.17 0.67636 0.38758 -785.648 1577.296 -8.02174e-07
1783.31292023 10.6179978096 5.57819047081 187.24 0.59752 0.44348 -821.466 1648.932 -1.50038e-06
