"D" "sigma" "z" "se.D" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1576.65881836 11.2983535852 5.46033838362 177.11 0.676 0.45771 -784.389 1574.778 -9.01639e-06
1790.97289417 10.7021526597 5.73330150639 189.87 0.60081 0.48207 -797.607 1601.214 -2.39712e-06
1780.69343058 10.6613145695 5.83914256039 185.88 0.60731 0.48951 -789.373 1584.746 -8.34559e-07
1741.11696399 11.0913662892 5.26261102131 186.43 0.63968 0.40058 -893.329 1792.658 -6.20459e-05
1788.31667242 9.73433315695 5.18936848018 194.94 0.52279 0.4571 -721.73 1449.46 -7.62628e-05
1649.15270933 11.1623319135 5.13622887077 184.67 0.66319 0.39556 -863.508 1733.016 -0.000146826
1633.36716633 10.6968847283 5.02562848527 184.35 0.64183 0.39697 -807.041 1620.082 -1.07118e-06
1807.80515972 10.5184661946 5.78957643872 191.38 0.61434 0.47004 -799.847 1605.694 -1.52704e-05
1854.58204014 9.23471369939 5.20812741677 192.76 0.4529 0.41542 -716.926 1439.852 -7.53159e-05
1600.63352262 12.0412992548 5.67795735292 177.69 0.72914 0.45098 -863.151 1732.302 -1.27672e-05
1409.95302601 11.6292785905 5.45471915487 168.38 0.73906 0.46431 -745.744 1497.488 -9.84693e-07
1450.22779013 11.4777479143 5.22572288706 174.28 0.73965 0.42801 -776.176 1558.352 -5.3983e-06
1457.25505375 11.0079390994 5.20180981683 174.6 0.70861 0.41847 -746.83 1499.66 -4.66519e-05
1641.22882471 11.6182352602 5.83240124986 178.49 0.68354 0.48437 -824.676 1655.352 -3.67268e-05
1557.36776594 11.7318484439 6.40268900273 172.25 0.69528 0.59839 -757.701 1521.402 -6.78102e-06
1464.04990039 10.8785357193 4.97051668267 173.84 0.68719 0.39344 -762.42 1530.84 -4.87347e-06
1612.17842883 11.0410141468 6.00662975674 174.53 0.66084 0.52314 -738.453 1482.906 -1.80617e-05
1886.38474877 9.56779409509 5.09096639503 194.7 0.49918 0.38118 -785.952 1577.904 -4.88425e-05
1651.22873957 10.925766884 5.46215180476 180.33 0.63518 0.4656 -796.053 1598.106 -1.22498e-05
1797.9962799 10.9814064866 5.18393291519 197.05 0.65308 0.37215 -925.693 1857.386 -5.96434e-05
1534.03270502 10.9736220428 5.27537827555 174.34 0.66166 0.44561 -760.353 1526.706 -3.96922e-06
1600.96534199 11.9479347367 5.64410362738 175.33 0.71866 0.45972 -863.225 1732.45 -2.53742e-05
1475.17349163 11.7250021236 5.2360602031 173.8 0.74853 0.41102 -807.823 1621.646 -1.8912e-06
1355.09311676 11.343038769 4.97143794044 165.22 0.74063 0.39831 -749.385 1504.77 -1.77049e-06
1550.8703283 10.2341763079 4.83619380174 183.07 0.63645 0.37444 -753.222 1512.444 -3.94396e-05
1578.09454585 10.7456897109 4.54104050839 183.68 0.65546 0.34266 -852.2 1710.4 -3.16363e-05
1079.83704421 11.810877203 4.39777116366 154.64 0.91481 0.36799 -705.012 1416.024 -1.84713e-06
1571.2739555 11.3444602143 5.6430206403 175.5 0.68567 0.46923 -796.131 1598.262 -1.62174e-06
1469.48788552 11.6178717296 5.44500786025 170.96 0.74389 0.43366 -794.209 1594.418 -8.70685e-06
1636.94859695 10.8680431901 5.72410867897 183.32 0.63076 0.52353 -746.889 1499.778 -2.45574e-05
1637.18381396 11.1287124227 5.26614536973 181.65 0.66427 0.40546 -840.921 1687.842 -3.09077e-05
1882.07006023 10.7461342668 7.01098465582 188.49 0.56753 0.7079 -760.752 1527.504 -1.65042e-05
1603.97764599 11.0834145472 5.29062083694 182.49 0.68551 0.42205 -813.47 1632.94 -6.69754e-05
1645.04010541 10.558411256 4.99888552306 191.54 0.64628 0.3986 -796.466 1598.932 -1.46252e-06
1691.38972115 10.8019662886 5.52461232885 193.09 0.6473 0.46358 -778.031 1562.062 -2.21489e-05
1852.1144133 9.81435184756 5.00601071676 194.75 0.53215 0.37854 -822.652 1651.304 -4.01265e-06
1498.38295439 11.6332057015 6.05717647144 169.15 0.71554 0.53416 -736.267 1478.534 -8.24959e-06
1532.15193349 10.98893002 5.69458287919 169.99 0.65679 0.47634 -727.944 1461.888 -4.93526e-08
1861.06618115 9.68939029083 4.79476094061 204.19 0.51765 0.3582 -821.033 1648.066 -1.96291e-05
1812.19332806 10.1850539374 5.79013628252 192.17 0.57034 0.51984 -744.584 1495.168 -3.85589e-05
1619.2106839 10.5817625647 4.801788163 183.78 0.6529 0.36625 -824.036 1654.072 -8.03053e-05
1413.10845127 12.3565423853 6.44682180233 158.95 0.7781 0.6086 -741.35 1488.7 -6.55725e-05
1498.46265531 11.3969855091 5.19101395517 175.87 0.73335 0.39321 -815.071 1636.142 -8.37684e-06
1662.20362691 10.7062519497 5.4482222811 183.59 0.61594 0.46087 -769.04 1544.08 -4.49078e-05
1472.70256458 11.6462967995 5.4196859185 173.19 0.75412 0.4307 -804.602 1615.204 -8.32465e-06
1736.11496996 10.556315555 4.72767155229 196.86 0.65046 0.33458 -890.599 1787.198 -1.08209e-05
1233.40983495 11.8790342694 5.18260690613 155.97 0.82915 0.43095 -723.711 1453.422 -2.56458e-06
1444.6328449 12.0877654177 5.80031934978 163.16 0.76656 0.47592 -799.956 1605.912 -1.06899e-05
1605.27574095 10.9242891219 5.12924126875 184.35 0.67182 0.41128 -803.745 1613.49 -5.90145e-05
1981.66792577 10.3585791354 5.72468352857 201.36 0.56119 0.47226 -835.439 1676.878 -8.9825e-06
1556.99600751 11.8974093393 5.9653073474 172.77 0.72718 0.49928 -804.413 1614.826 -9.04607e-06
1396.24701186 11.6963773585 5.15636033357 169.49 0.7521 0.42383 -769.537 1545.074 -4.30517e-06
1718.20239549 10.5749557883 5.5411604065 188.47 0.62254 0.45366 -776.262 1558.524 -2.3817e-05
1696.61679091 11.3512194017 5.85840595029 177.39 0.65352 0.48665 -835.574 1677.148 -4.00799e-05
1614.24465315 10.540659434 5.00275764028 182.67 0.60924 0.40246 -768.477 1542.954 -2.5889e-06
1374.82237063 11.97949313 5.58830477924 163.71 0.78489 0.46662 -757.903 1521.806 -4.54664e-06
1784.9189208 11.4021641366 5.74392536539 185.43 0.64815 0.43191 -901.165 1808.33 -3.65065e-06
1181.93363922 12.8344780412 5.32267925674 152.06 0.92314 0.43907 -767.053 1540.106 -3.31173e-06
1700.64553425 10.6320480006 5.64615837878 190.65 0.62634 0.47695 -753.372 1512.744 -1.19106e-06
1827.11192796 10.204957404 5.91106917408 187.51 0.55909 0.49804 -754.745 1515.49 -2.68523e-05
1728.6951789 11.6837292338 6.33383922773 179.6 0.68417 0.49783 -856.244 1718.488 -4.87547e-05
1416.31265733 11.880679573 4.77857564305 171.28 0.78846 0.36634 -870.388 1746.776 -1.15607e-06
1612.85132055 12.2507738409 6.06444405422 174.01 0.72612 0.49268 -865.867 1737.734 -1.36231e-05
1689.77963941 10.4636461964 5.71314941592 185.23 0.60879 0.47356 -741.312 1488.624 -3.67626e-05
1699.28502811 11.7596484196 6.23946693352 177.38 0.6823 0.52292 -851.438 1708.876 -7.83226e-06
1666.97062201 10.9857394848 5.19012855519 183.9 0.6635 0.38299 -860.155 1726.31 -9.07998e-05
1556.87906104 11.1857830447 5.26749467964 175.91 0.69392 0.39946 -819.884 1645.768 -4.98624e-06
1954.50048448 10.2749886009 5.30518773634 199.39 0.56479 0.38936 -889.957 1785.914 -7.55315e-06
1620.05602403 10.2064406648 5.14649048498 180.74 0.59568 0.4117 -745.959 1497.918 -5.29177e-07
1742.70424508 10.1270597139 5.02750589948 190.15 0.5927 0.38366 -790.973 1587.946 -5.71764e-07
1390.71474122 12.2847598379 6.03758585579 161.56 0.79773 0.50445 -760.258 1526.516 -4.78889e-06
1770.11584779 9.59313969122 5.01968925938 194.11 0.50602 0.43783 -712.214 1430.428 -1.01621e-05
1723.10868649 9.6952772955 4.84544666279 196.74 0.56174 0.38496 -749.556 1505.112 -9.22348e-06
1884.09411345 10.3138686564 5.12351416327 199.69 0.57538 0.3757 -866.692 1739.384 -6.9594e-05
1429.81926469 12.2672087388 5.78903482057 166.34 0.78763 0.48523 -809.848 1625.696 -3.25771e-05
1818.28843257 10.5263211827 5.14543151836 197.25 0.6281 0.37547 -875.181 1756.362 -5.79391e-05
1512.59995344 10.4492338042 5.22331241536 173.35 0.65479 0.42502 -720.07 1446.14 -3.47146e-07
1555.18579923 11.285775844 5.51805754099 176.52 0.70136 0.45076 -782.25 1570.5 -1.23804e-06
1806.21191766 10.3261996148 5.15800006773 193.05 0.56573 0.40994 -816.308 1638.616 -9.37399e-05
1701.50947707 10.4377836532 5.02390482022 192.34 0.63418 0.38169 -824.442 1654.884 -4.03198e-06
1833.99559559 10.9374455161 6.01637074838 189.05 0.60156 0.52356 -820.923 1647.846 -4.77833e-06
1680.12493167 11.3121615684 5.79136053589 180.31 0.65244 0.48038 -817.905 1641.81 -1.98163e-06
1542.30175807 10.7790422261 4.83485762456 180.8 0.69911 0.36261 -820.092 1646.184 -1.05289e-06
1723.10555035 9.81569229771 4.90625173031 190.82 0.57927 0.38447 -766.303 1538.606 -1.27439e-05
1696.27076512 11.1087244985 6.67414216761 176.53 0.62463 0.63437 -737.198 1480.396 -5.74481e-06
1534.58623117 10.5411631298 4.73168351228 184.18 0.64455 0.38963 -763.223 1532.446 -1.84941e-05
1539.98380815 11.0484871215 5.31560127889 177.14 0.66749 0.45279 -752.536 1511.072 -1.67243e-05
1462.20670833 11.4460318961 4.8839647337 176.77 0.72418 0.40356 -791.441 1588.882 -3.89219e-05
1614.92009852 10.7807420815 4.96886170023 185.42 0.63894 0.38929 -809.608 1625.216 -2.02932e-06
1801.39798416 9.71243440174 5.045240934 192 0.53898 0.40234 -761.797 1529.594 -7.36515e-05
1562.32542838 11.1569331057 5.56552139919 174.16 0.66521 0.46485 -760.281 1526.562 -1.82199e-05
1468.17459403 12.4248662623 6.64530743402 161.68 0.76937 0.60597 -768.893 1543.786 -9.96634e-05
1505.61628546 11.4327971412 5.23044723001 173.45 0.73734 0.39697 -825.574 1657.148 -6.16829e-05
1995.8029883 10.0289601247 5.38383852102 201.14 0.53118 0.42471 -837.464 1680.928 -2.7107e-05
1801.65528921 10.1820429087 5.24123671277 190.13 0.56801 0.41676 -805.398 1616.796 -4.75265e-05
1321.40951426 11.3889559066 4.78693449768 167.25 0.76458 0.38893 -754.148 1514.296 -3.06157e-07
1474.43346704 11.2837203865 5.52886548133 169.25 0.70691 0.46659 -753.295 1512.59 -1.29079e-05
1581.67313118 12.0542057672 5.25775724277 176.3 0.73787 0.39178 -927.814 1861.628 -1.76901e-05
1487.0524515 11.8068270513 5.0361458345 175.27 0.78089 0.36696 -898.804 1803.608 -2.49141e-05
1515.95688465 10.9658944842 5.14107093097 174.18 0.67176 0.40698 -779.539 1565.078 -1.2764e-05
1568.62106712 11.5168977178 4.87090774324 184 0.73423 0.371 -899.689 1805.378 -0.000196847
1616.50270838 10.9270137034 5.67943997365 178.64 0.65232 0.47122 -764.559 1535.118 -4.85702e-05
1775.79896989 11.5816268239 6.06253504234 181.85 0.65968 0.48845 -876.329 1758.658 -1.52375e-06
1915.37979511 9.40691103227 5.15633973123 202.31 0.48214 0.42454 -746.856 1499.712 -1.87544e-06
1766.67302008 11.2483046725 5.63848042024 184.08 0.64689 0.42799 -890.972 1787.944 -5.66715e-05
1540.28068473 10.8674249061 5.15843672657 182.89 0.67265 0.41879 -762.726 1531.452 -1.26797e-05
1298.0233953 11.9825045752 5.19501671611 158.83 0.81098 0.41533 -770.144 1546.288 -1.00041e-05
1782.54555911 10.9188201606 5.53365823236 189.42 0.623 0.41948 -865.256 1736.512 -2.21324e-05
1652.079761 10.8253944074 5.17768082216 180.71 0.63663 0.40509 -818.623 1643.246 -6.59263e-06
1652.36682285 10.9321719201 6.06886155674 181.43 0.64267 0.55568 -730.549 1467.098 -3.09068e-07
2051.18044411 9.97151497431 5.11982778887 206.25 0.51886 0.37528 -899.371 1804.742 -2.43436e-05
1302.26100975 11.725667763 5.11383277345 161.63 0.81946 0.40372 -765.92 1537.84 -6.98522e-05
1263.06396044 11.7911395229 4.89679000428 157.15 0.80866 0.41332 -735.906 1477.812 -2.53068e-06
1836.72067947 10.8337400187 6.7166309284 185.2 0.58731 0.62645 -766.326 1538.652 -1.93196e-06
1446.12606452 12.2740078004 6.10457697456 163.88 0.77062 0.52896 -783.35 1572.7 -6.27396e-05
1598.80117689 11.7706998198 6.08063237044 173.08 0.71395 0.49135 -826.202 1658.404 -4.99968e-05
1410.69052422 12.1131695183 5.56504773791 164.7 0.78438 0.46559 -793.428 1592.856 -1.35406e-05
1677.34974605 10.6756615959 5.74977582911 181.06 0.6291 0.47179 -771.496 1548.992 -3.81164e-05
1453.08433312 11.4633051669 5.26095570006 170.25 0.7412 0.42661 -772.645 1551.29 -3.89719e-06
1596.81075036 10.9607700333 5.2600981318 178.76 0.67346 0.3964 -824.181 1654.362 -3.33315e-06
1658.3382153 10.5660747766 4.97243078249 186.47 0.62179 0.38654 -812.842 1631.684 -5.78118e-05
1657.54041707 11.8817815433 5.63088072 177.8 0.70168 0.44554 -899.766 1805.532 -4.33767e-06
1477.61121315 11.4949963501 6.07198663556 166.24 0.71115 0.55553 -716.751 1439.502 -6.43989e-06
1414.61543862 10.8544166316 4.75659279981 171.83 0.69642 0.377 -742.782 1491.564 -7.04277e-05
1417.32026359 12.0796143932 5.18155224935 169.43 0.77031 0.42974 -809.85 1625.7 -2.52027e-05
1500.3111185 11.1768802257 5.31887263262 170.92 0.70074 0.41191 -788.583 1583.166 -1.3462e-06
1989.81416359 10.7496038593 6.10508214987 196.47 0.57312 0.51094 -853.06 1712.12 -2.79271e-06
2070.47457707 10.4788986299 6.51939054172 196.99 0.51782 0.5698 -848.556 1703.112 -2.15592e-06
1796.11363092 10.8338059534 5.5714686485 189.91 0.62061 0.44557 -836.486 1678.972 -8.33498e-05
1825.12103784 11.0492401749 5.54586629333 189.75 0.62616 0.42112 -884.035 1774.07 -1.0251e-05
2068.24690652 9.77849951937 5.48262836767 205.86 0.49962 0.4342 -837.137 1680.274 -4.79952e-06
1767.84472123 9.92104102058 5.40332961872 187.69 0.56639 0.42815 -747.822 1501.644 -3.09801e-06
1544.79840471 11.4081231474 5.44774642515 172.48 0.69947 0.44767 -803.67 1613.34 -6.78698e-06
1499.8488251 11.1938627385 5.00045780866 172.51 0.70227 0.39021 -816.423 1638.846 -4.16772e-05
1599.83777297 12.0941060973 6.07383680677 172.05 0.72394 0.4957 -848.542 1703.084 -2.58541e-06
1592.72347611 11.4442530764 6.11020322989 176.15 0.68952 0.53614 -770.743 1547.486 -1.21302e-06
1710.56198193 11.4072486618 5.46619385982 180.57 0.66498 0.41117 -910.714 1827.428 -8.62029e-05
1540.92849684 11.9998938668 5.57810464377 174.41 0.74359 0.4439 -852.491 1710.982 -2.18513e-05
1884.15520159 10.6623805366 6.04139075955 189.83 0.57711 0.50352 -802.857 1611.714 -5.34213e-05
1622.9916007 11.4862901279 5.41600980083 178.71 0.70118 0.41221 -871.129 1748.258 -5.84923e-05
1420.80250374 11.8511354124 5.0489556805 168.97 0.77156 0.39879 -824.418 1654.836 -6.35934e-06
1734.69393936 10.517261267 5.2542026392 184.72 0.595 0.40011 -818.927 1643.854 -7.22307e-07
1637.8413642 10.7843457414 5.7068404772 177.94 0.62304 0.47464 -753.081 1512.162 -7.26966e-08
1678.25749701 11.4964848936 5.18773265046 185.26 0.6732 0.40459 -893.528 1793.056 -4.48274e-06
1810.67725013 10.7534905821 5.26738796983 190.61 0.60625 0.39619 -870.688 1747.376 -4.49229e-06
1665.1706779 9.86673144569 5.23439218246 187.92 0.55268 0.42409 -728.023 1462.046 -3.94441e-05
1600.00464514 10.1968587675 5.30430173893 184.31 0.64789 0.42647 -726.916 1459.832 -1.13164e-05
1495.2576244 12.0267982936 5.35097052638 168.81 0.76201 0.40241 -874.443 1754.886 -8.53365e-07
1588.78847527 10.7975770126 4.90377939927 180.57 0.64691 0.37952 -821.817 1649.634 -1.73391e-06
1651.96269896 9.11015015851 4.64362848296 191.73 0.52109 0.36634 -680.335 1366.67 -8.14308e-06
1611.8787521 11.0506722023 5.91606096048 175.6 0.65729 0.50193 -743.282 1492.564 -4.38938e-05
1544.6009263 11.7622802173 5.7503055574 173.88 0.72187 0.49177 -794.163 1594.326 -1.17154e-05
1655.32085491 10.8734541365 5.57860059052 178.11 0.63738 0.4609 -773.666 1553.332 -4.17658e-06
1659.55387847 10.7893406443 5.11031549105 188.51 0.65862 0.38876 -819.255 1644.51 -8.77703e-05
1284.27329601 11.8152661703 5.43838273001 157.03 0.78802 0.46852 -706.016 1418.032 -5.96687e-05
1324.54304022 12.126422734 5.10954154727 165.18 0.84632 0.39529 -817.295 1640.59 -1.79151e-06
1863.6386303 11.1005171712 5.81481340659 192.41 0.61131 0.46671 -875.63 1757.26 -1.59107e-05
1516.36102073 11.4578576544 5.49634511548 170.44 0.70233 0.42807 -812.493 1630.986 -6.51009e-05
1750.4596562 10.0733080105 4.94191757712 188.2 0.57409 0.37062 -818.476 1642.952 -5.98386e-05
1359.01378779 11.9809827132 5.16217804249 168.62 0.81622 0.40756 -798.833 1603.666 -6.03689e-05
1669.13091307 11.6523563267 5.33491542419 179.07 0.7044 0.38301 -939.381 1884.762 -6.15585e-05
1431.26165086 12.0666668148 5.90751448587 164.28 0.75965 0.51414 -763.402 1532.804 -4.70472e-06
1746.43773036 10.0649506721 5.24583047655 188.9 0.58095 0.42245 -770.43 1546.86 -3.72759e-06
1613.20909415 11.790697974 5.49585387629 181.94 0.71099 0.45629 -836.955 1679.91 -1.54682e-07
1498.84911589 10.8974006214 4.70647563447 177.04 0.67058 0.36629 -807.815 1621.63 -4.90337e-06
1614.47524663 11.173713777 5.27031695537 185.06 0.68825 0.42121 -805.564 1617.128 -8.8278e-06
1862.93017807 10.1956716461 5.46882351483 196.04 0.54792 0.4783 -776.377 1558.754 -7.20857e-06
1335.00548152 11.2339623929 4.75026888617 165.54 0.75003 0.38406 -747.677 1501.354 -1.21519e-05
1445.98035084 12.6546715272 5.62678330246 168.27 0.81821 0.43908 -871.835 1749.67 -4.91652e-06
1651.84135534 12.3879030411 5.99750008096 176.21 0.74656 0.44375 -936.527 1879.054 -3.11312e-05
1266.8030836 11.7809049561 5.14060903688 158.97 0.82885 0.40714 -751.607 1509.214 -2.16747e-06
1665.81375196 11.1460744694 5.698573919 182.15 0.64963 0.47443 -799.49 1604.98 -1.42838e-07
1697.85184659 10.2798420999 4.72073763925 196.68 0.62011 0.36426 -818.004 1642.008 -2.75483e-05
1593.52510527 11.4378958325 5.21766143997 180.82 0.70486 0.40624 -854.57 1715.14 -6.15545e-05
1686.5353218 11.1494049757 5.46619354381 186.54 0.67918 0.42177 -849.807 1705.614 -4.42155e-05
1941.46103099 10.756874568 6.06146641892 194.46 0.58423 0.49094 -861.124 1728.248 -3.26389e-06
1789.81037206 10.8264347949 5.81430884135 185.4 0.61104 0.47704 -820.332 1646.664 -1.99871e-06
1333.60046483 12.758985826 5.36159856257 160.17 0.8568 0.4135 -857.241 1720.482 -5.01935e-05
1444.61302021 11.7917746305 5.65434720446 165.1 0.74394 0.4802 -770.33 1546.66 -1.91493e-07
1265.11588604 12.3033472998 5.54631878215 155.68 0.84447 0.45529 -741.941 1489.882 -9.38529e-07
1464.19226015 11.8848750518 4.97091955731 170.63 0.75556 0.38258 -874.533 1755.066 -0.000123954
1517.19504029 11.4474513211 5.34084554575 174.8 0.71749 0.4219 -810.957 1627.914 -1.33224e-06
1604.29131533 11.1177058234 5.63758146603 179.43 0.66472 0.48263 -776.616 1559.232 -3.43674e-06
1627.94376794 11.7433679454 6.30776825701 175.25 0.68565 0.57041 -786.487 1578.974 -5.58645e-06
1707.0557563 10.0873055573 5.06128026103 189.27 0.60902 0.38441 -785.609 1577.218 -2.16424e-06
1521.96737068 11.725818812 5.21859175894 176.07 0.74214 0.40632 -857.524 1721.048 -9.49425e-06
1784.7507074 11.3263293761 6.31177733955 181.09 0.64331 0.53772 -837.605 1681.21 -4.79914e-05
1400.82616111 11.6708999108 5.1895165039 166.61 0.76559 0.41497 -786.783 1579.566 -2.24441e-05
1452.14614832 11.754665683 5.21088742247 169.98 0.74912 0.40645 -831.167 1668.334 -2.88273e-05
1639.45386406 11.260567251 5.8676290976 176.69 0.67158 0.48408 -795.787 1597.574 -3.16504e-07
1486.76537401 10.802606751 4.87946308793 175.81 0.69838 0.38521 -765.05 1536.1 -1.73542e-05
1518.22095804 10.9853148258 5.35380292556 175.65 0.69505 0.42376 -770.542 1547.084 -3.3411e-06
1461.75244382 10.9235967859 5.03536630005 175.93 0.70684 0.41183 -735.396 1476.792 -3.80165e-07
1881.76366131 10.5943606681 5.82888637605 193.89 0.5877 0.45376 -836.071 1678.142 -4.40335e-06
1525.95041155 11.4109828666 5.14747961848 178.5 0.735 0.3868 -836.504 1679.008 -1.36978e-06
1668.76733786 10.6017438041 4.99171058742 189.95 0.64487 0.38279 -821.686 1649.372 -8.99916e-05
1627.71259172 11.5906071588 5.35246032959 179.66 0.69192 0.41351 -874.61 1755.22 -4.65676e-05
1404.99665435 11.814495534 5.81830807354 164.26 0.75119 0.51059 -718.702 1443.404 -1.11735e-05
1367.22710412 10.6273493109 5.50862368416 168.41 0.67097 0.52606 -606.725 1219.45 -4.05916e-05
1849.04043847 10.3789328795 5.68684276755 194.37 0.56636 0.4848 -788.425 1582.85 -6.53891e-07
1630.85712723 10.5026163343 5.13483344049 182.45 0.64912 0.37249 -807.837 1621.674 -1.69713e-05
1969.78298237 10.1956853877 5.09241802588 201.74 0.54026 0.38077 -885.423 1776.846 -3.64593e-05
1569.32552065 11.9129285701 5.06622359393 181.11 0.75117 0.37632 -918.114 1842.228 -1.39887e-05
1870.53677143 11.1372183545 6.28053807997 187.28 0.61014 0.53412 -856.316 1718.632 -8.08674e-05
1377.98825183 11.7142049388 5.35569244202 165.93 0.77722 0.4396 -767.191 1540.382 -2.03194e-06
1552.96318883 11.3916746176 5.59208136002 173.71 0.69496 0.45832 -783.718 1573.436 -2.00046e-06
1731.19806958 10.8815207953 5.06290217719 187.17 0.63527 0.38489 -875.973 1757.946 -4.40213e-05
1385.82147852 12.0348053188 5.33117494636 161.52 0.78438 0.42617 -787.354 1580.708 -4.07562e-05
1451.01888988 10.7966292146 4.74925708574 175.28 0.68478 0.38669 -747.588 1501.176 -1.33325e-06
1970.56055488 10.2861854664 6.05458195773 194.98 0.52524 0.53185 -796.769 1599.538 -1.7413e-06
1569.25777414 10.798835363 4.82471857487 185.98 0.69069 0.36159 -826.965 1659.93 -1.13061e-05
1967.27396954 10.0888811074 5.20394299614 202.02 0.53585 0.38252 -890.369 1786.738 -2.5012e-06
1571.99833986 11.1749243818 4.95495639224 180.1 0.6772 0.38581 -852.685 1711.37 -1.35515e-05
1816.78089391 10.4429745551 5.33787559524 194.38 0.57508 0.43385 -816.229 1638.458 -9.43138e-05
1570.65976131 11.2998387021 5.18897285937 179.33 0.70028 0.3963 -839.853 1685.706 -2.94638e-05
1700.01188116 10.4062162259 5.2457079463 184.92 0.60109 0.4048 -787.865 1581.73 -4.1853e-06
1767.01697082 10.1364385463 4.86644082537 193.99 0.59251 0.36526 -838.407 1682.814 -4.37419e-06
1582.9316954 11.0172033128 5.25224490522 178.39 0.69924 0.39768 -824.834 1655.668 -8.55191e-05
1748.79789302 11.0212924103 5.59941933583 187.32 0.64493 0.44501 -840.4 1686.8 -4.9995e-05
1519.24332645 11.4988503925 5.33635296829 174.42 0.70909 0.4223 -813.783 1633.566 -8.66804e-05
1515.84651918 12.0313295915 5.86166509322 169.13 0.73645 0.47936 -822.399 1650.798 -5.2759e-07
1674.81159468 10.7582485198 5.27839587699 183.3 0.62426 0.4315 -809.895 1625.79 -1.41696e-05
1573.410453 9.86226711755 4.85293281934 185.51 0.59313 0.38162 -708.811 1423.622 -6.30072e-05
1361.74121206 11.6202309298 5.20290462246 163.81 0.75473 0.4428 -736.052 1478.104 -1.01989e-05
1799.02822589 10.5625747838 5.47122608142 191.23 0.59282 0.44545 -809.689 1625.378 -3.20926e-05
1275.10074639 12.6128996655 5.14438003328 158.92 0.88614 0.39807 -833.003 1672.006 -7.88959e-05
1434.30028307 11.1881134809 5.34537555418 171.26 0.71593 0.45964 -724.212 1454.424 -9.46552e-05
1709.49723345 10.9673467726 5.44150866958 185.22 0.63934 0.41798 -845.994 1697.988 -1.74051e-06
1857.52883191 10.3403234612 5.26341483671 198.34 0.58653 0.39926 -848.25 1702.5 -4.55016e-06
1366.92435904 12.3383158535 4.76760487567 169.81 0.84128 0.35644 -896.816 1799.632 -4.08579e-06
1484.82684441 11.2020099926 5.09309947495 176.17 0.70535 0.41533 -769.416 1544.832 -1.30992e-05
1430.94511919 11.5500643387 4.91701749659 173.27 0.77512 0.37579 -831.625 1669.25 -8.17113e-06
1606.35486277 11.2370584051 5.26472886997 180.09 0.67933 0.42843 -831.151 1668.302 -1.94427e-05
1445.5538384 12.2483909148 5.58574179953 165.39 0.77972 0.45208 -832.002 1670.004 -1.31123e-05
1607.33663014 10.4492451795 4.37153459364 190.29 0.63594 0.33208 -848.055 1702.11 -3.54157e-05
1963.93461674 9.97157221287 5.24661164119 197.94 0.53092 0.39532 -857.826 1721.652 -5.4523e-07
1636.72652631 11.0926322124 5.58670729179 179.27 0.66029 0.4372 -803.339 1612.678 -2.55225e-06
1651.84208248 11.5800071196 5.57032200295 181.72 0.69965 0.43601 -867.471 1740.942 -2.31007e-05
1897.88563602 10.8998888641 5.72465871989 196.93 0.61731 0.45554 -867.372 1740.744 -1.17386e-05
1664.87642653 10.5932201282 5.52335083246 179.61 0.60506 0.45835 -755.032 1516.064 -1.60639e-05
1596.77854024 10.9702511842 5.37814594069 183.81 0.67966 0.44129 -782 1570 -3.58636e-06
1418.55355503 11.5521966445 4.89011698625 171.17 0.76706 0.37907 -815.606 1637.212 -7.95803e-05
1557.28973839 11.3336673671 4.98059332973 175.96 0.70318 0.37297 -857.481 1720.962 -5.54747e-05
1235.43901106 11.9093908061 4.94584142077 158.1 0.84392 0.40095 -747.29 1500.58 -5.0959e-05
