"D" "g0" "sigma" "z" "se.D" "se.g0" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1710.78645368 0.889731445901 13.4425682089 9.56481246292 187.23 0.033092 0.9769 2.4506 -867.296 1742.592 -3.46042e-05
1668.16623524 0.968275795048 11.1750638549 5.58612486884 189.87 0.032672 0.77525 0.6749 -806.898 1621.796 -1.34506e-05
1529.39787079 0.952205144547 12.3614880048 6.1101356796 182.26 0.03824 0.89689 0.88557 -821.711 1651.422 -0.000145342
1848.6966681 0.999999788143 10.2496735636 5.1876838876 198.32 0.00021304 0.56022 0.41336 -815.894 1639.788 -7.57861e-05
2018.14763004 0.878447496287 11.469540959 7.91037622711 214.88 0.047059 0.84212 2.1939 -815.919 1639.838 -5.93691e-05
1950.67963628 0.937845686903 11.903110884 7.62678191139 200.11 0.042382 0.8423 1.5888 -891.94 1791.88 -5.09128e-06
1770.90833445 0.908861194336 11.8262132713 8.25800454843 194.78 0.038312 0.86744 1.9052 -772.571 1553.142 -3.98566e-06
1616.42575776 0.951020471238 12.1415747809 6.83385088989 180.42 0.036752 0.89166 1.0879 -816.592 1641.184 -5.92638e-06
1710.57788761 0.919909248965 12.0148511352 7.26065186425 196.34 0.045197 0.89316 1.6196 -799.178 1606.356 -2.27792e-05
1465.07600268 0.942968651091 12.111513348 6.24444995255 175.99 0.041517 0.96276 0.9542 -769.138 1546.276 -2.95352e-05
1732.93321554 0.895815003967 11.5366351338 7.19650724857 205.45 0.056787 0.95148 1.9311 -761.384 1530.768 -1.24096e-05
1327.50297813 0.875306829346 14.7341714349 8.61906338727 165.62 0.038396 1.2616 1.8345 -824.459 1656.918 -2.05726e-06
1790.55805504 0.946484968501 11.4713921002 6.96646218166 191.83 0.034189 0.76925 1.1199 -796.836 1601.672 -4.7269e-06
1780.8114172 0.90454205822 12.6369252268 8.0948001264 192.1 0.045209 1.0666 1.8873 -878.068 1764.136 -1.18007e-05
1877.75311236 0.921609990474 11.0166552993 7.13816260379 205.87 0.047185 0.76931 1.5761 -764.026 1536.052 -6.44852e-06
1863.24935214 0.867918180469 13.7327534319 19.9999918708 177.45 0.023608 0.70418 0.036163 -859.406 1726.812 -6.32767e-05
1818.73945429 0.966655861233 10.8213596436 6.91365288105 195.1 0.042236 0.76248 1.4665 -738.449 1484.898 -1.54364e-05
1383.98511323 0.934438073168 13.8165767999 7.67497088635 162.86 0.038102 1.1691 1.3846 -811.075 1630.15 -2.12509e-05
1702.55582822 0.97902737724 11.4375259243 5.97477252323 185.78 0.030451 0.74772 0.73571 -831.587 1671.174 -6.18229e-05
1423.13464665 0.958899928776 12.3099813468 5.81184204425 181.36 0.058078 0.99883 1.0463 -788.036 1584.072 -3.41156e-05
1751.02210769 0.999999179762 10.4275406159 5.83846085801 185.82 0.00081998 0.57395 0.54979 -729.045 1466.09 -2.98834e-05
1732.72360771 0.935364001156 11.2751918041 6.66457266398 190.73 0.05672 1.0441 1.4886 -781.01 1570.02 -2.895e-05
1510.05318321 0.999999975695 11.2376158779 5.69377662609 171.62 2.4293e-05 0.67848 0.50948 -726.71 1461.42 -5.91428e-05
1862.80921665 0.925416954641 11.2842150392 7.35070747953 198.85 0.048447 0.87195 1.5079 -782.936 1573.872 -1.15283e-05
1512.86593212 0.99999997351 12.6169088516 6.07493324163 167.34 2.6483e-05 0.76871 0.52526 -836.983 1681.966 -2.24396e-05
1348.33189619 0.945591800695 12.6253555054 5.97575047131 168.43 0.040899 0.99042 0.85894 -760.134 1528.268 -7.37505e-05
1537.44466825 0.946301522232 11.9343040474 6.48068216509 185.42 0.039466 0.83716 1.0195 -752.372 1512.744 -8.21816e-05
1573.04729293 0.959943597673 12.117410743 6.02468506825 187.45 0.036571 0.84447 0.83878 -817.088 1642.176 -1.91507e-06
1607.42395807 0.999999539414 11.0031286509 5.15604810548 184.16 0.00046247 0.64663 0.41841 -800.025 1608.05 -3.79892e-05
1669.99099353 0.961164330389 11.5246043261 5.81359450172 197.8 0.042598 0.77916 0.83265 -820.785 1649.57 -5.81859e-06
1375.34261716 0.936350156816 13.1206069653 5.67505743681 173.92 0.034829 0.96487 0.71665 -837.336 1682.672 -6.61656e-05
1669.7539471 0.95577580843 11.9094615483 7.32614704378 180.09 0.028814 0.79192 1.0832 -771.296 1550.592 -3.83672e-05
1386.45193847 0.983940724873 12.0567040254 5.07620796041 175.11 0.035422 0.86653 0.59169 -802.074 1612.148 -2.26433e-06
1535.56064925 0.889164559087 12.3675346553 6.76700699442 185.53 0.056668 1.1623 1.5396 -773.184 1554.368 -2.46651e-05
1653.67476158 0.946095575726 12.3856752529 6.96173351625 185.29 0.030343 0.85027 0.99144 -826.347 1660.694 -8.69171e-05
1778.45931009 0.949282565269 11.771552348 6.2283025598 197.25 0.038696 0.82447 0.92867 -873.681 1755.362 -1.40489e-05
1688.99991094 0.902748678318 12.2954466536 7.05546201605 193.51 0.043938 0.95666 1.3609 -835.982 1679.964 -1.04175e-05
1743.82214475 0.850116193952 12.5696524302 7.8342519774 202.64 0.052908 1.0734 2.2024 -837.664 1683.328 -1.14588e-05
1734.88548425 0.859155787563 13.8715106566 16.4349697301 186.33 0.03821 1.2765 16.119 -838.629 1685.258 -1.13976e-05
1867.97886997 0.911072499392 11.694660711 6.03808953554 212.97 0.043944 0.83849 0.93534 -905.092 1818.184 -5.20854e-05
1884.95352958 0.985737612833 10.6903902164 5.97688700849 206.84 0.031366 0.61105 0.78151 -802.563 1613.126 -5.26151e-05
1760.66128712 0.910778059364 11.8753726654 6.26760535668 200.4 0.044554 0.86492 1.0086 -865.499 1738.998 -3.98284e-05
1761.89978543 0.906330539577 13.2304876579 8.49098546709 188.44 0.034786 0.95526 1.7746 -910.61 1829.22 -4.5793e-06
1634.67970343 0.938443322574 11.9278012355 6.52991213852 194.57 0.037806 0.83843 1.0572 -802.84 1613.68 -5.50783e-05
1526.21252856 0.934336241222 12.1743748733 6.9617028134 181.11 0.038253 0.91609 1.2192 -756.569 1521.138 -6.10204e-06
1853.48487062 0.92946409464 11.0796182908 5.79887394075 208.68 0.043868 0.77837 0.85474 -848.989 1705.978 -6.47346e-06
1511.2595562 0.950770096329 11.6688545042 5.93607063782 178.3 0.040049 0.8974 0.81449 -764.1 1536.2 -6.71946e-05
2021.05576591 0.941418619902 10.8769872361 6.43415658234 209.8 0.043145 0.77904 1.0776 -859.193 1726.386 -1.67238e-05
1638.91396764 0.938221317711 11.2537334108 6.95992181161 197.21 0.048376 0.80666 1.6497 -690.021 1388.042 -9.8194e-06
1443.30355511 0.952029172295 12.3078840841 5.62150641339 177.54 0.048391 0.9883 0.85543 -812.414 1632.828 -3.93776e-05
1711.50884172 0.913291423624 11.9915223156 6.8643215721 192.44 0.042325 0.89691 1.214 -831.598 1671.196 -3.02807e-05
1964.41379427 0.99999989399 10.4699310075 6.1240006511 195.45 0.00010595 0.54216 0.54101 -807.479 1622.958 -3.09253e-05
1924.79893089 0.964452733554 10.2435771814 5.89166671807 206.28 0.054191 0.76259 1.0216 -768.59 1545.18 -2.07238e-05
