"D" "ssb0" "ssb1" "sigmass" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "logLik" "AIC" "maxgrad"
1928.86543857 5.08562125651 0.0178044615705 8.33171823979 151.33 0.005963 0.00070891 0.33002 -3048 6104 -0.000912013
2108.58386332 5.07419605648 0.0176621297683 8.37708668344 167.95 0.0063088 0.00074601 0.34682 -2936.71 5881.42 -0.00045555
1534.29959643 5.08361466589 0.0170298298177 8.91850057916 142.96 0.0076369 0.0008393 0.39239 -2512.83 5033.66 -6.33926e-05
1719.35358984 5.10958355352 0.0201223001303 9.47721910802 148.71 0.0077684 0.00091984 0.43388 -2530.66 5069.32 -1.52664e-05
1806.97304377 5.09256083385 0.0179506685513 8.32595036623 145.16 0.0061751 0.00072401 0.34358 -2928.34 5864.68 -8.64832e-06
1947.88727241 5.09250495894 0.0183063099214 8.59672344153 156.54 0.0065266 0.00076712 0.36062 -2913.04 5834.08 -0.000122208
1938.26283938 5.09083600691 0.018779470072 8.74384907756 155.77 0.0068208 0.0008163 0.37516 -2768.04 5544.08 -2.44109e-05
1611.25020305 5.09438908923 0.0186524817403 9.01036017875 143.43 0.0074419 0.00086676 0.40403 -2467.6 4943.2 -6.94451e-06
1770.88790373 5.08909767848 0.017358632753 8.23546917268 144.14 0.0065341 0.00071305 0.33832 -2868.22 5744.44 -4.5009e-06
1627.32948957 5.09145209207 0.0178110451411 8.8579820871 142.41 0.0073217 0.00079374 0.37534 -2682.03 5372.06 -2.51637e-06
1554.70769987 5.09536832888 0.0178618416343 8.92222379413 136.02 0.0070935 0.00083538 0.39689 -2556.52 5121.04 -2.22745e-05
1534.64901491 5.08204101606 0.0170069471223 8.96803642332 142.56 0.0076297 0.00085071 0.40174 -2481.82 4971.64 -1.06468e-05
1332.1331803 5.10295558723 0.0180608467257 9.12712435849 124.54 0.0082973 0.00083012 0.41653 -2314.8 4637.6 -1.48674e-05
1607.402567 5.08731553893 0.0169726813375 8.95743795539 141.34 0.0066046 0.00078614 0.36515 -2836.42 5680.84 -1.00255e-05
1597.45423716 5.08296250732 0.0170279169292 8.19794187144 136.05 0.0059777 0.00074691 0.32678 -2743.31 5494.62 -7.7472e-05
1546.70180749 5.09028099038 0.0173552489079 9.31155681553 137.57 0.0071364 0.00081859 0.39835 -2690.86 5389.72 -1.822e-05
1839.74484528 5.08263586555 0.0176641488911 7.88760084959 148.66 0.0062765 0.00075372 0.34735 -2626.13 5260.26 -6.03191e-05
1777.48630405 5.0907927949 0.0175203963727 8.48044385504 146.08 0.0067362 0.00074342 0.34938 -2892.68 5793.36 -0.000103702
1839.68222084 5.08077392066 0.0180689289268 8.75861505434 156.55 0.0068016 0.00081529 0.38353 -2678.42 5364.84 -3.0256e-05
1549.83154067 5.09541181651 0.017873102454 8.78182740433 138.89 0.0071903 0.00082593 0.38204 -2538.7 5085.4 -2.71883e-05
1864.03358671 5.09043291517 0.018998050541 9.46465206173 155.87 0.0076309 0.0008606 0.42098 -2702.41 5412.82 -1.81605e-05
1660.21544263 5.09504251651 0.0191283041929 9.13454475466 145.1 0.0075821 0.00087879 0.4153 -2495.86 4999.72 -1.71489e-05
1745.40163527 5.10180989475 0.0191580848204 8.79746411159 143.94 0.0068892 0.00082099 0.37973 -2715.35 5438.7 -2.29363e-05
1714.64492302 5.09060394255 0.0178090216773 9.05420545268 151.67 0.0076844 0.00083514 0.39201 -2639.44 5286.88 -1.29174e-05
1601.04339339 5.09356684368 0.0173530738036 8.01913897396 134.18 0.0067054 0.00071271 0.34747 -2650.48 5308.96 -2.21309e-05
1734.42815203 5.08830697621 0.017443383457 8.67947691871 145.12 0.0070554 0.00078694 0.38349 -2662.62 5333.24 -0.00170638
1656.70525443 5.09168537699 0.0178903520593 8.87450153494 143.45 0.0076273 0.00078367 0.39696 -2592.74 5193.48 -7.8067e-06
1662.99828486 5.08652703635 0.0182492098543 9.14678243716 148.84 0.007689 0.00089322 0.41218 -2442.05 4892.1 -5.65445e-05
1816.82799572 5.09203596111 0.0182078241062 9.38873736494 153.87 0.0072264 0.00080165 0.39466 -2875.71 5759.42 -3.96963e-05
1806.6030718 5.08967039116 0.0176750458311 8.56794697923 150.95 0.0065992 0.00074386 0.34557 -2929.76 5867.52 -6.71617e-05
1651.93887066 5.09978299283 0.0182560295417 9.20050365428 145.81 0.0080807 0.00081383 0.40955 -2611.59 5231.18 -0.000223789
1484.80164011 5.08887551744 0.0174120461554 8.82443841446 135.21 0.0071964 0.00083692 0.39892 -2435.72 4879.44 -0.000207839
1499.43084552 5.09138979548 0.0168449192566 9.10338966482 136.69 0.007413 0.0007877 0.38969 -2721.88 5451.76 -2.34617e-06
1740.00641809 5.10589753279 0.0190964570326 9.36564417371 144.82 0.006899 0.00081947 0.3773 -2925.24 5858.48 -6.50347e-06
1426.10334041 5.07823519597 0.0174151536544 9.48739489426 142.83 0.0092841 0.00094447 0.47453 -2128.3 4264.6 -2.82529e-05
1719.32595646 5.07849330914 0.0173798487499 9.30426159656 152.22 0.0072299 0.00082394 0.38461 -2820.31 5648.62 -0.00016999
1417.59386083 5.09457268727 0.0185689404014 8.63673013605 132.06 0.0076627 0.00093055 0.42319 -2128.97 4265.94 -7.40015e-06
1534.52276728 5.07839657156 0.0179854108287 9.36725379526 145.92 0.0085113 0.00095497 0.46642 -2150.37 4308.74 -4.79098e-05
1607.50045035 5.09216609481 0.0178535396945 8.45882272291 140.37 0.0071416 0.0007959 0.37595 -2516.57 5041.14 -5.96283e-05
1686.33650965 5.09723869729 0.0183462133076 8.48565997865 141.71 0.006942 0.00078912 0.37671 -2567.49 5142.98 -0.00048837
1635.40703473 5.10143748242 0.018590144645 8.27437187987 140.78 0.0071602 0.00082178 0.37562 -2483.01 4974.02 -1.26787e-05
1639.15278424 5.08396288482 0.0172876932514 9.11172262417 143.39 0.0067976 0.00081451 0.37953 -2795.51 5599.02 -1.9573e-05
1799.65294928 5.0927912343 0.0189165767879 8.486207297 153.45 0.007174 0.00084936 0.3843 -2486.88 4981.76 -4.80925e-05
1681.96326267 5.07502389346 0.0166747703284 8.66872905678 147.76 0.0072492 0.00078537 0.38125 -2596.27 5200.54 -0.000267845
1448.52635336 5.09401969016 0.0170594752469 8.88105411654 129.89 0.0073054 0.00081145 0.38751 -2551.79 5111.58 -0.000256025
1553.93517226 5.08569081072 0.0166207292713 9.2118600599 138.06 0.0074216 0.00080104 0.39167 -2772.58 5553.16 -0.000457803
1690.03301921 5.09982835445 0.0199591775538 8.75933480232 147.12 0.0076296 0.00093758 0.4255 -2311.65 4631.3 -0.000695014
1397.92045075 5.10186976875 0.0181094304619 9.42863000549 130.05 0.0084341 0.00087202 0.43978 -2364.83 4737.66 -9.79047e-05
1710.19047836 5.07745690418 0.016513185695 9.23611727465 150.08 0.0070501 0.00078181 0.38367 -2911.89 5831.78 -0.000131813
1611.44549298 5.0977991035 0.0184821390693 9.13241189489 140.41 0.0070821 0.00082544 0.37544 -2712.56 5433.12 -1.57023e-05
1554.95936079 5.09604063662 0.0180706809894 9.17918449684 136.48 0.0069435 0.00082516 0.39111 -2660.66 5329.32 -2.69025e-05
1701.4836496 5.08642650989 0.0177125992967 8.75303974101 147.09 0.0070505 0.00081959 0.38401 -2596.58 5201.16 -0.000145326
1912.49860748 5.09087274313 0.0188273871614 8.53328600894 156.63 0.0070963 0.00082349 0.3866 -2634.74 5277.48 -8.14426e-05
1646.25437357 5.09629720766 0.0192783595184 8.5652946182 141.74 0.0073144 0.00085884 0.38989 -2390.9 4789.8 -0.000773598
1850.29260889 5.08357825321 0.0180509278597 9.34306645847 161.11 0.0075548 0.00083939 0.40806 -2740.16 5488.32 -6.95388e-05
1517.0393752 5.08614705403 0.0182049177992 9.54766458949 146.77 0.0079102 0.00096874 0.43069 -2358.42 4724.84 -7.38715e-05
1532.25466759 5.08129252441 0.0174511415091 9.17794267538 145.05 0.0083813 0.00090118 0.43188 -2317.8 4643.6 -0.00161174
1336.64991329 5.08583555127 0.0166471945474 8.82027328331 125.81 0.007561 0.00079576 0.39266 -2390.82 4789.64 -3.23922e-07
1694.25124284 5.09120716963 0.0185191219217 8.79707000748 145.07 0.0070814 0.00083197 0.38643 -2568.66 5145.32 -9.60816e-06
1759.39345273 5.09417075504 0.0188954190193 8.62844971645 150.2 0.0073065 0.00084386 0.39932 -2506.9 5021.8 -6.73336e-05
1681.1449441 5.09324039423 0.0182157107028 8.6315615652 147.55 0.0075718 0.00084701 0.39917 -2422.03 4852.06 -0.000149378
1678.78249575 5.08063959993 0.0187818664228 8.07485651904 147.82 0.0068245 0.00084631 0.38195 -2240.72 4489.44 -0.000275589
1563.24371271 5.09034835916 0.0172533079095 8.56275246261 139.15 0.0071655 0.00077294 0.3738 -2598.27 5204.54 -2.60115e-05
1740.92980095 5.08493496432 0.0175358461324 8.63281010766 152.3 0.0070481 0.00081215 0.39262 -2591.8 5191.6 -0.000159421
1548.52018041 5.08804056656 0.0165988057666 8.27776487779 136.39 0.0077161 0.00074195 0.37322 -2552.93 5113.86 -2.99997e-05
1580.53603153 5.10393972702 0.0191846402042 8.05974542041 133.84 0.0066978 0.00081003 0.35829 -2443.45 4894.9 -7.82116e-06
1839.00789262 5.08405592421 0.0188798188255 9.00852168254 161.63 0.0077657 0.00090565 0.42378 -2432.26 4872.52 -2.34692e-05
1671.80833214 5.07711371433 0.0183881128962 9.3298463159 153.22 0.0079506 0.00091544 0.43817 -2328.87 4665.74 -2.72335e-06
1542.72210659 5.10290763181 0.0180845054456 8.9273941162 133.18 0.0071456 0.00077038 0.3804 -2654.4 5316.8 -0.000334588
1702.07108884 5.09737708534 0.0192771056361 9.05828164178 145.03 0.0069701 0.00084181 0.39376 -2615.57 5239.14 -0.000957876
1886.74805785 5.09722786164 0.0192179407456 9.06833905898 154.73 0.0067163 0.00083969 0.37549 -2870.14 5748.28 -3.08944e-05
1869.45291898 5.08980696793 0.0189783165835 8.73546730427 155.69 0.0072265 0.00086067 0.39339 -2587.9 5183.8 -0.000545388
1857.73850563 5.10551108636 0.0188219907835 9.30119594478 151 0.0070233 0.0008117 0.39287 -2989.62 5987.24 -1.46485e-05
1735.58601726 5.08163841917 0.0170392655341 9.20039171437 151.2 0.007526 0.00081093 0.401 -2767.56 5543.12 -0.000131604
1646.73218001 5.09297662276 0.0179801060044 9.5051119469 143.95 0.007355 0.0008274 0.40521 -2744.48 5496.96 -1.58157e-05
1570.87663244 5.08025330323 0.0160647727329 8.90585597436 142.57 0.0070153 0.00079511 0.38272 -2734.34 5476.68 -3.59106e-05
1633.29895662 5.08813485759 0.0175061051478 8.99957241732 143.67 0.0069603 0.00081282 0.38665 -2717.88 5443.76 -6.22434e-06
1794.97747313 5.08235714023 0.0190295204656 8.77084912704 154.92 0.0072703 0.00090891 0.4123 -2364.47 4736.94 -9.49285e-05
1552.94266308 5.07912210387 0.0162840600498 9.04152699113 141.8 0.007422 0.00079855 0.38273 -2680.17 5368.34 -0.000187843
1651.39342565 5.09395584173 0.0184088462592 8.97422148929 145.64 0.0074965 0.00084485 0.41053 -2479.9 4967.8 -9.20052e-06
1726.23631975 5.09180027978 0.0180890276191 8.4183706464 147.29 0.0068866 0.00077288 0.36911 -2672.21 5352.42 -0.000925924
1529.96634399 5.09206157986 0.0175289814092 8.81810338321 136.73 0.0075222 0.00081714 0.40016 -2480.94 4969.88 -0.000433893
1512.83167432 5.08414699067 0.0174965162261 8.96175625497 139.75 0.0076432 0.00086752 0.42154 -2340.51 4689.02 -0.000127272
1717.65156514 5.0841495362 0.0174687387603 8.16028669398 143.11 0.0068193 0.00075604 0.36462 -2544.21 5096.42 -8.3622e-06
1617.46481974 5.09626259875 0.0183925276523 9.17189812401 146.79 0.008191 0.00086369 0.41404 -2545.24 5098.48 -0.000139787
1444.27623124 5.08962964552 0.0176773687566 8.09797383474 134.61 0.0085078 0.000838 0.41968 -2061.66 4131.32 -7.2866e-05
1585.33996492 5.0886226647 0.0181139514502 8.71099506662 138.34 0.0070722 0.00083283 0.39678 -2444.83 4897.66 -0.000609947
1941.18819831 5.08558457292 0.0191051966605 8.59418985514 161.91 0.0069363 0.00084534 0.38858 -2597.47 5202.94 -1.50094e-06
1492.77727659 5.08956832112 0.0175085131296 9.05039867 136.93 0.0079498 0.00080578 0.40373 -2492.46 4992.92 -0.000140894
1768.54350649 5.07915192195 0.017094561916 8.60015664819 149.94 0.0069323 0.00077456 0.38238 -2682.15 5372.3 -9.36927e-05
1734.13846734 5.08447235717 0.0176549094525 9.06957742445 152.98 0.0069753 0.00080474 0.37712 -2785.66 5579.32 -2.25189e-06
1849.17005306 5.08315886812 0.0182124101293 9.45343488557 161.65 0.0074248 0.00085333 0.40267 -2764.57 5537.14 -1.01402e-05
1852.58908025 5.09546549135 0.0190878805613 7.54540239513 145.43 0.0060736 0.00075763 0.32598 -2574.15 5156.3 -0.00109791
1701.27400823 5.0866592214 0.0178258221548 8.516245685 143.67 0.0066456 0.00077381 0.35627 -2677.36 5362.72 -2.24228e-05
1634.89623047 5.07508832897 0.0173353962035 9.31548248316 150.15 0.0074755 0.00086483 0.41622 -2515.78 5039.56 -2.23208e-05
1371.54161724 5.08951272513 0.0162068500996 8.64371280559 126.62 0.0072127 0.00075744 0.36425 -2590.88 5189.76 -2.81761e-05
1482.66032891 5.10057910173 0.0173235988615 9.13587751816 134.06 0.0077363 0.00078286 0.3956 -2681.89 5371.78 -2.77423e-05
1775.6345737 5.09966751205 0.0185508737178 8.92124570646 146.34 0.0067496 0.00077853 0.36677 -2884.96 5777.92 -4.77768e-05
1803.87700586 5.08570937348 0.0178482517328 9.15130194104 156.1 0.0072172 0.00084054 0.39846 -2747.5 5503 -0.000236812
1710.93290362 5.09446502159 0.0193900398809 7.93441126174 144.37 0.0068775 0.00086715 0.37279 -2336.97 4681.94 -4.78321e-06
1866.0751825 5.09083995093 0.0185938855203 9.05109476127 153.22 0.0066973 0.00079883 0.36307 -2920.61 5849.22 -8.06956e-06
1659.53490216 5.07514534295 0.0168576925993 8.97091397988 148.09 0.0071239 0.00079619 0.39303 -2594.08 5196.16 -1.6408e-05
1645.46867237 5.10162181965 0.0183346605417 8.98931444197 138.09 0.0073035 0.00078957 0.38893 -2715.66 5439.32 -2.38815e-05
1665.23082155 5.08864427425 0.0174900547722 9.2618257674 152.72 0.0077104 0.00084017 0.40466 -2637.32 5282.64 -0.00179755
1941.18619178 5.08353572132 0.0186489664865 8.61408101719 161.89 0.0075134 0.00083591 0.40649 -2500.77 5009.54 -4.9212e-05
1944.04742571 5.09192192793 0.018522213071 8.58209058963 154.98 0.0064845 0.00077295 0.35732 -2922.53 5853.06 -0.000171855
1747.92346278 5.09385181058 0.018992367902 8.3062780171 150.22 0.0069372 0.0008311 0.37627 -2507.61 5023.22 -8.36295e-05
1569.4111065 5.08232589716 0.016547809431 8.19758969219 137.19 0.0067519 0.00072998 0.34419 -2673.27 5354.54 -5.23894e-05
1699.37723693 5.08786731219 0.0179142803223 8.568232734 144.31 0.006922 0.00080662 0.37845 -2579.71 5167.42 -0.000806148
1619.54734321 5.09341253527 0.0186176175464 8.80279409173 144.1 0.0072853 0.00084085 0.39731 -2509.8 5027.6 -8.2187e-06
1624.86552669 5.08902501496 0.0183228575448 9.08217771712 146.32 0.0077926 0.00085159 0.42011 -2421.47 4850.94 -5.24233e-05
1614.19341985 5.08962098464 0.0176610212819 8.52308703768 134.82 0.0065169 0.00073383 0.35392 -2769.79 5547.58 -1.26783e-05
1787.72153736 5.10459833169 0.0199689437123 9.37106622784 151.72 0.0076368 0.00087898 0.4165 -2622.81 5253.62 -8.52646e-05
1699.78160412 5.09054256026 0.0174286562317 8.96149522262 143.42 0.0070089 0.00075908 0.36774 -2896.11 5800.22 -6.79047e-06
1650.94777809 5.09476829749 0.0186429660798 9.26609037739 148.97 0.0080737 0.0009096 0.43571 -2430.5 4869 -0.000366029
1826.56638356 5.09758066091 0.0183002869264 8.29787727064 148.17 0.0066127 0.00076595 0.34506 -2835.75 5679.5 -7.55232e-05
1679.41029411 5.09015017386 0.0185584232244 8.52900493695 143.9 0.0073414 0.00084397 0.39001 -2413.56 4835.12 -6.40484e-05
1569.08656877 5.09528431258 0.0178121968081 8.93199588304 136.65 0.0068928 0.00077022 0.36228 -2782.29 5572.58 -0.000105972
1760.28067096 5.08879186333 0.0179866992232 8.5674663771 146.37 0.0067521 0.00077644 0.36503 -2704.02 5416.04 -3.352e-05
1565.00276509 5.08921957639 0.0174204288189 8.73474482645 137.13 0.007266 0.00077653 0.3848 -2553.94 5115.88 -2.54913e-05
1770.17456662 5.0917958202 0.0192950554871 8.41001365867 151.7 0.0071438 0.00088097 0.40136 -2324.65 4657.3 -0.000630614
1754.81148079 5.08731636004 0.0189685540577 9.02507892684 151.63 0.0071718 0.00086687 0.39728 -2538.94 5085.88 -0.000274332
1499.18218829 5.08435369575 0.017230699111 8.8072515484 138.7 0.0070216 0.00087155 0.39293 -2409.56 4827.12 -0.000271322
1652.07564899 5.09698270757 0.0183561474741 8.76181281843 143.38 0.0075584 0.00080074 0.39919 -2531.48 5070.96 -0.000137911
1752.89953092 5.10275984929 0.0185995154396 8.82401629265 143.2 0.0065905 0.00077854 0.36284 -2874.02 5756.04 -3.1328e-05
1433.1455635 5.09122556242 0.0171538096544 9.17547452341 133.4 0.0077977 0.00083257 0.41021 -2484.99 4977.98 -3.28788e-05
1505.52710634 5.09326573363 0.0175520282254 8.63796123822 135.42 0.0073581 0.00081366 0.39425 -2432.91 4873.82 -0.00100581
1708.67330155 5.0986183562 0.0183286910481 8.59306575438 141.57 0.0069581 0.00079374 0.3769 -2678.95 5365.9 -3.80111e-05
1681.61386357 5.08091801546 0.0172112787474 8.72309336984 151.17 0.0071072 0.00083965 0.38186 -2566.39 5140.78 -2.32492e-05
1765.70835715 5.08653731798 0.0179819688787 8.80917451513 150.81 0.0070458 0.00081772 0.39019 -2633.62 5275.24 -2.30975e-06
1747.21420693 5.08109586526 0.0176459224507 9.33114383022 154.98 0.0069464 0.00086062 0.40317 -2716.41 5440.82 -3.15684e-05
1684.64393635 5.10075145014 0.0190152269708 8.63908706965 141.08 0.0072545 0.00080213 0.38623 -2545.9 5099.8 -1.70097e-05
1596.22372278 5.06577007943 0.0158189978476 8.8652737128 145.41 0.0069695 0.00081442 0.38966 -2557.44 5122.88 -4.67788e-06
1619.64524454 5.08192279226 0.0178075037028 9.16956470493 146.48 0.0076134 0.00087458 0.42466 -2435.86 4879.72 -6.2815e-06
1631.84085658 5.09856478249 0.0174384254664 8.00353328176 137.34 0.0067489 0.00071207 0.34646 -2719.7 5447.4 -1.6247e-05
1831.62301099 5.08863173442 0.0178577861575 8.66320401919 150.66 0.0067658 0.00075267 0.36584 -2848.55 5705.1 -3.59151e-05
1879.16140622 5.09291665143 0.0192994727098 8.82335370685 152.78 0.0069037 0.00079758 0.38305 -2695.97 5399.94 -2.28811e-05
1837.00125273 5.06550925078 0.0171209023137 8.85084080397 160.98 0.007077 0.00084018 0.39544 -2591.97 5191.94 -0.000135342
1744.92708134 5.08017333498 0.0170925366196 8.14802388515 145.97 0.0064486 0.00072655 0.34313 -2723.66 5455.32 -0.00011999
1946.86521758 5.08671056873 0.0184034843227 9.56535976172 164.89 0.0075401 0.00087051 0.40998 -2857.74 5723.48 -0.000715039
1846.93268281 5.09059292399 0.0187084813391 8.71364227459 153.37 0.0069852 0.00082168 0.38748 -2577.38 5162.76 -0.000471783
1737.55996837 5.08525077334 0.0175717647313 9.45587901621 153.5 0.0079872 0.00081632 0.41764 -2726.91 5461.82 -8.12738e-06
1984.66556527 5.09821378793 0.0192614875653 8.93063661728 156.7 0.0063833 0.00078798 0.35796 -3068.3 6144.6 -6.26221e-05
1668.09312757 5.07893857334 0.0171769919701 8.58618927113 144.18 0.0066654 0.00078474 0.37349 -2624.24 5256.48 -0.000116643
