"D" "ssb0" "ssb1" "sigmass" "sigmatoa" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1489.48584726 162.257174414 2.52950093447 9.29709541587 0.00173644577606 116.62 1.0846 0.10327 0.36476 0.00011487 -972.628 1955.256 -1.6953e-05
1929.11260782 158.362886841 2.36047753705 9.26660174507 0.00199388428546 138.37 0.91432 0.09268 0.32168 0.00011581 -1199.63 2409.26 -9.93226e-06
1616.0152532 161.12381737 2.460544302 9.29727455956 0.00197943207381 121.62 0.94531 0.092929 0.32796 0.00011536 -1035.38 2080.76 -0.000118303
1594.02096664 160.974990979 2.4446357582 9.32590942989 0.00171651379777 119.85 0.93275 0.093321 0.33291 9.6585e-05 -1009.93 2029.86 -0.000491504
1655.01939171 160.015281058 2.3413980792 8.95494915371 0.00189398188799 124.3 0.96409 0.093094 0.32963 0.00011401 -1081.34 2172.68 -0.00206348
1864.8700662 160.687717163 2.49817302357 8.68636994712 0.00164698188421 134 0.9592 0.092965 0.3228 0.00010475 -1141.52 2293.04 -1.67171e-05
1555.16868425 161.11676788 2.48614906484 8.77368076284 0.00175260065349 119.83 0.99876 0.09585 0.33391 0.00011294 -962.09 1934.18 -1.51605e-05
1726.87067483 159.99325786 2.33486420611 9.46956552375 0.00177396444201 127.6 1.0188 0.092765 0.34764 0.00010832 -1201.29 2412.58 -4.72597e-05
1489.61423475 159.337436835 2.38266823108 9.95815753973 0.00190854795856 121.18 1.0796 0.10725 0.38443 0.00012397 -990.617 1991.234 -4.22342e-05
1573.32054365 158.828923225 2.34778440063 9.26851378794 0.00166508201116 125.7 1.0731 0.10311 0.36725 0.00011254 -1023 2056 -0.00111682
1495.66751919 158.707352976 2.33813899196 9.16056636849 0.00180667795724 118.66 0.96822 0.097063 0.34301 0.00011039 -923.734 1857.468 -4.5505e-05
1651.58568533 159.765257632 2.40262797767 9.1995594729 0.00183676884813 124.9 0.96269 0.094257 0.34277 0.00011246 -1037.59 2085.18 -5.87886e-06
1702.05950723 161.697576385 2.52662445027 8.69344116728 0.00184589598606 127.45 0.99256 0.097396 0.3316 0.00011139 -1059.14 2128.28 -4.57546e-05
1667.23802773 159.986520535 2.3920511702 9.10095648722 0.00170745949046 126.14 1.0314 0.097854 0.34971 0.00011061 -1064.27 2138.54 -7.28564e-06
1571.77519782 159.393930748 2.45346497119 8.6278536915 0.00190140008738 125.53 0.99435 0.099752 0.34086 0.00013254 -922.897 1855.794 -7.77608e-05
1657.73971923 159.465947242 2.35390248744 8.9142649046 0.00187842714716 124.57 0.92883 0.091727 0.3278 0.00011396 -1042.63 2095.26 -6.78939e-06
1726.97203856 159.142300774 2.31540794066 9.02219900347 0.0017479397818 127.33 0.95353 0.091606 0.33945 0.00011402 -1132.78 2275.56 -6.88312e-05
1615.4025898 158.400704176 2.20440492857 8.84375830638 0.00171505876168 122.42 0.96164 0.090409 0.33132 0.00010843 -1059.22 2128.44 -2.35763e-05
1643.04585062 161.353403126 2.61299842236 8.75419842076 0.00185107912887 125.2 0.96045 0.098638 0.32751 0.00011952 -936.807 1883.614 -6.70881e-05
1730.46655878 159.976477652 2.45144752115 9.0997517295 0.00185919011852 131.67 1.056 0.1005 0.36039 0.00012302 -1107.64 2225.28 -3.88475e-05
1547.04877409 158.543975314 2.33281908959 9.56164986424 0.00199354423525 124.34 1.0775 0.10136 0.38191 0.00013453 -1041.83 2093.66 -0.00198065
1593.53873274 161.553427789 2.44709447941 9.21940762079 0.00169893383251 118.61 0.94504 0.090123 0.32888 9.8686e-05 -1025.49 2060.98 -2.41063e-05
1680.85867422 161.379776672 2.55871238148 9.14486843512 0.0017582084233 125.33 0.94162 0.094286 0.33535 0.00010121 -1006.56 2023.12 -9.07851e-05
1796.78188898 161.75327637 2.52629892801 9.38815397542 0.00203213556538 129.83 0.96211 0.095367 0.32788 0.00011474 -1166.53 2343.06 -0.000322851
1782.23418908 159.961277347 2.43491191347 8.80417119653 0.00171721174502 131.6 0.95725 0.094073 0.32937 0.0001028 -1095.04 2200.08 -8.58273e-06
1953.98882654 162.44578006 2.59950724459 9.35523709627 0.00189607249346 135.48 0.93716 0.093051 0.32884 0.00010718 -1270.99 2551.98 -4.91502e-05
1821.41506097 159.661822192 2.35891642683 8.95987225304 0.00182060944098 132.2 0.94826 0.092442 0.32607 0.00010857 -1180.23 2370.46 -0.000409818
1737.03376569 161.17737552 2.49622725473 9.27980221951 0.00202953780448 127.86 0.96049 0.094593 0.3353 0.00011806 -1124.25 2258.5 -5.37269e-06
1704.5837652 159.155147364 2.26169437231 8.8199051105 0.00174459737212 124.94 0.91222 0.089784 0.31523 9.8079e-05 -1098.24 2206.48 -2.92084e-05
1715.23846298 159.98356163 2.40625770282 9.03418683975 0.00217469570685 127.44 0.91949 0.09294 0.32655 0.00013142 -1086.17 2182.34 -3.68931e-05
1656.61515235 159.963365168 2.4578962292 8.90683779739 0.00188994145334 128.17 1.0144 0.10056 0.3492 0.00011716 -1017.97 2045.94 -9.38985e-05
1648.03087967 158.876124193 2.25669222809 9.0889331594 0.00194943693965 123.47 0.9608 0.091654 0.32637 0.00011109 -1085.27 2180.54 -0.000610154
1714.70055679 161.385589389 2.54555535824 8.79034605472 0.00169118905546 127.43 0.97046 0.095916 0.33407 0.00010378 -1036.23 2082.46 -0.0024223
1786.00664329 160.023095175 2.4600858413 8.87658460306 0.00190387844379 131.68 0.92747 0.092733 0.32327 0.00011893 -1080.55 2171.1 -2.03956e-05
1584.47148971 160.08354223 2.36436035924 8.9008174616 0.00195048178719 120.95 0.97345 0.094277 0.33461 0.0001223 -1035.28 2080.56 -0.00115226
1489.85274841 159.403594636 2.30967479409 9.15350039659 0.00179724036209 118.34 1.0345 0.098865 0.3623 0.00011505 -990.385 1990.77 -7.99512e-06
1732.08023761 159.146637607 2.33995215249 8.48481393452 0.00188522724653 128.24 0.92542 0.090501 0.31733 0.00011254 -1061.71 2133.42 -3.74066e-06
1631.82188233 161.331115405 2.47896823114 9.22111069738 0.00180485820733 124.33 1.0364 0.098569 0.34488 0.00011182 -1066.71 2143.42 -6.51643e-05
1440.81837236 159.327030602 2.32621998149 8.6445292656 0.00177161441073 118.42 1.1089 0.10302 0.3649 0.00012364 -914.211 1838.422 -8.53314e-06
1661.70462741 159.389266745 2.4591368581 8.99474800117 0.00190567204794 127.26 0.95605 0.097124 0.33862 0.00011756 -1001.12 2012.24 -4.31894e-06
1872.1640934 159.918604989 2.5105257016 8.72728474743 0.00199003092338 137.4 0.9495 0.095232 0.33076 0.00012948 -1124.79 2259.58 -0.00078442
1516.85228269 159.817238017 2.34293100179 9.32349628818 0.00197443465466 119.23 1.0205 0.094996 0.34994 0.00012654 -1022.47 2054.94 -1.90255e-05
1838.88238491 158.284517783 2.31113110587 8.75766397973 0.00179299622927 133.11 0.90472 0.088781 0.32059 0.00011176 -1140.08 2290.16 -4.44618e-05
1777.52276844 159.505049014 2.38715414834 9.08694897396 0.00186208533592 130.16 0.9046 0.089171 0.3206 0.00010628 -1117.36 2244.72 -2.28838e-05
1816.69199562 159.592501338 2.39694519782 9.26132448248 0.00194707231449 133.43 0.96718 0.091884 0.33655 0.00012355 -1185.25 2380.5 -2.37622e-06
1827.62525701 160.316747025 2.51355190263 8.14816415003 0.0020588445282 133.01 0.86486 0.090437 0.29649 0.00012787 -1022.45 2054.9 -2.72646e-06
1753.69094545 160.115906961 2.43910653899 8.34363904301 0.00200666725458 128.11 0.87507 0.087096 0.29925 0.00011994 -1023.61 2057.22 -9.55598e-05
1603.77084872 158.591737087 2.28743923613 9.18558168552 0.00186452537299 123.93 0.98086 0.094507 0.35133 0.00011825 -1063.02 2136.04 -1.60871e-05
1550.78156665 159.879937515 2.31777367041 8.60197870398 0.00203971167179 118.47 0.90965 0.090191 0.30876 0.00011812 -968.824 1947.648 -6.71397e-05
1646.89953945 160.963876397 2.42705088498 9.21421655623 0.00188491610098 122.34 0.94859 0.092733 0.33507 0.00011395 -1080.09 2170.18 -2.31432e-05
1925.44578333 160.958510572 2.57649838334 9.07781796276 0.00192411497846 136.26 0.88064 0.091246 0.31452 0.00011098 -1144.34 2298.68 -5.69538e-06
1797.51491257 159.540949846 2.36876770181 9.35530583283 0.00180997616339 133.67 0.97268 0.095555 0.34269 0.00011154 -1179.59 2369.18 -0.000426932
1587.1361487 160.785665527 2.47950162645 8.37923021628 0.00181388018494 121.87 0.9709 0.096071 0.32511 0.00011384 -933.68 1877.36 -0.00084958
1852.16511589 160.487759907 2.47473423209 9.13879689686 0.00191282318318 132.16 0.90618 0.090018 0.31161 0.00010804 -1123.83 2257.66 -7.62819e-06
1621.67293821 158.172712372 2.21743235604 9.28001362424 0.00176011482611 123.59 0.97153 0.091375 0.34411 0.00010433 -1085.8 2181.6 -6.26891e-05
1694.169001 161.119442582 2.46383499826 9.39480817335 0.00192410333222 125.83 0.97989 0.095922 0.34 0.0001127 -1121.08 2252.16 -3.25981e-06
1729.48016368 160.055186944 2.38769153769 9.38633593566 0.00198994013489 130.07 0.99567 0.097555 0.34852 0.00011947 -1150.59 2311.18 -7.61806e-05
1833.77926264 160.242529005 2.45253683216 8.66173691859 0.00199290030589 134.75 1.0289 0.095423 0.34076 0.00013425 -1158.98 2327.96 -0.00285631
1962.43238271 160.289291784 2.48368468505 8.84268849307 0.00178942213269 137.24 0.88877 0.088222 0.30974 0.0001057 -1188.45 2386.9 -0.00120677
1659.47882959 159.770582939 2.42376906694 9.17375279311 0.00173007611015 125.59 0.97879 0.095374 0.34252 0.00010924 -1032.46 2074.92 -1.74259e-05
1624.00611939 158.690544224 2.23443120361 8.40108070448 0.00184130119485 120.92 0.87105 0.084251 0.29568 0.00010366 -1000.71 2011.42 -2.05147e-05
1700.68192915 159.833318977 2.38485661097 8.64973717095 0.00195936337155 126.22 0.93159 0.090399 0.3228 0.00012109 -1056.9 2123.8 -8.69158e-05
1552.10134497 160.866527765 2.44119150343 9.21890897214 0.00177618002528 119.83 1.0079 0.095955 0.34422 0.00010927 -1000.44 2010.88 -4.17653e-05
1618.52914624 160.303396739 2.44970594384 9.21076828712 0.00183483928606 126.07 1.0326 0.099846 0.35898 0.00012059 -1057.68 2125.36 -0.00130471
1651.04460899 160.812003891 2.43318424735 8.56710444267 0.00203912204899 121.33 0.88661 0.086516 0.30102 0.00011432 -1007.1 2024.2 -9.23997e-05
1790.09294571 162.075881257 2.66596478296 9.69872539314 0.00189144407914 132.89 1.0343 0.10338 0.36232 0.00011683 -1129.82 2269.64 -0.00128401
1789.38369756 159.894960789 2.38506363329 9.2394366321 0.00182247487657 129.73 0.9257 0.090531 0.31705 0.00010383 -1145.62 2301.24 -2.3927e-06
1563.03686716 161.647443876 2.44052738378 9.31071194121 0.00188137231349 121.06 1.0953 0.10066 0.36915 0.00012926 -1097.07 2204.14 -0.000136357
1800.25307537 161.305742278 2.44496266795 8.78610649838 0.00190867013861 128.71 0.93047 0.090864 0.30617 0.00010771 -1129.7 2269.4 -6.26137e-05
