"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1821.99326706 0.99999999244 8.83616711804 197.98 7.5607e-06 0.47928 -958.394 1922.788 -6.03086e-05
1333.05223101 0.999999991179 9.51765136901 169.32 8.8203e-06 0.60948 -799.568 1605.136 -0.000327065
1514.74973938 0.999999991666 8.91229836066 180.41 8.3388e-06 0.53033 -793.024 1592.048 -0.00519006
1247.18944238 0.999999993264 10.5664924839 162.85 6.7356e-06 0.70747 -899.977 1805.954 -0.00012394
1804.32118655 0.999999992576 8.76759113335 193.62 7.4246e-06 0.46523 -942.249 1890.498 -3.84847e-05
1560.11506767 0.999999991777 9.30203100063 186.82 8.2257e-06 0.56418 -886.463 1778.926 -2.22703e-05
1368.10055326 0.999999990909 9.21994251898 170.53 9.0904e-06 0.57544 -778.419 1562.838 -0.000468005
1441.376467 0.999999992927 9.74973274344 173.55 7.0736e-06 0.59077 -909.89 1825.78 -0.000199586
1514.71970964 0.999999991441 8.98340519885 179.71 8.5612e-06 0.53213 -854.2 1714.4 -0.00726574
1054.66993546 0.99999999123 10.9542126179 156.23 8.7693e-06 0.84971 -792.878 1591.756 -3.4586e-05
1298.96280746 0.999999991239 9.63917755669 172.04 8.7614e-06 0.6516 -787.573 1581.146 -1.04173e-05
1151.55735892 0.999999991782 9.67058492822 153.61 8.2181e-06 0.64578 -716.648 1439.296 -0.000383722
1180.93527721 0.999999992986 10.6763142994 158.78 7.0137e-06 0.73837 -867.06 1740.12 -0.000374243
1132.76044098 0.999999994118 10.5321458093 152.59 5.8821e-06 0.72303 -828.889 1663.778 -0.000531656
1093.5933505 0.999999990764 10.892075651 155.64 9.2362e-06 0.80583 -832.739 1671.478 -2.23967e-05
1503.22589111 0.999999991683 9.304706859 184.05 8.3175e-06 0.57787 -853.839 1713.678 -3.47282e-06
1436.86353045 0.999999993476 9.81393662092 175.12 6.5291e-06 0.60495 -909.141 1824.282 -0.000665022
1423.18839914 0.999999991592 9.54121378449 175.41 8.4082e-06 0.59367 -850.166 1706.332 -0.000444662
1317.80594475 0.999999992752 9.55721510427 165.87 7.2473e-06 0.60329 -787.008 1580.016 -0.000130783
1471.68136091 0.9999999886 9.44623969529 184.62 1.1399e-05 0.60515 -874.403 1754.806 -1.5674e-05
1302.86250501 0.99999999162 9.49229380769 165.3 8.3838e-06 0.60392 -782.371 1570.742 -3.05802e-05
1422.47585304 0.999999991266 9.40030309072 177.13 8.7337e-06 0.59203 -861.289 1728.578 -0.000243522
1586.6558821 0.99999999105 9.03111899724 192.4 8.9486e-06 0.5575 -850.087 1706.174 -0.00182352
1341.22729595 0.999999992579 9.68436986884 168.46 7.4213e-06 0.61293 -844.892 1695.784 -3.71525e-06
1567.57659906 0.999999991137 9.1866302051 188.03 8.8607e-06 0.55825 -866.042 1738.084 -9.23596e-05
1442.22333952 0.999999990846 9.32341330994 176 9.1536e-06 0.57183 -834.488 1674.976 -0.000155226
1325.83453644 0.999999991725 9.54837625369 171.88 8.2746e-06 0.6285 -776.467 1558.934 -0.00359238
1539.7069873 0.999999991272 9.44211258892 182.62 8.7281e-06 0.56477 -910.473 1826.946 -6.81e-06
