"D" "g0" "sigma" "z" "sigmatoa" "se.D" "se.g0" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1776.08516209 0.959094825465 11.4506026194 5.96222387833 0.00185065462954 141.4 0.019262 0.34372 0.53742 0.00011053 788.423 -1566.846 -5.81505e-05
1692.55436306 0.985268855205 11.2323187981 5.33282333725 0.00168342961238 138.32 0.012646 0.30094 0.40561 0.00010092 686.627 -1363.254 -2.14981e-05
1528.95245605 0.928078064083 11.3776727143 5.25963256262 0.00170218181772 135.69 0.025636 0.39857 0.46857 0.00011144 577.985 -1145.97 -2.34066e-05
1490.50386542 0.887384845214 12.6835501509 7.12310786218 0.00182530391357 122.98 0.025062 0.3912 0.71962 0.0001181 599.455 -1188.91 -9.32664e-05
1568.8263755 0.865805361782 12.767721748 6.79702917671 0.00170798085675 131.98 0.031366 0.55847 0.97709 0.00010611 624.217 -1238.434 -7.0387e-06
1692.05677105 0.97476549627 11.2163993223 5.37767708642 0.00183770128559 141.66 0.022129 0.39066 0.49576 0.00011157 661.967 -1313.934 -6.8561e-05
1784.90961354 0.950903950412 11.419568961 6.07308194111 0.0020516625121 142.11 0.024322 0.4273 0.60862 0.00013607 631.195 -1252.39 -9.51452e-05
1602.69397952 0.952568739384 11.2486582569 5.0165585051 0.00165439666411 137.42 0.022837 0.45026 0.42541 0.00010959 550.618 -1091.236 -1.1594e-05
1524.80072858 0.973010883312 11.2500077021 5.79385145738 0.00176431735888 132.51 0.016952 0.3664 0.51145 0.00012423 504.395 -998.79 -5.7772e-05
1507.50535362 0.971493419927 10.8502110066 5.27847174225 0.00200240018455 135.3 0.029138 0.57296 0.65117 0.00014309 511.234 -1012.468 -3.4875e-06
1659.73710256 0.967829655484 11.0243888201 5.22242846983 0.00196651396833 138.12 0.017254 0.32659 0.39166 0.00012298 644.912 -1279.824 -3.59019e-05
1706.50007187 0.941506714985 10.9341079873 5.80973573111 0.00199580570404 139.14 0.021389 0.34336 0.49077 0.00013016 722.514 -1435.028 -8.79118e-05
1721.38940803 0.948062959601 11.5226961495 5.98831692524 0.00199157094705 139.9 0.022798 0.41106 0.59055 0.00012461 629.521 -1249.042 -3.47813e-05
1891.42233406 0.962250108191 10.5369527653 5.03606809614 0.00196205491854 153.56 0.022284 0.41092 0.4211 0.00013201 617.871 -1225.742 -2.56987e-05
1684.87302133 0.964766729346 10.71558536 5.65977417413 0.00203758444006 141.9 0.023234 0.4154 0.52598 0.00013878 605.135 -1200.27 -6.61808e-06
1874.33981429 0.927944035121 11.289314994 6.04696867529 0.00177436421112 142.8 0.019537 0.30365 0.48502 0.0001001 867.044 -1724.088 -2.962e-05
1804.96182853 0.949666011832 11.6702958023 5.93222227843 0.00172397955911 137.64 0.017326 0.31214 0.44676 9.6189e-05 929.127 -1848.254 -2.42893e-06
1934.34061162 0.923412319169 11.3911499083 5.75856338174 0.00191246073422 148.99 0.022955 0.39877 0.47574 0.0001166 684.396 -1358.792 -8.2455e-05
1524.8880177 0.946026593258 12.1267896389 6.38577747944 0.00173699748474 125.51 0.019872 0.37899 0.59389 0.00010538 690.357 -1370.714 -4.66172e-05
1725.2919961 0.954152912796 10.7213529935 5.54989836281 0.00179274907697 144.13 0.021014 0.37262 0.48917 0.00011541 601.634 -1193.268 -4.33221e-05
1651.54377743 0.946132174453 12.1636848509 6.06466954827 0.00177979204707 130.11 0.018849 0.33691 0.5349 0.00010269 906.926 -1803.852 -6.20584e-06
1899.07937109 0.942642899488 11.4302675623 5.94578703434 0.00177489437037 143.99 0.019586 0.32438 0.45912 0.00011183 694.895 -1379.79 -8.39409e-05
1844.84392812 0.944133469453 11.3363968938 6.01517232923 0.00190192433469 146.5 0.020298 0.3139 0.52116 0.00011607 687.422 -1364.844 -1.85577e-05
1533.19309875 0.972686051936 11.0593446126 5.38733706084 0.00193068935284 132.17 0.022584 0.45301 0.52427 0.00012002 647.412 -1284.824 -1.28664e-05
