"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
2089.14267987 159.306668216 -2.49914157712 8.65627787437 -2799.86 5607.72 -7.06839e-05
1542.89929099 161.192182179 -2.4172139692 9.10262564021 -2438.2 4884.4 -6.47486e-06
1764.16568907 159.393941519 -2.28828004982 8.74453434347 -2932.38 5872.76 -1.52202e-07
1929.10573839 159.772697573 -2.39081493742 8.48478705942 -3046.43 6100.86 -1.35887e-05
2116.79351922 158.030125836 -2.36125799254 8.50285074012 -2935.72 5879.44 -1.78358e-05
1545.08479108 159.322202966 -2.27791368887 9.05336203342 -2511.83 5031.66 -1.09061e-05
1734.08799295 163.003358634 -2.71018517311 9.68096575935 -2530.14 5068.28 -3.9126e-05
1811.63061534 160.820851292 -2.42185920524 8.46938742938 -2927.13 5862.26 -5.97681e-05
1952.17011528 160.700252984 -2.4596412926 8.75200406708 -2913.03 5834.06 -3.62921e-05
1949.65286106 160.417525737 -2.52383225039 8.89017387036 -2768.17 5544.34 -4.41357e-05
1618.24193089 160.847444703 -2.49998744153 9.19700368991 -2467.09 4942.18 -3.79802e-05
1773.93141679 160.283881008 -2.33573271831 8.36379718417 -2867.26 5742.52 -0.000164535
1633.71567384 160.474894612 -2.38700627588 9.01134102234 -2681.04 5370.08 -0.001322
1556.35627261 161.196771516 -2.40007841761 9.05168372308 -2554.78 5117.56 -0.000124819
1548.12302807 159.176991987 -2.27909757221 9.06567857918 -2479.11 4966.22 -1.17221e-05
1337.54503322 162.109932339 -2.42608234257 9.32134907088 -2314.75 4637.5 -3.26108e-06
1616.32029074 160.052162902 -2.28130506904 9.07400835478 -2834.6 5677.2 -1.29617e-05
1597.11849869 159.465323149 -2.28921239143 8.33713712965 -2741.7 5491.4 -2.94192e-05
1548.14998735 160.261812607 -2.31398084924 9.49545645978 -2691.04 5390.08 -9.84468e-06
1847.55840848 159.364924871 -2.38059234034 7.99805154773 -2624.97 5257.94 -1.83721e-05
1788.03325516 160.44531724 -2.3578243354 8.61719277476 -2891.88 5791.76 -1.36133e-05
1843.84109575 158.948620892 -2.41382710789 8.91793759771 -2677.61 5363.22 -1.77998e-05
1560.94323551 161.218347604 -2.41361546422 8.90521357056 -2536.75 5081.5 -7.68034e-05
1863.4823266 160.068449029 -2.51883342523 9.69421386439 -2704.15 5416.3 -2.06774e-06
1664.65297606 160.968389952 -2.56133164836 9.30219958284 -2494.61 4997.22 -5.71899e-06
1744.98022329 161.908263931 -2.56884002823 9.01612176935 -2716.33 5440.66 -7.59858e-05
1730.76821794 160.224806196 -2.38475705966 9.21454550705 -2640.3 5288.6 -1.00348e-06
1608.49609513 160.993976602 -2.34879541332 8.14855070184 -2649.84 5307.68 -1.16763e-05
1741.70172567 160.034487024 -2.33690932469 8.80210890755 -2661.63 5331.26 -8.62538e-06
1666.88374786 160.38755257 -2.39511549334 9.06296195072 -2593.11 5194.22 -6.7729e-05
1672.0644408 159.65698156 -2.43530824686 9.31038068847 -2442.21 4892.42 -0.00169608
1817.85435866 160.511124526 -2.42692269688 9.54932944931 -2873.81 5755.62 -0.0023381
1810.96476082 160.383090136 -2.37813995722 8.7069788186 -2928.01 5864.02 -2.28516e-06
1657.61437967 161.61164402 -2.44435536947 9.35940647829 -2611.72 5231.44 -0.00198428
1492.37985843 160.154048545 -2.33621724434 8.96664410396 -2435.02 4878.04 -9.93005e-06
1501.82604078 160.617774279 -2.25778300906 9.21994084825 -2719.41 5446.82 -3.87071e-05
