"D" "g0" "sigma" "sigmatoa" "logLik" "AIC" "maxgrad"
1550.03647345 0.999999995562 9.15841521032 0.00199894126252 823.401 -1638.802 -7.44884e-06
1262.57335602 0.999999991328 9.18286370742 0.00182561950557 419.818 -831.636 -8.75498e-05
1446.42614987 0.999999994347 9.44985042723 0.00179133636813 750.137 -1492.274 -1.95402e-06
1097.85225375 0.999999993412 9.70673478658 0.00160753614864 564.802 -1121.604 -0.000303818
1203.434739 0.999999989786 9.56228272497 0.00156070503188 417.906 -827.812 -0.00139571
1344.49971077 0.999999994504 9.49474800271 0.00188385749222 657.987 -1307.974 -0.00162895
1436.45642524 0.999999993273 9.32167344841 0.00180683004669 636.712 -1265.424 -3.80498e-05
1495.35383593 0.999999993862 8.90974463044 0.00191825264007 606.726 -1205.452 -3.32922e-05
1407.0952171 0.999999994563 9.50967098747 0.00180185841803 793.186 -1578.372 -9.5732e-05
1500.37123591 0.999999994091 9.05857468366 0.00186285303849 558.116 -1108.232 -2.15719e-05
1478.66573904 0.999999993854 9.30324426041 0.00170443186787 604.498 -1200.996 -1.53988e-05
1279.8986637 0.999999992527 9.7239268667 0.00182819184791 684.959 -1361.918 -8.62453e-05
1431.34148195 0.999999994288 9.53261157863 0.00178817735619 720.82 -1433.64 -9.08362e-05
1468.93022361 0.999999993501 8.66012973657 0.0020075536844 518.975 -1029.95 -0.00267595
1232.865763 0.999999992935 9.56392548132 0.00166072284258 576.467 -1144.934 -1.27644e-05
1654.94418331 0.999999993941 9.06509971363 0.00196303260314 720.801 -1433.602 -4.61697e-05
1305.66527239 0.999999995115 9.68688787208 0.00198170615473 779.702 -1551.404 -2.91623e-05
1312.92837112 0.999999994746 9.60394053482 0.00170528312027 764.846 -1521.692 -3.25833e-06
1422.29255896 0.999999994123 9.44915471568 0.00187867276735 626.239 -1244.478 -1.47489e-06
1655.45420126 0.999999994267 8.84703556392 0.00161714995284 563.06 -1118.12 -0.000196938
1347.27005978 0.999999993954 9.1233581921 0.00173735936748 599.079 -1190.158 -0.000255956
1520.45134134 0.999999994188 9.4233068093 0.00174415815124 599.231 -1190.462 -0.000152128
1259.93817029 0.999999993058 9.41416001906 0.00184707052431 587.977 -1167.954 -3.18164e-05
1425.65260491 0.999999992027 8.91969634941 0.0016447103679 488.322 -968.644 -6.39228e-06
1290.32589593 0.999999993773 9.17329853264 0.0017911124528 667.181 -1326.362 -8.46232e-05
1351.01259455 0.999999993153 9.49272814999 0.00176083126968 668.535 -1329.07 -6.81564e-05
1395.06477327 0.999999992773 9.41187053412 0.00184495024813 565.789 -1123.578 -0.000498974
1464.65825198 0.999999993579 9.16631519502 0.00164928214419 519.18 -1030.36 -4.20446e-06
1329.88127657 0.999999993828 8.9550123766 0.00187390798989 554.802 -1101.604 -0.00379517
1361.52143632 0.999999993731 9.52410228308 0.00185428324362 675.977 -1343.954 -8.51033e-05
1422.2476494 0.999999993415 9.59246248147 0.00173158334338 559.44 -1110.88 -0.00144127
1425.68898912 0.999999993622 9.41174994772 0.00166583036809 619.646 -1231.292 -2.30483e-05
1420.820663 0.999999994344 8.78522945952 0.00178986887533 692.057 -1376.114 -0.000363811
1477.89244644 0.999999992624 9.1170811263 0.00182931228498 471.07 -934.14 -0.000304786
1333.37320199 0.999999990833 9.23257306107 0.00197357069021 487.447 -966.894 -0.000410691
1363.92260727 0.999999994743 9.48922395329 0.00167739728774 734.061 -1460.122 -0.00317517
1269.56153182 0.999999994018 9.770675163 0.00171909517732 726.999 -1445.998 -0.00331701
1475.88173831 0.99999999492 9.52256814739 0.00200979384801 741.17 -1474.34 -0.00102623
1502.16401705 0.999999993792 9.19280960553 0.00170508631658 590.422 -1172.844 -0.000716951
1662.76045884 0.999999994707 9.22997385381 0.00188689062708 700.288 -1392.576 -6.594e-06
1503.32622121 0.999999992942 9.53216653479 0.00178657772465 614.47 -1220.94 -3.19552e-06
1409.72515979 0.9999999941 9.54725275446 0.00199385382649 684.386 -1360.772 -0.000230892
1467.19844032 0.999999994243 9.50978280427 0.00173979051721 696.429 -1384.858 -9.27176e-06
1342.42226323 0.999999994266 9.75377208827 0.002121819348 720.367 -1432.734 -0.000658366
1487.42750202 0.999999994118 8.79248024176 0.00188424422176 535.796 -1063.592 -0.00113297
1350.92733011 0.999999993161 9.79119600685 0.00193801470427 683.131 -1358.262 -0.000133855
1385.8229696 0.99999999296 9.37497116685 0.00168341813822 566.878 -1125.756 -0.0010811
1558.74351242 0.999999992963 8.94539100814 0.00183563220735 683.729 -1359.458 -5.55032e-05
1328.73661134 0.999999993051 9.51046425459 0.00200111896498 579.28 -1150.56 -3.93455e-05
1255.74576895 0.999999992413 9.5681879506 0.0017903311389 542.613 -1077.226 -4.17411e-05
1417.25083974 0.999999993726 9.44504488244 0.00187318284772 599.44 -1190.88 -9.89185e-06
1418.33032798 0.999999994058 9.24622675881 0.00180993591781 603.985 -1199.97 -0.00112272
1254.75575335 0.999999992113 9.21702820141 0.00175480601716 422.046 -836.092 -3.69245e-05
1492.09375096 0.999999993963 8.67754357388 0.00191771590274 603.062 -1198.124 -3.74089e-05
1586.97576807 0.999999993241 8.89468854072 0.00191476633993 561.859 -1115.718 -0.000279759
1324.11030973 0.999999992873 9.37547945803 0.00189881417811 615.555 -1223.11 -0.000115558
1567.66341795 0.999999993204 9.16396736651 0.00177439773985 600.554 -1193.108 -0.000851474
1527.0691071 0.999999995029 9.19480848349 0.00186156959292 726.756 -1445.512 -9.89035e-05
1572.40620907 0.999999994033 9.16974051118 0.00184676391957 623.794 -1239.588 -1.73157e-05
1491.91598283 0.999999994878 9.08932959632 0.00201398533961 673.547 -1339.094 -7.62456e-05
1461.10554494 0.999999994965 9.2035940119 0.00193688189376 729.627 -1451.254 -6.0832e-05
1333.41500574 0.999999993344 9.54153929235 0.00181959098899 588.724 -1169.448 -2.94502e-05
1299.78439367 0.999999995005 9.58377903455 0.00200093199787 750.413 -1492.826 -2.16312e-05
1378.248336 0.999999994807 9.55386873382 0.00183132892184 702.068 -1396.136 -4.06226e-05
1695.64552266 0.999999995062 8.76286235625 0.00190999387972 771.946 -1535.892 -0.000370183
1587.01317274 0.99999999392 9.16343561471 0.00174960554933 636.98 -1265.96 -0.000484925
1318.13236106 0.999999994122 9.243456748 0.00181589676629 600.083 -1192.166 -6.07461e-05
1511.14093484 0.999999994475 9.41253481011 0.00186667141189 806.282 -1604.564 -3.01088e-06
1381.71764737 0.999999993852 9.58854160463 0.00174651481055 632.179 -1256.358 -4.73066e-05
1439.18927781 0.999999994191 9.40683520105 0.00188929024647 685.75 -1363.5 -6.85525e-05
1550.26228138 0.999999994301 9.13494363112 0.00193271862958 597.273 -1186.546 -5.45402e-05
1620.06927765 0.999999992551 8.91865613447 0.00191569376473 444.606 -881.212 -0.000135092
1657.09708261 0.999999994925 9.10073468713 0.00174453512747 734.006 -1460.012 -8.07827e-05
1361.94461745 0.999999993935 9.39708827617 0.00169781395054 629.382 -1250.764 -0.000310366
1397.76635515 0.999999994672 9.42555421869 0.00183263290099 752.017 -1496.034 -5.81128e-06
1428.7451299 0.999999994261 9.32747923164 0.00189274346751 629.852 -1251.704 -0.00022729
1265.52101482 0.999999994312 9.63094214952 0.00174477542414 660.752 -1313.504 -0.00337961
1413.5699181 0.999999993284 9.09128371678 0.00182724904652 528.282 -1048.564 -2.40145e-05
1266.567997 0.999999994947 9.88852842719 0.00198541887375 821.591 -1635.182 -7.34604e-05
1523.24963546 0.999999994268 9.00005042718 0.00185591079727 611.707 -1215.414 -9.93282e-05
1571.23056571 0.99999999508 9.19613131203 0.00178200301182 773.498 -1538.996 -0.000240809
1407.02183872 0.999999993035 9.2658511704 0.0018705934135 489.582 -971.164 -7.71797e-05
1439.46232748 0.999999995164 9.75739749294 0.00184414700732 745.863 -1483.726 -0.000829491
1459.02014834 0.999999994027 8.92005896357 0.00192278751254 564.883 -1121.766 -0.00038006
1295.49182287 0.999999995438 9.78312092215 0.00192361059859 850.283 -1692.566 -1.41064e-05
1481.03117448 0.999999994718 9.31774824103 0.00192548375577 680.918 -1353.836 -2.76527e-06
1238.10002089 0.999999994011 9.99570207226 0.00171995422904 662.068 -1316.136 -1.44051e-05
1504.80541933 0.999999993236 8.7552509067 0.00178301968745 493.351 -978.702 -7.60772e-05
1417.75961174 0.99999999329 9.14978853677 0.00173491495614 644.753 -1281.506 -1.07284e-05
1301.63740439 0.999999994256 9.41895420736 0.00167571365117 641.669 -1275.338 -4.29729e-06
1458.50519265 0.999999993779 9.16540190736 0.0017497786331 576.577 -1145.154 -0.000197175
1435.90858007 0.999999994759 9.65554456571 0.00176302813459 811.638 -1615.276 -0.000681881
1315.08875348 0.999999994124 9.43973694758 0.0018657557832 633.125 -1258.25 -5.35246e-05
1327.49556451 0.999999992373 9.41298199854 0.00184369843281 580.794 -1153.588 -7.30085e-05
1334.48688644 0.999999994006 9.88691632076 0.00191124819859 669.022 -1330.044 -2.03091e-05
1452.20610355 0.999999993871 9.33278796632 0.00190892547325 605.832 -1203.664 -9.64025e-05
1576.1903363 0.999999993905 8.97675525544 0.00189750627433 597.075 -1186.15 -0.000100501
1424.37300861 0.999999994183 9.58397152703 0.0016932314939 678.524 -1349.048 -3.07657e-05
1499.88969833 0.999999994594 8.91750500706 0.0018502325061 637.189 -1266.378 -0.00259154
1371.99476208 0.999999993818 9.62876595123 0.00186634169785 607.836 -1207.672 -4.85414e-06
1413.28376179 0.999999992739 9.11735898215 0.00178834763664 525.364 -1042.728 -9.34686e-05
1415.004745 0.999999995034 9.59775484143 0.00168608530471 744.564 -1481.128 -4.52441e-06
1576.53626631 0.999999994349 9.26613869285 0.00187470087787 717.14 -1426.28 -1.62296e-05
1468.76292308 0.999999994344 9.31707719178 0.00160484647238 667.941 -1327.882 -1.17649e-05
1425.62109354 0.999999990847 9.50774464323 0.00213785845138 517.786 -1027.572 -3.04828e-05
1446.31899866 0.99999999464 9.47385145006 0.00187320405853 712.968 -1417.936 -0.000442811
1664.05767451 0.999999993592 9.1836676147 0.00180181655707 610.447 -1212.894 -2.22694e-05
1517.9494807 0.999999994211 9.20478924942 0.00197075767927 550.971 -1093.942 -6.45354e-05
1616.88751455 0.999999993029 9.03966866125 0.00169311132336 573.834 -1139.668 -4.30423e-05
1595.70298156 0.999999995702 9.35176225781 0.00188191697226 844.604 -1681.208 -1.08482e-05
1343.31224195 0.999999994372 9.65053124051 0.00196568748501 691.334 -1374.668 -2.68746e-05
1299.91181589 0.999999994687 9.45268669058 0.00155910732103 730.622 -1453.244 -0.000217327
1618.94892529 0.999999993108 9.01077753433 0.00168099675846 541.579 -1075.158 -2.88804e-05
1244.92690028 0.999999992682 9.75168887312 0.00152597026681 607.807 -1207.614 -3.94664e-05
1626.19285137 0.99999999434 9.05229649967 0.00180921149173 611.339 -1214.678 -0.00171077
1446.22386996 0.999999992527 8.64046604319 0.00209602367129 419.702 -831.404 -0.000510047
1326.44691134 0.9999999936 9.77311685595 0.00180572357067 644.226 -1280.452 -0.000433138
1375.85185381 0.999999993639 9.6371870097 0.00178303523612 635.525 -1263.05 -0.000577347
1523.33818319 0.999999994435 9.20826564252 0.00169254263382 601.168 -1194.336 -0.0040754
1506.38640487 0.999999991795 9.01323482339 0.00182581220143 417.296 -826.592 -3.67201e-06
1343.06791105 0.999999993555 9.57642163034 0.0018990908679 654.406 -1300.812 -0.00125372
1534.24708911 0.99999999419 9.0077698612 0.00198560874409 628.694 -1249.388 -0.00105949
1566.60359897 0.999999993467 9.21235935886 0.00180449237774 644.342 -1280.684 -3.54853e-05
1652.398814 0.999999993871 9.15881130266 0.0018127427448 628.271 -1248.542 -9.21234e-06
1622.70030627 0.999999994752 9.04212049587 0.00187701689192 660.404 -1312.808 -1.80104e-05
1609.41735747 0.999999992966 8.70616890704 0.00180619848522 500.555 -993.11 -1.77872e-05
1266.09040211 0.999999994157 9.86475874095 0.00184373983303 645.172 -1282.344 -0.000692643
1267.82952663 0.999999995011 9.64703574644 0.00188829287207 741.006 -1474.012 -0.00315595
1108.48969759 0.999999994151 10.4416015982 0.00178580945587 707.588 -1407.176 -0.00487069
1578.89822553 0.999999993413 8.64500249927 0.00189193632982 524.622 -1041.244 -5.01984e-05
1819.44584173 0.999999993082 8.07648696046 0.00199330992823 457.6 -907.2 -0.000281509
1315.80991632 0.999999994142 9.81972966844 0.00192494784002 678.755 -1349.51 -5.46986e-05
1518.65428243 0.999999994244 9.08648763303 0.00177573891702 645.982 -1283.964 -5.22669e-07
1436.31507509 0.999999993011 9.1768480568 0.0019046436095 583.328 -1158.656 -3.85821e-05
1228.71673119 0.99999999289 9.66513865081 0.00170229884633 564.048 -1120.096 -3.42043e-05
1466.03153959 0.999999993652 9.49109681931 0.00178960346542 626.156 -1244.312 -0.00185494
1294.09391909 0.9999999937 9.60874488695 0.00191346758438 533.859 -1059.718 -0.000222221
1367.07750971 0.999999992889 9.64927122977 0.00178500253467 679.586 -1351.172 -2.82467e-05
1365.43101343 0.999999994573 9.65616184853 0.00195187395691 663.832 -1319.664 -3.16982e-05
1557.78946652 0.999999994766 9.28807760868 0.00176529411644 748.238 -1488.476 -1.14317e-05
1408.79773805 0.999999993529 8.93291139232 0.00178841325083 551.724 -1095.448 -5.44303e-05
1208.23084879 0.999999994386 9.97962979577 0.0017678553399 743.932 -1479.864 -0.000890192
1545.26054349 0.999999992073 9.42191251538 0.0015960859856 555.534 -1103.068 -0.00135747
1610.48190668 0.999999994674 9.17067961445 0.00159416230772 727.524 -1447.048 -8.12372e-06
1353.8380643 0.999999993889 9.92479568855 0.00182832671225 698.312 -1388.624 -9.17858e-06
1433.89407624 0.999999994276 9.59327807917 0.00175308670913 659.416 -1310.832 -0.000123883
1142.28041737 0.999999993777 9.8620145277 0.0019090434733 702.516 -1397.032 -4.50116e-05
1445.48498852 0.999999994608 9.26288477189 0.0017692511789 649.103 -1290.206 -0.000400195
1532.50759876 0.999999992154 8.53776018911 0.00170271048372 438.237 -868.474 -9.74034e-05
1401.78325884 0.999999993727 9.38499277565 0.00194504959361 641.132 -1274.264 -0.00196303
1694.97041299 0.99999999273 8.0951255674 0.00186003452085 399.345 -790.69 -3.90397e-05
1317.6613302 0.999999991886 9.45470670844 0.00181669040922 507.2 -1006.4 -0.00371681
1417.3767543 0.999999993567 9.34768960428 0.00183345144067 611.418 -1214.836 -0.000133558
1422.4375717 0.999999993952 9.42454466136 0.00170248963816 683.629 -1359.258 -1.50151e-05
1221.58154224 0.999999993961 9.33735119668 0.00205098190098 684.675 -1361.35 -9.62668e-06
1348.18906479 0.999999993548 9.5045332265 0.00172092021189 558.471 -1108.942 -0.000112014
1308.9071935 0.999999993635 9.49223818344 0.00190742777129 577.529 -1147.058 -7.01954e-05
1406.69552447 0.999999993119 9.41428569914 0.00191833177676 567.687 -1127.374 -1.52898e-05
1383.68686377 0.999999993176 9.50703969475 0.00172955336164 593.718 -1179.436 -0.000236731
1555.86537765 0.999999992523 9.22790466273 0.00167137423346 578.696 -1149.392 -0.00432833
1243.58267585 0.999999993769 9.34988683803 0.0016726809382 598.517 -1189.034 -0.0115425
1459.00649848 0.99999999463 9.42477625871 0.0017499262206 693.784 -1379.568 -0.00250432
1457.99935885 0.999999994352 9.16730454639 0.00183458361835 638.448 -1268.896 -4.64104e-05
1493.54940807 0.999999994971 9.47830622829 0.00178849980381 688.254 -1368.508 -0.000750424
1387.61850082 0.999999994315 9.61293575913 0.00175012703774 675.551 -1343.102 -0.000185724
1419.97142753 0.999999994699 9.43427825469 0.00196045997214 707.298 -1406.596 -0.00496814
1389.38379449 0.99999999281 9.58143434361 0.00193089483291 512.491 -1016.982 -2.21012e-06
1410.02851213 0.999999992812 9.02959536478 0.00173524185576 545.539 -1083.078 -0.00120854
1454.81868689 0.999999993903 9.22734444507 0.0018844370564 586.472 -1164.944 -0.000180588
1608.22200092 0.999999994723 8.77836929601 0.00201882164319 621.442 -1234.884 -0.000145765
1541.60443313 0.999999993912 8.88877632091 0.00174206007397 573.524 -1139.048 -3.62338e-06
1618.94212716 0.999999994355 9.16366353956 0.00188226350617 716.37 -1424.74 -0.000352447
1560.0673384 0.999999991665 8.51782527024 0.00196206512149 368.448 -728.896 -6.79217e-05
1611.08805145 0.999999993959 9.03715363076 0.00185330842339 681.371 -1354.742 -2.65259e-05
1525.40427006 0.99999999385 9.01577743996 0.0017782793682 590.783 -1173.566 -0.00225763
1390.19387855 0.999999993807 9.45605496979 0.00200415536389 639.222 -1270.444 -6.61937e-06
1498.98869942 0.999999992204 8.50422731676 0.00183194269754 418.727 -829.454 -7.47913e-05
1419.39612497 0.999999995235 9.86190010374 0.00174214270787 772.86 -1537.72 -0.000341307
1337.47986805 0.999999993166 9.31951952948 0.00166838573512 592.374 -1176.748 -0.000156844
1386.4966915 0.999999993804 9.32252456337 0.00201974183489 645.145 -1282.29 -0.00184773
1244.83328462 0.999999992882 9.61783701917 0.00174674835152 632.714 -1257.428 -0.00116582
1526.78780622 0.999999994411 9.19582144331 0.00183128996412 711.09 -1414.18 -1.15225e-05
1384.0429383 0.999999994875 9.257268851 0.0017505790928 724.96 -1441.92 -4.75446e-06
1298.16066598 0.999999992948 9.48651475288 0.00190171889347 557.165 -1106.33 -0.000359317
1366.54233507 0.999999994244 9.2006692667 0.00177700517079 617.987 -1227.974 -1.5492e-05
1520.78353713 0.999999992366 8.86724122412 0.00178833742814 481.767 -955.534 -0.00101865
1498.98624965 0.999999993847 9.03992713299 0.00192380006925 589.932 -1171.864 -5.76386e-06
1605.89332443 0.999999995448 9.35932169057 0.00185715017254 825.212 -1642.424 -0.00106659
1325.67340832 0.999999993269 9.47221481156 0.00185889751925 541.843 -1075.686 -2.26258e-05
1585.1754182 0.999999994717 9.19189029084 0.00188086415331 692.36 -1376.72 -2.19283e-06
1422.40862994 0.999999993382 9.44869617786 0.00189331997302 659.64 -1311.28 -0.000349372
1281.61250845 0.99999999301 9.47962631478 0.0018935562951 590.792 -1173.584 -4.38066e-05
1404.91155779 0.999999992978 8.97325839713 0.00195604266673 534.94 -1061.88 -0.000905626
1485.32084768 0.999999992513 9.44065301687 0.00177711955152 471.893 -935.786 -5.22025e-06
1082.91141954 0.999999991905 10.0579976033 0.00182938916238 485.317 -962.634 -4.4976e-05
1396.6480178 0.999999993963 9.35630280435 0.00184726993147 649.408 -1290.816 -3.65354e-05
1401.1828732 0.999999993652 9.28887665295 0.00175816357029 668.177 -1328.354 -1.2029e-05
1329.05694287 0.999999994196 9.4578728233 0.00179502144815 603.298 -1198.596 -1.28854e-05
1583.751555 0.999999994534 8.97355615266 0.00191118822435 650.131 -1292.262 -0.00130424
1411.9247741 0.999999994618 9.27124997236 0.00183991045732 664.053 -1320.106 -0.000197793
1435.27639 0.999999993631 9.35028416911 0.00185608614589 599.505 -1191.01 -0.000483469
1454.67311629 0.999999993488 9.22789613001 0.00194561303735 536.222 -1064.444 -0.00159712
1366.90361193 0.999999994014 9.55142899815 0.00181876056993 592.458 -1176.916 -1.81691e-05
1353.45660738 0.999999993632 9.6819699862 0.00181899723617 545.881 -1083.762 -4.45445e-06
1296.16338737 0.999999994625 9.49519710562 0.00193465001797 694.918 -1381.836 -0.00122768
1344.47611391 0.999999993836 9.13470852219 0.00168732611217 592.636 -1177.272 -0.00010544
1487.54214083 0.999999992994 9.24670477076 0.00168551294588 547.535 -1087.07 -7.59582e-06
