"D" "shape" "scale" "logLik" "AIC" "maxgrad"
1575.69806273 -2.18043492532 -0.184452639017 -716.799 1439.598 -3.18159e-05
1659.02229669 -2.38072991768 -0.190767472644 -779.872 1565.744 -2.37384e-05
1860.85336849 -2.14121535063 -0.181567788224 -818.163 1642.326 -2.76714e-05
1806.64106044 -2.16441586651 -0.182631956767 -819.656 1645.312 -5.19722e-06
1905.69179746 -2.74297687171 -0.225269504962 -819.112 1644.224 -5.48967e-05
1726.402315 -2.52961676934 -0.198956369493 -815.148 1636.296 -4.88832e-06
1637.68254594 -2.00460969598 -0.163476878715 -814.553 1635.106 -4.56501e-05
1841.34145366 -1.99886513654 -0.181039261934 -763.134 1532.268 -0.000223116
1690.59083599 -2.9105593315 -0.234677374861 -734.778 1475.556 -9.22648e-05
1710.69662419 -2.13882583197 -0.179620548066 -762.585 1531.17 -6.20285e-07
1628.33728382 -2.39764132222 -0.191785472519 -753.005 1512.01 -8.32608e-05
1666.83609657 -2.26248839766 -0.178387091195 -793.747 1593.494 -3.11888e-05
1760.61034616 -2.19674693604 -0.181145181612 -807.489 1620.978 -1.95979e-05
1831.47028988 -2.10001028353 -0.186424946792 -757.326 1520.652 -0.000191847
1606.06697927 -2.39881964243 -0.19010840209 -764.092 1534.184 -4.39015e-05
1508.7410193 -2.87549411731 -0.211658347583 -768.231 1542.462 -1.93798e-05
1598.30948056 -2.2787837553 -0.177022317437 -821.178 1648.356 -8.71015e-05
2091.66867547 -2.27974511168 -0.202746072713 -837.349 1680.698 -4.81741e-05
1865.47346933 -2.24326681805 -0.193187934219 -803.224 1612.448 -7.26603e-05
1410.38657027 -2.10191537981 -0.160424907852 -751.636 1509.272 -1.27025e-05
1561.41447699 -2.40021371246 -0.191302357047 -748.65 1503.3 -4.72038e-06
1663.26539341 -2.29805530207 -0.168460899339 -924.063 1854.126 -0.000160719
1565.29226138 -2.10266816575 -0.157304631788 -892.19 1790.38 -1.79945e-05
1590.50929012 -2.21540288508 -0.177620728011 -780.579 1567.158 -8.20846e-06
1693.61949983 -2.15996542969 -0.164705589768 -893.21 1792.42 -7.72347e-05
1661.07523007 -2.4830137738 -0.20129698582 -761.512 1529.024 -8.82107e-06
1844.90598028 -2.68661632059 -0.209432424984 -874.061 1754.122 -9.6638e-05
1970.78172384 -2.17383626997 -0.20152271862 -745.326 1496.652 -9.05952e-06
1802.1484659 -2.39070938158 -0.188061737846 -887.114 1780.228 -7.92653e-05
1624.7610392 -2.28364190458 -0.184599775676 -765.49 1536.98 -9.00253e-05
1354.70996812 -2.23678961986 -0.164166330595 -767.789 1541.578 -8.70887e-06
1842.37536816 -2.41897859055 -0.195848289898 -860.627 1727.254 -9.36167e-06
1746.22846167 -2.24262125291 -0.183178371775 -818.234 1642.468 -6.27783e-05
1730.94637751 -2.77336695456 -0.22951393181 -729.046 1464.092 -4.06533e-05
2142.2792839 -2.11342059473 -0.187132487031 -900.665 1807.33 -5.8622e-05
1394.23682275 -2.24183195676 -0.169595045944 -759.703 1525.406 -7.48372e-05
1427.4338738 -2.26566699346 -0.172604174968 -736.92 1479.84 -1.4949e-07
1896.30983947 -3.0291631466 -0.255924148217 -763.51 1533.02 -9.3117e-06
1503.82321028 -2.72520304773 -0.200566832045 -778.044 1562.088 -9.75979e-06
1618.46970344 -2.5769820525 -0.195747969979 -823.838 1653.676 -1.0228e-05
1505.16792188 -2.50680468256 -0.186068517857 -789.621 1585.242 -2.10688e-05
1765.7768727 -2.50315433018 -0.211923729533 -766.747 1539.494 -1.11352e-05
1563.46073643 -2.38064651076 -0.185032416018 -770.226 1546.452 -5.44223e-07
1644.90810262 -2.24821718747 -0.179481472364 -821.085 1648.17 -2.77688e-05
1756.96193561 -2.10745030094 -0.175514061173 -811.665 1629.33 -2.23162e-05
1762.49954134 -2.51004990334 -0.1903876929 -896.514 1799.028 -4.44095e-05
1516.92267299 -2.74652319049 -0.213408414775 -716.804 1439.608 -7.97849e-06
1577.89954555 -2.10094268806 -0.172513286025 -743.377 1492.754 -5.46088e-06
1552.29421043 -2.36355540236 -0.175404498676 -808.264 1622.528 -0.000808252
1535.03134892 -2.228089276 -0.174840043967 -784.216 1574.432 -1.9739e-05
1986.87801333 -2.67734544902 -0.219616978662 -851.338 1708.676 -1.38858e-05
2080.84085948 -2.92188563575 -0.249364788426 -845.28 1696.56 -1.94945e-05
1864.28384908 -2.44342989581 -0.200165559815 -836.455 1678.91 -1.90739e-05
1932.35111711 -2.55041546784 -0.205722602857 -884.145 1774.29 -7.14649e-06
2148.03043004 -2.27551415301 -0.207933277397 -833.451 1672.902 -2.14319e-05
1841.69759697 -2.22892102578 -0.200697984428 -744.211 1494.422 -1.07143e-05
1629.907701 -2.38971115591 -0.186912288561 -802.278 1610.556 -6.62887e-06
1581.78308641 -2.09258514053 -0.164790429603 -816.953 1639.906 -1.08064e-05
1632.6315329 -2.67543681013 -0.197576446642 -845.501 1697.002 -2.12525e-05
1626.39531476 -2.70751171804 -0.211476028296 -766.002 1538.004 -8.80284e-06
1760.07342063 -2.31157406576 -0.179203749951 -905.881 1817.762 -5.37429e-06
1633.9849849 -2.47920540504 -0.18554434036 -849.875 1705.75 -6.20006e-05
1927.41008909 -2.52020396653 -0.213107308016 -802.29 1610.58 -1.65971e-05
1677.27970256 -2.29382177826 -0.176699896045 -866.615 1739.23 -1.77017e-05
1576.53912163 -2.26900210074 -0.17239802407 -822.083 1650.166 -3.74895e-05
1777.05448554 -2.21212600314 -0.183817309584 -816.506 1639.012 -7.8697e-06
1675.9317568 -2.47301339878 -0.203089434709 -750.918 1507.836 -0.000153981
1795.1929013 -2.30801196503 -0.178097170266 -892.41 1790.82 -8.05955e-06
1860.02091356 -2.22197668432 -0.180976583295 -871.279 1748.558 -2.36498e-05
1688.12354274 -2.26699998457 -0.198107279418 -725.669 1457.338 -3.43599e-05
1665.7558414 -2.24947331461 -0.195079662307 -720.471 1446.942 -7.58153e-06
1578.77821142 -2.33759172837 -0.172935023676 -870.275 1746.55 -2.48415e-05
1669.37179282 -2.0762604615 -0.167730973382 -821.729 1649.458 -3.3266e-05
1763.46188887 -1.93142651707 -0.184512160122 -675.971 1357.942 -1.60015e-06
1621.62447158 -2.56172648967 -0.204550487055 -741.82 1489.64 -1.49761e-05
1633.40589977 -2.63966114898 -0.201531777016 -791.528 1589.056 -1.89715e-05
1722.73590125 -2.39657434136 -0.196720647085 -773.685 1553.37 -5.93322e-05
1793.74412575 -2.28357530011 -0.188167696261 -817.913 1641.826 -5.8619e-05
1341.72425958 -2.4351021423 -0.181955693398 -704.233 1414.466 -6.53366e-05
1437.65807898 -2.26427791916 -0.166764250843 -807.793 1621.586 -1.70636e-05
1950.66121689 -2.56828779387 -0.208258744853 -874.916 1755.832 -3.57519e-05
1527.95689988 -2.36439961431 -0.179647449729 -810.793 1627.586 -2.49181e-05
1818.33737539 -2.01693045161 -0.174958217216 -813.651 1633.302 -3.93461e-05
1460.8329755 -2.25740728672 -0.168086108616 -795.995 1597.99 -1.52835e-06
1737.80297457 -2.29493466392 -0.173994602021 -936.121 1878.242 -5.10768e-05
1526.96967975 -2.71563393732 -0.204454133774 -764.368 1534.736 -3.5957e-06
1819.5157569 -2.22966567698 -0.195371097288 -765.66 1537.32 -6.29519e-07
1737.94467428 -2.52161179957 -0.192344421882 -836.794 1679.588 -1.50082e-06
1629.1929094 -2.08474637794 -0.167019847671 -809.055 1624.11 -9.73363e-07
1724.59775191 -2.35676585547 -0.18753852212 -803.437 1612.874 -7.94785e-05
1967.05854517 -2.36119465979 -0.207679257735 -776.636 1559.272 -0.000220864
1450.02372102 -2.0898074318 -0.163075554029 -749.19 1504.38 -6.47807e-06
1540.30928091 -2.52640607608 -0.179868924225 -866.455 1738.91 -8.04184e-05
1668.14395631 -2.6089902723 -0.186740712941 -929.73 1865.46 -8.38098e-07
1381.47514244 -2.24529868405 -0.171456404237 -745.212 1496.424 -2.37655e-05
1735.03981641 -2.54578820168 -0.203588695473 -796.94 1599.88 -8.83716e-05
1843.60849138 -2.0966310568 -0.177949140863 -813.37 1632.74 -8.27286e-05
1720.50534926 -2.36751942636 -0.184348597294 -851.898 1709.796 -5.84946e-06
1742.42392112 -2.36082319557 -0.186998398294 -843.912 1693.824 -1.36406e-05
1999.67325447 -2.69426420222 -0.224844263118 -858.741 1723.482 -9.87229e-05
1857.6935185 -2.53049821615 -0.209723337677 -819.583 1645.166 -0.000121956
1398.66275603 -2.38256753715 -0.165080566068 -851.414 1708.828 -1.15857e-05
1506.32258292 -2.43600210442 -0.185072707691 -769.842 1545.684 -1.62165e-06
1300.9652972 -2.38953106912 -0.171755126421 -740.926 1487.852 -9.47461e-05
1577.49645172 -2.14917393651 -0.160394327163 -872.94 1751.88 -9.51018e-05
1601.52885385 -2.32691693451 -0.180791866151 -808.197 1622.394 -1.45705e-06
1668.66371274 -2.47367734209 -0.198247778534 -774.941 1555.882 -6.40672e-06
1661.9671826 -2.85246244183 -0.217780815059 -786.734 1579.468 -1.31336e-05
1763.22837324 -2.08403125615 -0.180625423152 -781.558 1569.116 -8.31828e-06
1613.53344418 -2.24198742316 -0.17007274304 -852.075 1710.15 -8.00878e-06
1875.10818458 -2.75937889655 -0.223919603028 -833.279 1672.558 -0.000159371
1495.8924745 -2.26041487155 -0.17236820689 -784.522 1575.044 -6.35392e-06
1534.24824535 -2.29648541802 -0.172455099212 -828.167 1662.334 -2.30642e-05
1687.07541212 -2.54097089716 -0.201814243303 -794.222 1594.444 -8.28572e-07
1603.15480129 -2.07043942171 -0.169734156144 -763.188 1532.376 -3.03963e-06
1551.80956356 -2.28900043294 -0.182156475331 -767.028 1540.056 -2.24939e-05
1587.48259039 -2.23677373295 -0.182070615271 -735.432 1476.864 -6.85773e-05
1901.92763454 -2.49888883541 -0.208479898743 -834.142 1674.284 -7.34113e-05
1599.75062194 -2.16909935425 -0.167916086921 -830.775 1667.55 -9.67149e-05
1751.10358408 -2.26491648884 -0.184465993726 -814.757 1635.514 -2.14887e-06
1740.85845933 -2.38679477338 -0.184043236658 -873.908 1753.816 -0.000448181
1441.00919298 -2.65693444995 -0.198570360629 -720.448 1446.896 -9.93212e-05
1417.52439972 -2.42325057874 -0.20158496286 -606.484 1218.968 -2.03342e-05
1917.53387376 -2.49027276669 -0.213958593126 -789.783 1585.566 -5.76947e-05
1657.75738677 -2.13740500567 -0.176345774749 -803.31 1612.62 -5.02622e-05
2098.586764 -2.18549212241 -0.190075440547 -882.283 1770.566 -3.78821e-05
1690.21748869 -2.25066348902 -0.167407584697 -913.401 1832.802 -7.32565e-06
1922.36606238 -2.78330561492 -0.225631179935 -853.53 1713.06 -1.33881e-05
1462.72910321 -2.36976507309 -0.180195394334 -763.515 1533.03 -6.51602e-05
1609.80238599 -2.42053053226 -0.188983748522 -780.774 1567.548 -3.4886e-05
1861.46793232 -2.15645293367 -0.176788049948 -871.181 1748.362 -9.02098e-07
1464.15410072 -2.3830241497 -0.175324057179 -788.547 1583.094 -4.40588e-05
1594.64106022 -2.06279454354 -0.169159936445 -749.185 1504.37 -4.90605e-05
2019.73571326 -2.65969565834 -0.231770971753 -796.227 1598.454 -1.13525e-05
1671.07775737 -2.03571522575 -0.165279223589 -822.14 1650.28 -1.6326e-05
2041.71395073 -2.21640556902 -0.192769882143 -886.021 1778.042 -1.10177e-05
1676.534293 -2.19033782461 -0.171624022658 -850.803 1707.606 -7.20587e-05
1914.17073439 -2.35582851662 -0.199957155121 -814.014 1634.028 -1.523e-05
1622.38536386 -2.23240545047 -0.172423951296 -836.384 1678.768 -1.65628e-05
1771.28075129 -2.19873103151 -0.186841035486 -788.201 1582.402 -7.13454e-07
1886.69541611 -1.97209708498 -0.172709534407 -834.37 1674.74 -1.17242e-05
1691.20910411 -2.31038934443 -0.186894730515 -818.917 1643.834 -2.64549e-05
1798.62142188 -2.40463840402 -0.193365716199 -837.055 1680.11 -6.40745e-05
1584.70441008 -2.31207363079 -0.177597506916 -813.66 1633.32 -2.46867e-05
1537.10701146 -2.52710251468 -0.186146370022 -822.451 1650.902 -2.0114e-05
1788.0028468 -2.32774164547 -0.192917432442 -809.893 1625.786 -1.87737e-08
1619.98382102 -2.07242320065 -0.179855688118 -705.617 1417.234 -9.07637e-05
1478.59370329 -2.37560147991 -0.182398786101 -737.599 1481.198 -1.24786e-05
1885.62221783 -2.48333272787 -0.207956345684 -809.312 1624.624 -2.42196e-05
1370.8911405 -2.25990588872 -0.159704071849 -824.658 1655.316 -0.000183848
1530.46456853 -2.35561484066 -0.188251682779 -719.933 1445.866 -2.39377e-06
1767.85472238 -2.36094185903 -0.189869644351 -842.865 1691.73 -1.08699e-05
1901.7744523 -2.25977221842 -0.190270960962 -842.46 1690.92 -0.000322711
1522.10960704 -2.14032634373 -0.154284623127 -890.386 1786.772 -2.71959e-05
1614.21451741 -2.29143125692 -0.182122305259 -771.069 1548.138 -1.04042e-05
1556.19945978 -2.18821413631 -0.16747496998 -823.909 1653.818 -2.0746e-05
1709.72823962 -2.32713887531 -0.184037257258 -827.546 1661.092 -0.000164624
1540.56585642 -2.48555344831 -0.182863859109 -828.507 1663.014 -1.15839e-05
1829.00587624 -1.97788909053 -0.165475307422 -845.794 1697.588 -4.02224e-06
2042.60897499 -2.2303929338 -0.197042306922 -854.021 1714.042 -0.000195156
1715.69035539 -2.46728007367 -0.198583955896 -801.598 1609.196 -4.79904e-05
1687.83329954 -2.38940037396 -0.181934008654 -863.236 1732.472 -6.44986e-05
1955.19325147 -2.5276442661 -0.205814626722 -861.921 1729.842 -1.28405e-05
1698.41115031 -2.39449659036 -0.198286086834 -755.195 1516.39 -8.9687e-05
1719.8905178 -2.44319855199 -0.199656466293 -777.658 1561.316 -0.000110845
1546.05909328 -2.16034017739 -0.16554886091 -811.877 1629.754 -1.17936e-05
1685.85541498 -2.21952996075 -0.173135402148 -854.342 1714.684 -0.000109459
1358.22969372 -2.18874608203 -0.164114837092 -745.357 1496.714 -0.000121776
