"D" "shape" "scale" "logLik" "AIC" "maxgrad"
1569.40708625 -2.37234567505 -0.178177361995 -821.134 1648.268 -5.66195e-06
1979.62908483 -2.31202196389 -0.200312806547 -816.568 1639.136 -5.42629e-05
1960.68757514 -2.11612523323 -0.184729185027 -817.342 1640.684 -3.62176e-10
1948.37425245 -2.64539389398 -0.212784408758 -891.303 1788.606 -9.25596e-06
1792.99004568 -2.50672519322 -0.211757588416 -771.053 1548.106 -4.07266e-06
1653.76022742 -2.59203988627 -0.201878421508 -816.097 1638.194 -4.87668e-06
1720.50972461 -2.44317776809 -0.196769913879 -798.338 1602.676 -3.40875e-05
1508.27093326 -2.30258461068 -0.179625006751 -768.804 1543.608 -3.87517e-06
1704.72087276 -2.16468031586 -0.183687635751 -761.844 1529.688 -6.91925e-06
1415.50241264 -2.34956450105 -0.170068693022 -824.143 1654.286 -2.02184e-05
1818.88482324 -2.48232765299 -0.206419057818 -797.523 1601.046 -1.07259e-05
1818.28393554 -2.40975451722 -0.19246712237 -878.803 1763.606 -0.00014432
1832.10359778 -2.3644317489 -0.203448500637 -764.707 1535.414 -2.75313e-05
1756.09438231 -2.61752335714 -0.199804475037 -861.718 1729.436 -1.6319e-07
1810.41939899 -2.67145877002 -0.22782374432 -738.986 1483.972 -2.08631e-06
1447.26889643 -2.63346549242 -0.188910799441 -809.588 1625.176 -8.72944e-05
1735.62347253 -2.41296717844 -0.191471585577 -833.926 1673.852 -2.47064e-05
1456.46912239 -2.25959033084 -0.168374883992 -787.277 1580.554 -0.000245431
1828.22234783 -2.66521431355 -0.228920306973 -727.952 1461.904 -9.29218e-05
1774.51445258 -2.37865288455 -0.201902844037 -778.646 1563.292 -4.45254e-05
1567.88870053 -2.58833406792 -0.204242318516 -729.068 1464.136 -9.3187e-05
1884.63909368 -2.47807455541 -0.213092308864 -782.078 1570.156 -7.74626e-05
1576.55403812 -2.79696589804 -0.199357687875 -837.182 1680.364 -3.81909e-05
1432.49751881 -2.29634516306 -0.172765047137 -759.268 1524.536 -5.77306e-05
1576.49099178 -2.44641282943 -0.193166451148 -751.494 1508.988 -1.10461e-05
1613.4903805 -2.44342515914 -0.184839719536 -817.513 1641.026 -8.04927e-05
1718.28491681 -2.32616614094 -0.186673803714 -800.321 1606.642 -9.65524e-06
1733.85141157 -2.30046033485 -0.184023904372 -820.64 1647.28 -4.56257e-06
1487.00288863 -2.16408200791 -0.157760024669 -838.073 1682.146 -4.78889e-06
1774.84875646 -2.81009374312 -0.230320982216 -768.295 1542.59 -0.000264309
1513.11039219 -2.21264486403 -0.1654543065 -803.601 1613.202 -7.56587e-05
1601.12737743 -2.09853847316 -0.171398973705 -771.785 1549.57 -6.59114e-05
1767.33330833 -2.63913856351 -0.208252921994 -824.164 1654.328 -3.82728e-05
1819.2103674 -2.35171530298 -0.186715355488 -872.614 1751.228 -1.25955e-05
1731.22795397 -2.25004399017 -0.181589135664 -835.185 1676.37 -7.66071e-06
1765.34283277 -2.05016112132 -0.170365101588 -836.739 1679.478 -2.14996e-06
1710.6105237 -2.44779574086 -0.191344858251 -842.078 1690.156 -0.000188481
1954.52907849 -2.11316161578 -0.175087260446 -903.529 1813.058 -3.35772e-06
1896.87022455 -2.43349851977 -0.204131478843 -805.633 1617.266 -5.29955e-05
1828.26840374 -2.10870612652 -0.173456797708 -864.84 1735.68 -5.49692e-07
1821.90518756 -2.48545279223 -0.192045795528 -912.07 1830.14 -9.38985e-06
1658.99590214 -2.37378855397 -0.188088453135 -802.721 1611.442 -7.9073e-06
1485.40249178 -2.39284604469 -0.184034509355 -757.428 1520.856 -8.34413e-07
1908.69129278 -2.0352867331 -0.17402305829 -850.166 1706.332 -4.75083e-06
1588.0494444 -2.24238272476 -0.181358718244 -764.147 1534.294 -4.39006e-05
2082.32402412 -2.32778554291 -0.20391822708 -857.408 1720.816 -3.17167e-06
1656.78604278 -2.51985575301 -0.212785030334 -689.407 1384.814 -5.18558e-07
1517.73145076 -2.15397905222 -0.163204336108 -811.831 1629.662 -4.12386e-05
1707.55021549 -2.19891782154 -0.177650711353 -833.08 1672.16 -2.56153e-05
1993.92946756 -2.72229684846 -0.23159943568 -807.041 1620.082 -1.58718e-06
1993.41097271 -2.31398138123 -0.208597709514 -767.745 1541.49 -7.85647e-06
1744.73000483 -2.36566789678 -0.195715146834 -788.096 1582.192 -2.37908e-05
1807.43101835 -2.52699465937 -0.207402861836 -803.587 1613.174 -0.000183598
1836.50760558 -2.3176946208 -0.187672839044 -857.104 1720.208 -8.41424e-07
1993.49336849 -2.16539058619 -0.182271102877 -909.419 1824.838 -1.91028e-05
1956.88266669 -2.66813362338 -0.219688003599 -842.448 1690.896 -6.46829e-05
1812.51716966 -2.10503372218 -0.180048711859 -803.893 1613.786 -6.37887e-05
1503.40571702 -2.40361334259 -0.180673370451 -778.064 1562.128 -4.02657e-06
1573.78564328 -2.54164694882 -0.199775521725 -757.9 1521.8 -1.37333e-05
1417.08867913 -2.24408402011 -0.168425765174 -764.134 1534.268 -5.80818e-05
1918.68582737 -2.35520040257 -0.209322182494 -771.601 1549.202 -9.24401e-06
