"D" "sigma" "z" "sigmatoa" "se.D" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1445.98077003 10.8497337347 5.39524170022 0.00193135063238 126.94 0.29837 0.35215 0.00013831 593.383 -1178.766 -0.00138787
1459.75498383 9.97958391258 3.98312526908 0.00192329845557 135 0.25763 0.21305 0.0001198 679.781 -1351.562 -0.000151496
1454.93159097 10.8108175031 4.2561218287 0.00184654339132 129.69 0.31129 0.26267 0.00012316 576.519 -1145.038 -0.000214995
1482.49001067 11.0001906354 4.64938631353 0.00179567926108 130.56 0.3248 0.30482 0.00011715 642.416 -1276.832 -0.00109122
1616.30951324 9.97617852102 5.0206356977 0.00182595942277 136.4 0.22197 0.28659 0.0001163 727.064 -1446.128 -2.64674e-05
1562.43547189 10.3206232699 4.49989898896 0.00189478822041 140.28 0.28713 0.2736 0.00013373 491.492 -974.984 -0.00122399
1310.14097677 11.4447123785 4.86930333261 0.00233171341998 121.11 0.40054 0.3247 0.0001598 499.838 -991.676 -1.75122e-05
1458.95721948 11.0175499434 4.75007105257 0.00176449433092 124.03 0.27886 0.28319 0.00010931 762.017 -1516.034 -1.16411e-06
1343.64973151 11.0947751286 4.46903402358 0.00181056924159 119.6 0.2906 0.26646 0.00010572 749.299 -1490.598 -9.61284e-05
1654.79791914 10.7657375976 4.78780602963 0.00204822600197 136.24 0.25841 0.26656 0.00012003 772.948 -1537.896 -0.00232751
1635.08547859 10.4974323925 4.7347446176 0.00173146263102 140.11 0.26573 0.2766 0.00010618 619.455 -1230.91 -4.43354e-06
1788.61439504 10.4094561466 4.55296648349 0.00196958087827 146.83 0.26252 0.25772 0.00012075 725.484 -1442.968 -1.65759e-06
1511.02903679 10.1889587407 3.84374367494 0.00190737925427 138.68 0.28101 0.22209 0.00012295 615.752 -1223.504 -4.34384e-06
1458.0301142 10.7690587343 4.31964345895 0.00206798597852 128.31 0.29523 0.24952 0.00012445 701.05 -1394.1 -0.00123608
1525.93058611 10.6669051803 4.30862537138 0.0018748802832 131.83 0.38048 0.29862 0.00011188 712.271 -1416.542 -0.00297761
1439.56899608 10.5763636602 4.18967615888 0.00220918286448 129.8 0.28782 0.24715 0.00013904 737.248 -1466.496 -0.00066237
1613.67711931 10.8381365346 5.6339889618 0.00199393784623 135.39 0.30015 0.39757 0.00012696 577.441 -1146.882 -0.00014506
1371.89804898 10.3803617209 3.81592959429 0.00200208912916 128.91 0.29432 0.20794 0.00012057 686.292 -1364.584 -0.00390354
1382.93029821 10.2599643809 3.96795790026 0.00172479408981 131.54 0.32494 0.27089 0.00012062 574.827 -1141.654 -3.30498e-06
1627.7938372 10.4471129284 4.71532378995 0.00218522750262 138.73 0.30833 0.28551 0.00014236 695.886 -1383.772 -0.000735634
1360.7974248 10.1215684852 3.89322301872 0.00219533337505 133.48 0.32372 0.27688 0.00018323 578.848 -1149.696 -0.00677993
1304.23150833 10.2803260753 4.00377410085 0.00194950297899 127.94 0.32168 0.25353 0.00013339 545.747 -1083.494 -0.00131094
1554.54352666 10.2736560303 4.34801495893 0.00199467860344 138.21 0.26621 0.25248 0.00012374 613.321 -1218.642 -2.36177e-05
1578.62760778 10.5052595919 4.82016113185 0.00184002775066 137.26 0.26626 0.26787 0.0001163 632.559 -1257.118 -0.00053671
1357.44475267 10.6337400694 4.78994938148 0.00186413159342 129.95 0.31747 0.35207 0.000136 444.386 -880.772 -1.42354e-05
1554.2413851 10.1334919258 4.72731014725 0.00200929456005 134.15 0.2906 0.29295 0.00012816 624.371 -1240.742 -2.58928e-05
1650.86079804 10.4115364104 4.71786435384 0.00205359738995 141.18 0.30519 0.28394 0.00013669 579.375 -1150.75 -0.000146962
1436.95423338 10.0658191725 4.20828187079 0.00207553158821 132.52 0.26716 0.23547 0.00014085 618.057 -1228.114 -0.000199394
1553.6416793 10.3888449803 4.18532368083 0.00187998780811 136.52 0.28015 0.23701 0.00012051 613.061 -1218.122 -3.15999e-05
1693.35632025 10.3419676323 4.70890093182 0.00191938639388 140 0.25338 0.25786 0.00011612 757.172 -1506.344 -6.09434e-05
1629.33141182 10.8588813507 4.77248700533 0.00201806489362 135.93 0.31911 0.29417 0.00014128 648.729 -1289.458 -0.00418451
1714.03474074 10.0665472193 4.79669884808 0.00211368208866 144.57 0.23532 0.27157 0.0001465 701.872 -1395.744 -1.74508e-06
1606.64603278 10.5899055118 4.8698127792 0.00205529299954 133.86 0.26915 0.28737 0.00013431 757.231 -1506.462 -0.00359717
1418.24142086 10.5905813158 4.33798920211 0.0019105522211 129.59 0.30227 0.26375 0.00012877 607.447 -1206.894 -8.97002e-05
1465.2167648 11.2085698286 5.16794411304 0.00208069605735 124.25 0.28719 0.32402 0.00012451 793.321 -1578.642 -6.65193e-05
1567.38560023 10.6299452031 4.72300335798 0.00192833880546 133.91 0.26495 0.27812 0.00012281 733.864 -1459.728 -6.09253e-05
1860.90753485 9.70527946875 4.56023971088 0.00212370843779 150.65 0.207 0.23288 0.00012994 784.905 -1561.81 -0.00709312
1696.65307539 10.2467106523 4.45647082925 0.00190114403497 146.28 0.27983 0.26595 0.00012347 653.374 -1298.748 -0.000156676
1492.05351761 10.8836415361 5.32880569019 0.00188203059686 129.26 0.26378 0.33934 0.00012308 640.87 -1273.74 -8.38715e-05
1595.34949795 10.3953904652 4.27613754098 0.00219683338477 138.6 0.28969 0.25954 0.00015451 805.38 -1602.76 -0.00257671
1454.45804883 10.536843763 4.21120105418 0.00178434166981 130.48 0.27755 0.23379 0.0001094 649.418 -1290.836 -0.00844026
1510.24787481 10.583071776 4.38512243481 0.00198704411388 134.12 0.28754 0.2659 0.00012983 704.181 -1400.362 -3.23478e-05
1633.98882656 10.6455008736 4.73176487429 0.002065165335 140.51 0.31098 0.30228 0.00012817 624.846 -1241.692 -0.000968312
1648.77495113 10.5962923349 4.71885167187 0.00206847778408 143.27 0.31772 0.30538 0.00015123 462.593 -917.186 -0.000498256
1779.33578021 10.5200379759 4.7743945915 0.0017845238385 141.8 0.2424 0.25224 0.00010648 763.384 -1518.768 -2.70348e-06
1488.26840382 10.386993754 4.45762323411 0.00175485505025 131.7 0.26602 0.26298 0.00011544 645.774 -1283.548 -0.000854543
1535.24659031 10.7282616722 4.7345169409 0.00192846543596 130.23 0.27391 0.27504 0.00011709 779.507 -1551.014 -1.15159e-05
1599.06911845 10.4347376783 4.70120048949 0.00199211691618 136.91 0.26387 0.28566 0.00012913 657.169 -1306.338 -7.79248e-05
1393.39268221 11.1289415955 4.87086433396 0.00180175677969 121.17 0.29733 0.29837 0.00011383 690.472 -1372.944 -4.32939e-05
1496.53401068 10.3951893038 4.59390918419 0.00196326392197 135 0.317 0.29727 0.00014148 548.057 -1088.114 -0.000252366
1434.7700292 10.7939757048 4.50096095896 0.00205650440532 123.59 0.26249 0.2485 0.0001205 844.312 -1680.624 -0.00108707
1668.28907905 10.308062604 4.82294146267 0.00194262640056 141.58 0.27753 0.2934 0.00013139 643.068 -1278.136 -4.8612e-05
1735.63147337 10.2674387891 4.62072461373 0.00192373333368 142.08 0.27799 0.2909 0.00012949 795.584 -1583.168 -0.0001306
1519.4010683 10.9985201911 5.05907122868 0.00192586903297 132.32 0.31531 0.3327 0.0001404 518.321 -1028.642 -3.53549e-05
1698.50450637 11.0978825489 5.17050792267 0.00193044550894 136.89 0.26333 0.30333 0.00011414 789.532 -1571.064 -0.00388275
1591.8592138 10.6081036083 5.20284020297 0.00201160910932 136.78 0.29046 0.34561 0.00013632 600.619 -1193.238 -4.60467e-05
1463.43471574 10.9230251307 4.68977339034 0.00198427029268 123.96 0.27387 0.26008 0.00011964 879.821 -1751.642 -2.50149e-05
1667.21412908 10.697646838 4.99126253472 0.00196040328156 137.78 0.24964 0.28299 0.00012415 719.685 -1431.37 -0.000143201
1334.53250549 11.2987021232 4.50883666839 0.00174737470779 118.12 0.29381 0.26453 0.00010707 684.253 -1360.506 -9.68678e-07
1610.68456282 10.4842558681 5.15837707309 0.00182690428479 139.33 0.28226 0.34594 0.0001233 525.769 -1043.538 -3.08651e-05
1526.88877722 10.297437654 4.54999746376 0.0019192644346 134.18 0.27754 0.28471 0.00012792 656.184 -1304.368 -0.00541352
1417.35753722 10.6228963078 4.60287269265 0.00175499521104 127.11 0.27241 0.27434 0.00011535 669.088 -1330.176 -4.57312e-06
1551.92789137 10.4894521842 4.62313645534 0.00177304132814 136.06 0.31154 0.27321 0.0001147 596.873 -1185.746 -7.71877e-07
1572.54229169 10.4471397372 4.28205243624 0.00189809850008 135.91 0.25652 0.24013 0.00011487 825.997 -1643.994 -9.24153e-06
1470.34722876 10.5385806468 4.66453633261 0.00190106063638 129.41 0.25579 0.27387 0.00012356 662.71 -1317.42 -5.50878e-05
1419.36647453 10.5684614547 4.46583269408 0.00212411997401 130.49 0.30449 0.26418 0.00014015 588.094 -1168.188 -0.000102423
1521.42235607 10.6388931549 4.42034472777 0.00200552869108 134.32 0.2775 0.26226 0.00012367 691.126 -1374.252 -0.0033681
1537.80546973 10.8020478152 4.67732226112 0.00197714512925 134.24 0.29234 0.29555 0.00012804 634.403 -1260.806 -5.79809e-05
1605.79516684 10.0240689389 4.22322956987 0.0019756457159 141.59 0.27819 0.24192 0.00013201 609.461 -1210.922 -1.89295e-05
1458.44448553 10.7413069218 4.22132249631 0.00174906352988 127.78 0.2822 0.23287 0.00010271 696.268 -1384.536 -0.000396282
1631.45744065 10.4284952464 4.99586952798 0.00198050020532 137.44 0.29259 0.32527 0.00013851 667.85 -1327.7 -0.000503812
1467.9437067 10.9458550716 4.55080930091 0.0019327387014 130.3 0.29426 0.29017 0.00012523 636.405 -1264.81 -0.000626461
1438.7187376 9.98965636584 4.07990038741 0.00184583062187 133.4 0.3011 0.24933 0.00012836 532.609 -1057.218 -3.83579e-05
1591.31972917 10.7655564328 4.72472288879 0.00172627587988 134.43 0.26917 0.26987 0.00010173 778.272 -1548.544 -0.00125906
1610.392629 10.4245441274 4.26436820002 0.00203618744138 137.91 0.26984 0.22556 0.00011972 726.487 -1444.974 -3.7975e-05
1595.18538502 10.459750216 4.55934467611 0.00162972627326 135.27 0.25142 0.25074 0.00010126 691.833 -1375.666 -1.88044e-05
1435.39652973 10.2877445472 3.92449990429 0.0024534480493 140.02 0.34787 0.24887 0.00018199 507.037 -1006.074 -0.000271211
1611.61307102 10.6698208295 4.71962616605 0.00196418749076 135.17 0.26554 0.26719 0.00012387 739.674 -1471.348 -4.67522e-05
1700.32577221 10.1433764287 4.14419529046 0.00190624880948 150.08 0.28934 0.27348 0.00013284 622.798 -1237.596 -0.00410122
1661.07288983 11.2404682726 5.51320380065 0.00207791742093 136.25 0.30805 0.36295 0.0001361 595.098 -1182.196 -6.17105e-05
1607.98132483 10.5248492936 4.40847186907 0.00181915242661 137.73 0.29509 0.25803 0.00012167 583.947 -1159.894 -0.000125573
1791.74143601 10.6442513243 4.88207793387 0.00196887594993 140.17 0.24439 0.27387 0.0001127 880.879 -1753.758 -2.47851e-06
1462.79212527 10.7472868168 4.47495195615 0.00201640193478 129.51 0.28329 0.25954 0.00012189 713.613 -1419.226 -0.00402095
1406.57754904 11.1695663261 5.00213785843 0.00164917344347 119.6 0.27391 0.30305 9.8023e-05 763.578 -1519.156 -3.12745e-05
1577.16747407 10.459621507 4.2852738557 0.00178179827494 137.83 0.33142 0.26877 0.00012388 556.859 -1105.718 -0.000171446
1291.34013424 10.6174177843 4.06840152707 0.00162520539239 119.92 0.28085 0.23159 0.00010538 612.735 -1217.47 -0.000429839
1755.65509298 10.2272232127 4.60638941641 0.00186868082813 146.33 0.26688 0.25711 0.00011735 635.555 -1263.11 -8.60037e-06
1518.33094905 10.0080984843 4.70459916734 0.00217831409234 139.25 0.29256 0.3174 0.00016096 439.085 -870.17 -0.00287591
1353.03492468 10.7955086453 4.08842803931 0.0018965596817 125.11 0.30922 0.24121 0.00012091 654.397 -1300.794 -0.000767825
