"D" "g01" "sigma1" "g02" "sigma2" "alpha"
2.02313822362 0.999999829815 195.242026543 0.233638204645 310.638495727 12.8117530626
2.39865353691 0.82602943537 196.343023094 0.169710105071 343.303706697 25.6289291306
1.52070821491 0.999998175129 226.255033985 0.424774545845 312.87147558 50.470929337
2.19212122343 0.931455284575 208.434970576 0.289863790316 331.36678274 20.53715845
1.64400935088 0.942357956267 234.067077267 0.274218836042 314.902372932 28.5217178959
1.7743208347 0.999999894181 221.903563455 0.356323458241 268.994282053 34.4004370036
1.39600337401 0.999996691397 251.253301152 0.298371689893 298.339375137 16.4211701998
2.17849524531 0.90657535543 215.267790878 0.200519327547 351.334715909 24.007785271
1.06064390604 0.999999709571 230.960810901 0.264490104084 344.673378704 41.9206064555
1.62438796303 0.999998965465 201.164406358 0.21016601452 335.039149541 8.61362392536
2.21162741454 0.999999790654 189.703386992 0.300498237845 309.147395276 21.7033095417
1.77489806186 0.99999924483 201.238370109 0.272966961254 338.843756853 18.271546952
1.54860939627 0.999999448388 204.859191519 0.329898724926 334.727865278 16.7383870438
2.02235802549 0.999999418634 187.306076725 0.365545609912 305.166425444 25.0823194392
2.18454880851 0.656650720824 228.921963866 0.183255508633 361.926764565 12.9207511641
1.60688398143 0.999999779111 222.35111354 0.301667699999 296.1549395 42.1178724438
2.04141084037 0.999999844091 197.968319274 0.241845400106 349.713152416 16.6218671071
1.66245405775 0.980406395567 183.709941439 0.263654920915 295.247430717 28.9596972416
1.47290730723 0.999999352828 228.599486088 0.333092387797 350.852370435 22.8668433645
1.60826614803 0.999999798297 184.081768983 0.294582086581 301.7795316 31.3031048745
2.09936728002 0.999999822937 209.379524524 0.16171904185 349.479589853 20.8093154357
1.6497026134 0.893854522432 241.5433431 0.43291314206 285.532225435 22.493684846
2.74378880727 0.666486476692 193.530226549 0.222519120303 318.689543388 45.3631709392
1.65039370503 0.999999832025 222.378579416 0.228479316791 329.82711201 23.6115848824
1.22720714146 0.999999294866 202.104487941 0.328309040366 345.437395468 13.8274859982
1.78408986473 0.80123022712 207.994348012 0.236085455427 363.972078328 25.1152126436
1.52051869429 0.955394316408 197.719957687 0.397758603392 309.481655418 46.0215180246
1.87808132934 0.860542598045 213.612806396 0.320817632108 282.018608902 20.3684716464
1.99472046658 0.913367861672 206.237161222 0.246923268195 326.034764838 30.2911778477
1.91814321093 0.999999816245 201.233168403 0.313142363854 283.633843497 55.8356538423
1.08382381403 0.999999729513 244.147581348 0.367337228348 314.27173342 44.8041923877
