"D" "g01" "sigma1" "g02" "sigma2"
1.93220051625 0.999999777622 200.527068988 0.237059492214 314.160586404
2.53534856443 0.735184537949 200.73217209 0.145767254793 359.771269706
1.53130439995 0.973726466113 227.953040708 0.417252675316 314.169911548
2.21423277491 0.904344905621 209.19846946 0.271248613403 340.615869006
1.70218004136 0.859982860642 239.357098656 0.254593932415 320.162925414
1.73035141771 0.999999888183 224.795003444 0.348032769246 274.465369806
1.46970987602 0.905232769393 256.151911392 0.281288557214 297.664823902
2.34365655771 0.755126872316 226.09618546 0.187780058916 348.972066065
1.05788252602 0.999999668005 230.373617282 0.250740164767 354.480759005
1.7379035322 0.827810740622 211.798418186 0.18923163884 340.699995681
2.2048229964 0.999999665278 188.894318437 0.281699964239 319.720288443
1.75986267226 0.937216899124 208.188088493 0.265061933189 344.603593365
1.54046391199 0.947517704963 208.894160251 0.300272294232 351.250657644
2.00633149539 0.999908133961 188.320248786 0.366968671148 305.535666557
2.36094573336 0.566508890753 235.965541547 0.170746347839 359.828944811
1.56320186795 0.999999720666 225.447170049 0.297383282637 301.821150782
1.93708545315 0.999999793994 203.31591843 0.240528898508 359.610375644
1.70005487465 0.897183185494 188.063446752 0.236841437895 307.678908846
1.46820220426 0.975114131589 231.870908848 0.331048359251 351.812342244
1.64282339399 0.999999783328 181.196606828 0.277433253249 307.565796849
2.11573923936 0.999999803436 207.851278113 0.150012382758 361.374729745
1.63080183802 0.830150488295 250.345149786 0.403958515187 295.893840554
2.89082500715 0.56120797033 204.333145168 0.210641519262 318.409323835
1.63046065538 0.999999798841 222.961873407 0.213641623458 342.793915579
1.28215750794 0.960344298521 198.678457749 0.283522193681 363.171554509
1.88211790042 0.755346749348 207.760760313 0.227481040057 360.859518717
1.51862739606 0.901165708658 203.47698213 0.39401388259 310.33852327
1.95911935563 0.752506949697 221.95370397 0.297540484466 285.37333839
2.06813013937 0.817424902389 212.864710824 0.232044508227 329.569995814
1.92229834273 0.999999814207 201.158863191 0.313957010833 282.736599082
1.07433394958 0.999999679034 245.266775856 0.365536814834 316.129129807
2.05986163682 0.671655242082 238.974960862 0.223375071601 357.86700038
1.7073780112 0.999999710199 190.43500933 0.201922819481 317.781943981
2.22073808231 0.82287049266 189.028455656 0.195418955351 307.558168734
1.73548236337 0.999999900319 224.370751854 0.249270635205 329.145889912
1.72033605694 0.978953396481 204.325197398 0.431975410961 274.139396993
1.33116889178 0.999999674001 252.22638865 0.540664374717 290.644255376
1.8511400468 0.9999998711 196.722952558 0.248372270652 375.63247861
1.79547903767 0.779637986104 205.118350099 0.267837186877 320.43739261
1.14365056314 0.999998503088 249.565259225 0.202413912004 375.702711463
2.54642236741 0.828445144257 193.255188421 0.246072784901 298.499188907
1.32677946407 0.888075117113 222.44417298 0.267563250872 336.002233566
1.50271649013 0.999999888151 231.109492397 0.19460812686 389.140853802
1.59061223637 0.999999868433 224.329396082 0.282304610056 345.582697028
1.86427874804 0.999999217199 210.700720302 0.241519698266 324.752903858
1.27637301284 0.999999838372 220.704227005 0.272695450283 369.027786191
1.91504820335 0.919381307196 228.494762053 0.342254971121 312.091832083
2.35810121429 0.406715953282 256.690362515 0.225969442459 359.354540331
1.31388814828 0.999999636072 230.984787937 0.284686494003 355.95405268
1.60077629485 0.999999833512 206.873470286 0.295433782639 333.987493453
1.43752229564 0.999999822494 228.35478294 0.221549896104 322.834022648
1.69398931549 0.999999804844 232.412735149 0.422720123488 300.868542604
1.39100314045 0.959839474357 240.646650519 0.33821833689 323.865535965
1.4058513631 0.999995435796 233.618154299 0.318751963263 313.490307215
2.07355243531 0.999999804381 196.069330932 0.20810834917 353.52079757
1.96306516043 0.999997432315 203.606682273 0.211910626148 343.770631743
2.33155896812 0.975810528738 208.597124119 0.221854951505 331.334227758
1.90145360568 0.657008864565 220.026471576 0.224533670543 334.145381709
1.68700876602 0.881892022651 198.017096165 0.236370054345 345.255772272
2.07799423224 0.937693798041 213.376967207 0.21930679028 333.983761431
2.27351524829 0.993104364935 173.870644267 0.345617102588 291.850795744
1.57197881379 0.830865896552 242.703261228 0.268021080652 337.783633629
1.8293676407 0.999998611693 203.884620696 0.33132448712 283.738048643
2.45777087571 0.999999901125 203.177417168 0.234253679787 309.672394251
1.9711971555 0.80174078108 229.825110065 0.212397365655 338.704907833
1.62087983036 0.999998621269 210.411529766 0.250614938722 317.728642673
1.3385819897 0.89295621719 233.865183112 0.321163598642 331.8015644
2.3518159975 0.883404086975 182.437014036 0.206340765895 303.798882909
1.70382213338 0.9103948006 202.197510018 0.373297365816 327.747797621
1.60105591562 0.558797478091 249.556337939 0.360021326002 299.211334764
1.87384154304 0.962525142886 227.14325908 0.244469311923 311.084410015
1.6516480017 0.999999870595 219.422703338 0.31688654123 315.354261779
1.96348284298 0.84894205986 219.342370212 0.205280838229 356.076367953
1.29886748579 0.92694742807 214.458102539 0.41755663979 306.222768207
2.90277870629 0.694384562055 204.31859816 0.212408500532 295.025472076
1.65110878858 0.999998755591 211.547384053 0.231120143402 397.774902563
1.99077291874 0.99999985717 215.542387028 0.368103973869 276.463148181
2.27666524522 0.88005034648 201.889467811 0.158532672734 369.444567213
1.72217278216 0.960865806045 229.091343601 0.317087801059 328.73384497
1.82281914007 0.999999745412 212.589334866 0.246754280543 314.825311838
2.03405265409 0.999999876642 208.058910641 0.34761134357 314.937308168
2.28815036363 0.999999750203 212.772373196 0.202797566424 354.376850974
2.15211821142 0.93514378673 186.563477896 0.234909003806 326.088500879
1.79131969813 0.999999214946 210.528698611 0.423888496845 309.010863005
1.85707216827 0.999994028336 208.706434103 0.377410276552 260.365564509
1.45992728462 0.856177973524 254.897797916 0.207245259873 393.392742519
1.44185154372 0.999999185384 232.69160647 0.27805186902 320.525753317
1.25939186857 0.922315004374 232.714207573 0.415805211327 294.835246132
1.7909302874 0.999995908996 208.287508836 0.297534085071 287.695486095
2.9075013841 0.745411377331 215.615670847 0.261218754453 265.585265904
1.35899788645 0.933582966288 234.082611033 0.214841986814 377.147242269
3.14312844085 0.548601495906 213.320392326 0.143424559591 350.819550964
1.30354207428 0.959406984297 229.296209722 0.436362390706 315.034008944
2.22285396201 0.940938403331 204.321796356 0.248278162684 311.568998614
2.45991985115 0.575082586904 232.936799226 0.214243450064 328.071825739
1.46353322239 0.999999774379 213.509788139 0.241676153891 378.042766111
2.35880874833 0.765939258622 204.635864929 0.205449986647 352.169531017
1.89746564017 0.862896294185 224.332511989 0.312307796355 305.411767001
1.43814941622 0.867712690493 203.62697438 0.245964239228 364.852676301
1.46585429905 0.991819279588 232.097873852 0.327987875365 344.715650807
1.36503211512 0.999999705122 192.448642609 0.319808416632 317.584739554
1.59412587575 0.999999897108 184.79768413 0.353928099148 322.67693563
1.74466194269 0.950165061846 219.808877287 0.301404235176 325.94467344
1.23857906709 0.945837100576 236.506480921 0.344011483529 310.36419433
2.34441041025 0.999999844895 185.884699014 0.204872111686 325.451719181
2.28783677003 0.582533761496 216.646891873 0.250435901988 293.78972196
1.80911738368 0.999999697624 198.827025545 0.301361778579 313.772804015
1.68392205735 0.967117046881 213.032202441 0.258357038918 325.500910882
1.65197038826 0.77329821087 222.148613134 0.268114350803 338.069811371
1.69453188703 0.999999810118 216.178285193 0.447316438289 283.665762294
1.58933323169 0.727808440001 225.96369125 0.233173517723 359.495335706
2.55898300883 0.605715513383 213.694727692 0.138682251169 354.685213378
1.21803267472 0.999999708155 247.453197786 0.435317623126 301.751288485
1.42408344006 0.99999979247 210.188820796 0.263894494771 324.169481109
1.75458096385 0.999999700252 192.214729525 0.2193679472 334.015674364
1.45635680182 0.999999824508 205.3907769 0.444448105297 283.313875522
1.57821816726 0.999998323522 214.128139857 0.260455982424 285.967851334
2.00946849715 0.931210459975 228.928337665 0.228972461647 332.453627249
1.76149664854 0.92413075907 217.146328653 0.308062626878 325.148525799
1.96441318212 0.999998680145 198.666133895 0.176344335409 371.018677509
2.17110417977 0.706835645846 229.824976794 0.211034809141 318.110168808
2.46815929916 0.765310611424 217.436474104 0.2814743141 291.259496788
1.40923324121 0.989565715836 224.313031816 0.330158457087 335.871376857
1.70993360582 0.999999407752 204.121168759 0.261742227885 336.262403934
2.08809512459 0.792689791476 204.520745115 0.244530536858 293.629791055
2.70431497751 0.553688767728 219.318683777 0.184117772449 300.114025562
1.54384630635 0.985523189518 233.889404886 0.371513046924 336.487095528
1.57136962331 0.826458293933 228.883714545 0.225521855453 341.053258727
1.18377236347 0.950331849054 221.631365807 0.565622068658 300.543234637
1.90065051475 0.880733053201 219.529192528 0.206841308663 353.564409038
2.14244977315 0.871327485052 223.182756412 0.283139361323 323.034719554
1.86751465958 0.999999650041 214.61838367 0.279730375373 313.429419538
1.32613511283 0.783737193952 247.75754654 0.37097272083 323.154274007
1.86707984628 0.861415443153 192.95915546 0.151613098903 396.679680363
2.29550484176 0.999999799153 193.813625213 0.168603926106 362.322697976
1.91560903251 0.999998259222 195.671170183 0.14390900345 356.498246264
1.53683678561 0.86879320096 232.482911614 0.229173548951 310.342680122
1.79064545414 0.999999705873 218.869349987 0.359983101758 301.466588493
1.44232148447 0.997530373937 199.768447417 0.27213870071 311.14441439
1.50655496411 0.999996975341 227.944068552 0.348732582792 316.730329498
2.65008550104 0.657563763069 222.619758773 0.154260163026 373.941566623
2.06931544122 0.720462626313 231.173994268 0.197177074063 340.330703186
1.72942847265 0.999999907997 206.414469851 0.225866062845 376.223512916
1.57945667101 0.892986720789 220.661961199 0.316807896102 319.55940997
1.8800364765 0.857533274835 204.251440241 0.337512059008 311.626723598
2.07215492543 0.678278386564 216.034418571 0.255848113389 309.32612907
1.40309619479 0.939008770322 231.464558259 0.302073022334 321.149408303
1.70177666958 0.889787575373 220.863660381 0.312887175443 335.802401772
1.43268781283 0.779522518616 266.825612417 0.288009383118 339.8385172
2.14219869066 0.76360529412 221.297455026 0.245432077634 326.073810555
1.70657924459 0.869709397384 218.24334909 0.362482737079 327.682845412
1.46006947643 0.88987787977 206.495030164 0.30246952801 327.275911269
1.70580126135 0.999999747209 218.376412438 0.354859241207 297.566185107
2.24965073237 0.830979455215 209.116718927 0.353520362865 288.301491009
1.8856392392 0.999999824398 180.679041662 0.259131548918 338.219822064
1.40166978579 0.996786192257 223.97818498 0.357605254725 337.606091921
1.81413520317 0.960573695443 225.336206722 0.347824010626 318.821257799
2.29281223452 0.768330236621 217.861221112 0.216524470259 304.879790363
1.68528948019 0.793321231451 231.5499199 0.224842523617 335.643755543
1.72208117766 0.999994997039 216.03975461 0.267763086919 338.000823532
1.68978137594 0.676117989705 259.861724555 0.369364940119 311.639434867
1.75769510613 0.770288715722 207.811758707 0.34432632256 312.03285295
2.22687325802 0.861594003716 204.18380133 0.330540100819 285.642388027
2.30551932545 0.999998724319 210.81494093 0.247916221992 289.232692365
1.73721332875 0.932665549684 197.065200575 0.280123613914 347.113160334
1.68214667196 0.685845592803 237.636996524 0.141680436039 356.987425858
1.4823455019 0.971156072055 215.802236439 0.628751054819 263.762570696
1.72082404437 0.993937537039 185.305026657 0.322399181902 301.736273324
1.82201298493 0.983406937492 215.91260156 0.454576451201 297.809637773
0.932077653948 0.999999726921 226.757056581 0.177457646172 428.258625177
2.04181304642 0.898020243275 197.785043496 0.147844689916 355.885140409
2.03857435932 0.921165101025 181.632020571 0.195655198023 352.224074988
1.63010751564 0.999999873903 208.978125863 0.246913435835 381.272469626
1.69797179095 0.968424340443 205.185837315 0.331361820262 336.405334017
1.54395782825 0.90819500032 209.710789824 0.387425609105 321.213072424
1.00009416304 0.999999615253 239.168373249 0.402904665147 361.75991079
1.61279681832 0.999999761855 228.882264091 0.269864874161 346.816864263
2.88912415103 0.69045282185 199.825405737 0.203389629463 308.427927637
1.81350383044 0.756462574693 225.261940548 0.29600738964 388.674026144
1.85855394408 0.782468275872 216.762740629 0.219547932035 286.63072517
2.21368775533 0.905443003499 191.126958253 0.256658138898 334.293968483
2.08042894023 0.999999847197 184.824571939 0.247550824942 337.458635689
2.59305192318 0.899371758163 176.712391914 0.220662851472 316.157403912
1.91702184682 0.731368254224 218.199061204 0.280676652672 290.802989471
