"D" "g0" "sigma" "kappa" "logLik"
0.0447839376694 0.999999852528 1285.03914348 67.3837529721 -327.579
0.0451332571316 0.97440365095 1274.51537873 73.833896826 -327.335
0.0414109746494 0.999999955413 1361.24737053 65.6040573567 -338.051
0.0306640401959 0.999999804982 1357.25273801 69.4157237461 -254.752
0.0346588030498 0.926984291473 1273.02765648 127.804752608 -234.578
0.0411389600163 0.999999901021 1318.73882512 67.4153560764 -324.039
0.03947840721 0.895877585723 1323.18127399 40.8983087646 -289.814
0.0371129921239 0.924094765389 1343.90122945 48.7924957342 -297.901
0.0313040365851 0.896417121261 1429.44872789 60.634560115 -270.509
0.0468658145625 0.891956822607 1102.24253577 109.679283072 -236.88
0.0340432942947 0.999999921892 1305.73895276 190.283218656 -240.493
0.0437992575542 0.999999926246 1188.50081255 70.3774182526 -278.698
0.0401125377358 0.999999941185 1336.01397483 69.9028380543 -308.829
0.0390799675953 0.999999635297 1206.77110104 66.402695447 -258.322
0.0435021940692 0.999999872286 1123.92072111 84.012478021 -242.46
0.043537880523 0.921135573574 1343.99449388 96.4040857099 -323.128
0.0654317161564 0.909102764367 1020.75229746 47.8544299734 -287.017
0.0390320753496 0.919791022151 1329.00737603 90.4774410467 -297.798
0.0412056333499 0.999999944688 1174.09850736 62.9284657063 -253.077
0.0222008617046 0.883422995485 1662.26205538 60.8988956914 -240.887
0.0399473754076 0.999999956396 1272.33986959 97.4192012077 -280.519
0.0241183978344 0.888348922097 1719.59029077 82.4334808352 -283.792
0.0573902492196 0.999999925101 1075.407553 58.0830671226 -307.609
0.047538687431 0.999997961739 1154.91660808 96.8824820846 -283.423
0.0382093873208 0.999999878236 1394.50940463 83.7515613398 -323.321
0.051702490067 0.901185352457 1179.70248902 103.575364267 -301.765
0.0457035137513 0.999999930818 1112.56753002 82.2313277615 -244.912
0.0489488072297 0.978026295949 1168.33887063 47.5595969354 -304.774
0.0429199964458 0.999999956228 1395.60400242 52.5772493877 -377.194
0.0416027134964 0.999999304157 1212.02831771 100.062759432 -272.719
0.0454227488955 0.999999714297 1283.14175431 119.747888274 -321.533
0.0197473748464 0.999999311953 1479.01750249 100.012858654 -183.885
0.0377763476056 0.999999937064 1335.5883004 57.228709461 -297.067
0.0467173527641 0.999999917111 1157.42684761 75.501435635 -274.1
0.0407053030171 0.999999950301 1243.03437394 82.5733391095 -278.822
0.039260847351 0.999999944588 1257.70475044 47.1889591411 -283.14
0.0423963741891 0.982116027077 1248.71768736 87.1543668236 -295.354
0.0630043195393 0.87898099036 1059.37432013 75.1613718876 -292.203
0.0665481775242 0.741513313484 1104.15951475 53.7315717227 -300.161
0.0349228829188 0.999999879217 1298.27397216 67.5014536521 -250.683
0.0336132399692 0.932371084718 1529.15883828 77.4891596504 -342.236
0.0414126904991 0.999999387433 1281.97615861 57.225153284 -306.224
0.0456778065372 0.999999908117 1234.13289 67.8227096452 -315.752
0.0455122090015 0.776845078667 1321.42417389 116.045162942 -295.223
0.0224680629657 0.974504253329 1616.53290588 89.3495147238 -244.923
0.031788447985 0.999999900142 1421.55166893 67.9918727191 -289.615
0.0575629299782 0.999999782384 1038.11610394 97.0106315917 -279.521
0.0475367872843 0.978917014669 1193.62682397 93.8480360322 -294.855
0.0467303223894 0.999999937043 1188.87437001 87.6037553331 -296.73
0.0377071557311 0.999999882806 1284.19603868 49.6226002338 -285.568
0.0326338733814 0.999999770699 1294.05190527 95.0720014486 -231.663
0.0528346272288 0.8976945052 1098.80701489 66.153197712 -271.714
0.0446069192694 0.99999992105 1209.85022403 113.010413376 -278.891
0.0538744593381 0.906158209365 1167.509678 55.9768862208 -318.032
0.0415193290859 0.865395957782 1250.07656648 55.2089150605 -271.008
0.0500105240553 0.999999929974 1192.18318526 67.3038499677 -312.495
0.0659563592631 0.926521529427 1082.37392752 83.238151239 -327.833
0.0436257913128 0.953012347333 1182.6243247 81.3471268099 -260.097
0.0391462096072 0.843855666484 1221.38937069 42.9844755624 -238.758
0.0458011495397 0.839202397215 1276.22513128 77.0578389877 -295.479
0.0557970125659 0.999999821114 1098.4028998 50.7086731799 -311.575
