"D" "g0" "sigma" "kappa"
0.0453800613753 0.999999666725 1224.07368042 306.022087295
0.0371133512811 0.999999807206 1281.84232555 699.999999278
0.0352083956434 0.99999984097 1471.76731354 116.01158145
0.0423392365612 0.936457020678 1283.02294641 159.118098391
0.0346071155066 0.70371537464 1529.61944131 219.082447613
0.0530179206093 0.729455997537 1299.18966107 699.99999864
0.0393906618434 0.96072026984 1370.30799581 681.942129681
0.0468713312607 0.999977427557 1262.18895042 65.4560476252
0.0330110255797 0.950070090414 1357.92935686 699.999998365
0.0357339419166 0.999999814511 1279.63248314 699.999997707
0.0312120362889 0.999999819494 1316.36889654 191.096642214
0.050339585278 0.999999713547 1175.91198596 250.361302511
0.039138811081 0.999999669804 1320.92068027 316.743880857
0.0399291150144 0.925115379124 1328.20850363 51.758695271
0.0430637803195 0.828061129262 1371.9107309 294.021685736
0.04010875021 0.874475878677 1376.68255033 78.953359381
0.0338179695358 0.960984558022 1459.47232178 346.484510918
0.0332489241694 0.999998937245 1414.9756632 505.995544116
0.0496500857095 0.843567674249 1328.99072981 131.647975699
0.0436843966556 0.999999514154 1192.4512102 131.538984531
0.0457612048255 0.73091416445 1416.51699782 130.671864255
0.0514170273025 0.999999805365 1195.79765226 111.911032187
0.0474408184958 0.999999861671 1205.04934923 39.1514025497
0.036997163666 0.99999985929 1321.46599501 136.91333167
0.0496484631185 0.918438792878 1273.87740055 326.850439368
0.0487189893983 0.805147189749 1355.55315858 90.9676894024
0.0401961175456 0.999997672031 1265.79275301 109.069386592
0.0423526647086 0.99999973155 1333.05181582 163.079960098
0.0380455411619 0.999999891906 1299.98367436 595.231226164
0.0420743007101 0.696373709148 1353.85657431 142.251236633
0.0374021469352 0.938270117147 1428.68297316 153.947620133
0.0681373241163 0.999999096131 983.555898004 299.174532528
0.0483640255622 0.999999869843 1185.56282039 92.7961579731
0.0436312219687 0.826894776787 1369.64190953 73.0523853798
0.053731021854 0.900085649978 1223.95488849 201.234266898
0.043736145261 0.869215231366 1453.75046799 95.5442357769
0.0488677148747 0.999999260164 1123.59222302 82.5261627296
0.0385444881568 0.993548065045 1287.03617718 45.8231503711
0.0552116813379 0.542965318377 1526.93815349 315.876069244
0.0400145749868 0.879089235363 1374.98818968 39.0276054847
0.0656171533775 0.677698691853 1232.98302125 458.569807547
0.044026120527 0.975890113627 1312.64355104 118.909627044
0.0436906483214 0.838982155348 1393.14665704 225.258031648
0.047576754203 0.922078536818 1156.70227801 386.526470711
0.0415425754907 0.999999179272 1275.56648281 148.007715237
0.0404625200012 0.999999791788 1302.23124104 230.129151858
0.0502009611658 0.999999470177 1136.40124136 208.06074204
0.0599549887514 0.999999489871 1109.31179263 201.511329775
